,알서포트,A131370,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,0,0,0,0,0,0,37.06,54.7,60.12,63.24,57.83,41.56,50.42,57.67,51.63,41.96,40.27,51.45,41.87,56.07
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,0,0,0,0,0,0,37.06,54.7,60.12,63.24,57.83,41.56,50.42,57.67,51.63,41.96,40.27,51.45,41.87,56.07
, - 판매비와관리비,0,0,0,0,0,0,28.92,41.48,34.29,46.53,43.73,56.79,44.17,57.32,50.15,53.36,48.04,59.81,56.22,53.16
, = 영업이익,0,0,0,0,0,0,8.14,13.22,25.83,16.71,14.1,-15.23,6.25,0.35,1.48,-11.4,-7.77,-8.36,-14.35,2.91
,* 지배순이익,0,0,0,0,0,0,7.94,13.31,21.77,-24.51,16.87,-22.1,4.5,-3.9,2.23,-5.83,-0.96,-18.93,-10.8,6.29
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,0,0,0,0,0,0,78.04,75.83,57.04,73.58,75.62,136.65,87.6,99.39,97.13,127.17,119.29,116.25,134.27,94.81
,영업이익률,0,0,0,0,0,0,21.96,24.17,42.96,26.42,24.38,-36.65,12.4,0.61,2.87,-27.17,-19.29,-16.25,-34.27,5.19
,지배순이익률,0,0,0,0,0,0,21.42,24.33,36.21,-38.76,29.17,-53.18,8.93,-6.76,4.32,-13.89,-2.38,-36.79,-25.79,11.22
,매출액YOY(%),,,,,0,0,0,0,0,0,56.04,-24.02,-16.13,-8.81,-10.72,0.96,-20.13,-10.79,-18.9,33.63
,영업이익YOY(%),,,,,0,0,0,0,0,0,73.22,-215.2,-75.8,-97.91,-89.5,25.15,-224.32,-2488.57,-1069.6,125.53
,지배순이익YOY(%),,,,,0,0,0,0,0,0,112.47,-266.04,-79.33,84.09,-86.78,73.62,-121.33,-385.38,-584.3,207.89
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,53.62,62.75,47.06,51.08,58.8,73.83,52.95,59.06,57.7,77.33,67.72,65.65,68.65,82.85,75.92,183.03,101.08,103.54,134,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
, = 매출총이익,53.62,62.75,47.06,51.08,58.8,73.83,52.95,59.06,57.7,77.33,67.72,65.65,68.65,82.85,75.92,183.03,101.08,103.54,,
, - 판매비와관리비,52.54,54.75,51.47,48.93,47.2,48.77,48.58,48.22,46.2,49.24,50.23,52.29,58.72,65.62,64.29,79.52,67.32,67.77,,
, = 영업이익,1.08,8,-4.41,2.15,11.6,25.06,4.37,10.84,11.5,28.09,17.49,13.36,9.93,17.23,11.63,103.51,33.76,35.77,59,
