,한컴위드,A054920,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,32.11,132.74,34.19,35.89,32.17,95.51,46.88,43.73,39.84,86.95,36.14,44.67,33.42,67.16,28.06,39.41,33.02,44.82,31.93,35.62
, - 매출원가,20.34,83.13,16.75,19.99,18.79,53.24,25.86,19.38,24.58,53.19,18.2,25.99,21.95,34.02,17.99,18.7,22.87,22.73,14.93,15.25
, = 매출총이익,11.77,49.61,17.44,15.9,13.38,42.27,21.02,24.35,15.26,33.76,17.94,18.68,11.47,33.14,10.07,20.71,10.15,22.09,17,20.37
, - 판매비와관리비,13.51,21.57,16.3,18.25,18.28,30.18,20.43,22.43,19.62,23.22,17.73,18.48,18.7,25.44,15.24,20.33,17.81,18.6,18.1,17.91
, = 영업이익,-1.74,28.04,1.14,-2.35,-4.9,12.09,0.59,1.92,-4.36,10.54,0.21,0.2,-7.23,7.7,-5.17,0.38,-7.66,3.49,-1.1,2.46
,* 지배순이익,-5.72,159.44,2.04,0.79,-5.69,6.25,6.74,3.03,-8.37,0.29,11.45,23.36,-0.59,-37.75,-4.32,-21.12,-5.36,-6.37,7.86,0.18
,매출원가비중,63.34,62.63,48.99,55.7,58.41,55.74,55.16,44.32,61.7,61.17,50.36,58.18,65.68,50.66,64.11,47.45,69.26,50.71,46.76,42.81
,매출총이익율,36.66,37.37,51.01,44.3,41.59,44.26,44.84,55.68,38.3,38.83,49.64,41.82,34.32,49.34,35.89,52.55,30.74,49.29,53.24,57.19
,판관비율,42.07,16.25,47.67,50.85,56.82,31.6,43.58,51.29,49.25,26.7,49.06,41.37,55.95,37.88,54.31,51.59,53.94,41.5,56.69,50.28
,영업이익률,-5.42,21.12,3.33,-6.55,-15.23,12.66,1.26,4.39,-10.94,12.12,0.58,0.45,-21.63,11.47,-18.42,0.96,-23.2,7.79,-3.45,6.91
,지배순이익률,-17.81,120.11,5.97,2.2,-17.69,6.54,14.38,6.93,-21.01,0.33,31.68,52.29,-1.77,-56.21,-15.4,-53.59,-16.23,-14.21,24.62,0.51
,매출액YOY(%),,,,,0.19,-28.05,37.12,21.84,23.84,-8.96,-22.91,2.15,-16.11,-22.76,-22.36,-11.78,-1.2,-33.26,13.79,-9.62
,영업이익YOY(%),,,,,-181.61,-56.88,-48.25,181.7,11.02,-12.82,-64.41,-89.58,-65.83,-26.94,-2561.91,90,-5.95,-54.68,78.72,547.37
