,현대해상,A001450,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,22593.54,24489.28,27924.6,26279.69,26223.95,26876.54,26671.11,27965.43,27553.52,28678.77,28298.47,29470.88,29118.2,30365.47,30803.31,31798.31,30270.07,31879.15,30684.66,32224.03
, - 매출원가,7222.54,7396.87,9666.75,8009.35,7953.57,6582.45,5242.44,7461.92,8279.76,12945.71,6920.32,9507.17,6651.95,8049.7,4222.64,8689.61,9290.74,7734.19,6609.87,6921.59
, = 매출총이익,15371,17092.41,18257.85,18270.34,18270.38,20294.09,21428.67,20503.51,19273.76,15733.06,21378.15,19963.71,22466.25,22315.77,26580.67,23108.7,20979.33,24144.96,24074.79,25302.44
, - 판매비와관리비,14059.5,15777.15,17185.83,16709.38,17049.15,19267.27,20192.78,19267.54,18289.23,14947.71,20373.8,19012.4,21669.33,21766.34,25623.51,21712.57,19848.14,24319.77,22789.6,23727.15
, = 영업이익,1311.5,1315.26,1072.02,1560.96,1221.23,1026.82,1235.89,1235.97,984.53,785.35,1004.35,951.31,796.92,549.43,957.16,1396.13,1131.19,-174.81,1285.19,1575.29
,* 지배순이익,981.28,884.35,808.79,1182.98,905.3,718.74,894.39,917.08,676.04,493.26,573.2,664.48,527.06,584.9,669.49,1009.6,794.1,-350.03,925.1,1144.54
,매출원가비중,31.97,30.2,34.62,30.48,30.33,24.49,19.66,26.68,30.05,45.14,24.45,32.26,22.84,26.51,13.71,27.33,30.69,24.26,21.54,21.48
,매출총이익율,68.03,69.8,65.38,69.52,69.67,75.51,80.34,73.32,69.95,54.86,75.55,67.74,77.16,73.49,86.29,72.67,69.31,75.74,78.46,78.52
,판관비율,62.23,64.42,61.54,63.58,65.01,71.69,75.71,68.9,66.38,52.12,72,64.51,74.42,71.68,83.18,68.28,65.57,76.29,74.27,73.63
,영업이익률,5.8,5.37,3.84,5.94,4.66,3.82,4.63,4.42,3.57,2.74,3.55,3.23,2.74,1.81,3.11,4.39,3.74,-0.55,4.19,4.89
,지배순이익률,4.34,3.61,2.9,4.5,3.45,2.67,3.35,3.28,2.45,1.72,2.03,2.25,1.81,1.93,2.17,3.18,2.62,-1.1,3.01,3.55
,매출액YOY(%),,,,,16.07,9.75,-4.49,6.41,5.07,6.71,6.1,5.38,5.68,5.88,8.85,7.9,3.96,4.98,-0.39,1.34
,영업이익YOY(%),,,,,-6.88,-21.93,15.29,-20.82,-19.38,-23.52,-18.73,-23.03,-19.06,-30.04,-4.7,46.76,41.95,-131.82,34.27,12.83
,지배순이익YOY(%),,,,,-7.74,-18.73,10.58,-22.48,-25.32,-31.37,-35.91,-27.54,-22.04,18.58,16.8,51.94,50.67,-159.84,38.18,13.37
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
