,농심,A004370,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4820.31,4912.57,4961.24,4691.7,5006.75,5429.25,5319.65,4963.74,5078.14,5504.99,5422.66,4903.54,4880.89,5209.95,5399.48,5294.7,5459.77,5662.29,5681.36,5272.2
, - 매출원가,3609.52,3687.64,3634.82,3490.7,3658.72,3842.54,3797.12,3585.26,3689.17,3933.8,3845.91,3514.82,3484.91,3717.92,3788.61,3692.71,3733.32,3881.59,3872.27,3587.22
, = 매출총이익,1210.79,1224.93,1326.42,1201,1348.03,1586.71,1522.53,1378.48,1388.97,1571.19,1576.75,1388.72,1395.98,1492.03,1610.87,1601.99,1726.45,1780.7,1809.09,1684.98
, - 판매비와관리비,934.19,1079.34,1054.66,1056.26,1043.73,1311.08,1218.6,1240.68,1217.35,1258.51,1244.18,1289.95,1242.84,1341.07,1334.01,1360.07,1351.15,1491.9,1484.98,1560.8
, = 영업이익,276.6,145.59,271.76,144.74,304.3,275.63,303.93,137.8,171.62,312.68,332.57,98.77,153.14,150.96,276.86,241.92,375.3,288.8,324.11,124.18
,* 지배순이익,194.7,73.78,-806.01,166.91,311.63,298.65,253.89,118.93,233.44,277.7,292.59,123.54,151.64,82.26,233.99,363.86,291.47,284.06,1437.88,146.81
,매출원가비중,74.88,75.07,73.26,74.4,73.08,70.77,71.38,72.23,72.65,71.46,70.92,71.68,71.4,71.36,70.17,69.74,68.38,68.55,68.16,68.04
,매출총이익율,25.12,24.93,26.74,25.6,26.92,29.23,28.62,27.77,27.35,28.54,29.08,28.32,28.6,28.64,29.83,30.26,31.62,31.45,31.84,31.96
,판관비율,19.38,21.97,21.26,22.51,20.85,24.15,22.91,24.99,23.97,22.86,22.94,26.31,25.46,25.74,24.71,25.69,24.75,26.35,26.14,29.6
,영업이익률,5.74,2.96,5.48,3.09,6.08,5.08,5.71,2.78,3.38,5.68,6.13,2.01,3.14,2.9,5.13,4.57,6.87,5.1,5.7,2.36
,지배순이익률,4.04,1.5,-16.25,3.56,6.22,5.5,4.77,2.4,4.6,5.04,5.4,2.52,3.11,1.58,4.33,6.87,5.34,5.02,25.31,2.78
,매출액YOY(%),,,,,3.87,10.52,7.22,5.8,1.43,1.4,1.94,-1.21,-3.88,-5.36,-0.43,7.98,11.86,8.68,5.22,-0.42
,영업이익YOY(%),,,,,10.01,89.32,11.84,-4.79,-43.6,13.44,9.42,-28.32,-10.77,-51.72,-16.75,144.93,145.07,91.31,17.07,-48.67
,지배순이익YOY(%),,,,,60.06,304.78,131.5,-28.75,-25.09,-7.01,15.24,3.88,-35.04,-70.38,-20.03,194.53,92.21,245.32,514.5,-59.65
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5477.24,5739.35,5553.71,5362.94,5716.8,5449.17,5630.7,5327.69,5660.32,5745.66,5885.72,5681.7,5898.89,5973.12,6876.8,6680.18,6514.78,6326.2,6652,
