,동원산업,A006040,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,3110.94,3480.07,4024.78,3929.68,3951.66,3530.09,4045.84,3594.94,3688.23,3108.99,3778.33,3028.25,3630.84,3402.07,3357.81,3414,3617.98,3207.56,3789.64,4008.08
, - 매출원가,2706.35,2918.63,3331.05,3114.48,3288.73,3211.07,3352.75,2885.7,3083.53,2717.32,3210.96,2701.34,3003.53,2888.05,2939.47,2896.15,2975.06,2659.97,3198.21,3204.56
, = 매출총이익,404.59,561.44,693.73,815.2,662.93,319.02,693.09,709.24,604.7,391.67,567.37,326.91,627.31,514.02,418.34,517.85,642.92,547.59,591.43,803.52
, - 판매비와관리비,285.18,274.29,337.13,282.86,300.15,173.16,355.48,266.95,303.05,359.79,342.87,275.2,298.55,307.28,377.7,370.38,337.38,467.75,404.03,351.72
, = 영업이익,119.41,287.15,356.6,532.34,362.78,145.86,337.61,442.29,301.65,31.88,224.5,51.71,328.76,206.74,40.64,147.47,305.54,79.84,187.4,451.8
,* 지배순이익,-10.74,264.61,223.95,354.18,288.5,159.04,288.6,280.91,98.28,98.82,111.37,121.19,185.49,188.49,-59.74,59.71,168.59,-52.49,138.29,196.96
,매출원가비중,86.99,83.87,82.76,79.26,83.22,90.96,82.87,80.27,83.6,87.4,84.98,89.2,82.72,84.89,87.54,84.83,82.23,82.93,84.39,79.95
,매출총이익율,13.01,16.13,17.24,20.74,16.78,9.04,17.13,19.73,16.4,12.6,15.02,10.8,17.28,15.11,12.46,15.17,17.77,17.07,15.61,20.05
,판관비율,9.17,7.88,8.38,7.2,7.6,4.91,8.79,7.43,8.22,11.57,9.07,9.09,8.22,9.03,11.25,10.85,9.33,14.58,10.66,8.78
,영업이익률,3.84,8.25,8.86,13.55,9.18,4.13,8.34,12.3,8.18,1.03,5.94,1.71,9.05,6.08,1.21,4.32,8.45,2.49,4.95,11.27
,지배순이익률,-0.35,7.6,5.56,9.01,7.3,4.51,7.13,7.81,2.66,3.18,2.95,4,5.11,5.54,-1.78,1.75,4.66,-1.64,3.65,4.91
,매출액YOY(%),,,,,27.02,1.44,0.52,-8.52,-6.67,-11.93,-6.61,-15.76,-1.56,9.43,-11.13,12.74,-0.35,-5.72,12.86,17.4
,영업이익YOY(%),,,,,203.81,-49.2,-5.33,-16.92,-16.85,-78.14,-33.5,-88.31,8.99,548.49,-81.9,185.19,-7.06,-61.38,361.12,206.37
,지배순이익YOY(%),,,,,2786.22,-39.9,28.87,-20.69,-65.93,-37.86,-61.41,-56.86,88.74,90.74,-153.64,-50.73,-9.11,-127.85,331.49,229.86
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3979.84,3986.3,5545.86,5872.15,6175.6,6217.06,6052.45,5971.94,6164.52,6257.2,6738.1,6691.91,7025.29,6370.65,7445.33,7209.28,7341.47,6577.24,7543,
