,오리온홀딩스,A001800,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4922.97,5267.95,6260.92,5404.48,6014.53,6000.39,6447.78,5789.54,6295.64,6319,6548.09,4964.91,5552.34,4932.54,6263.91,5125.65,6394.03,6040.18,437.58,93.67
, - 매출원가,2733.22,2915.7,3386.44,2970.67,3469.83,3657.16,3592.86,3376.04,3579.85,3530.49,3651.76,2667.74,2980.79,2323.8,3201.32,2792.33,3594.1,3088.79,350.67,66.32
, = 매출총이익,2189.75,2352.25,2874.48,2433.81,2544.7,2343.23,2854.92,2413.5,2715.79,2788.51,2896.33,2297.17,2571.55,2608.74,3062.59,2333.32,2799.93,2951.39,86.91,27.35
, - 판매비와관리비,1526.99,1919.4,1715.47,1742.02,1948.49,2152.92,1924.61,1932.16,2005.51,2315.63,1950,1898.75,1838.33,2197.98,1993.7,1858.84,2013.78,2287.71,54.07,85.7
, = 영업이익,662.76,432.85,1159.01,691.79,596.21,190.31,930.31,481.34,710.28,472.88,946.33,398.42,733.22,410.76,1068.89,474.48,786.15,663.68,32.84,-58.35
,* 지배순이익,355.48,48.57,640.38,330.73,387.33,157.64,559.99,237.81,418.73,240.42,534.83,237.32,499.11,363.44,770.69,189.32,354.4,308.77,689.62,68.53
,매출원가비중,55.52,55.35,54.09,54.97,57.69,60.95,55.72,58.31,56.86,55.87,55.77,53.73,53.69,47.11,51.11,54.48,56.21,51.14,80.14,70.8
,매출총이익율,44.48,44.65,45.91,45.03,42.31,39.05,44.28,41.69,43.14,44.13,44.23,46.27,46.31,52.89,48.89,45.52,43.79,48.86,19.86,29.2
,판관비율,31.02,36.44,27.4,32.23,32.4,35.88,29.85,33.37,31.86,36.65,29.78,38.24,33.11,44.56,31.83,36.27,31.49,37.87,12.36,91.49
,영업이익률,13.46,8.22,18.51,12.8,9.91,3.17,14.43,8.31,11.28,7.48,14.45,8.02,13.21,8.33,17.06,9.26,12.3,10.99,7.5,-62.29
,지배순이익률,7.22,0.92,10.23,6.12,6.44,2.63,8.69,4.11,6.65,3.8,8.17,4.78,8.99,7.37,12.3,3.69,5.54,5.11,157.6,73.16
,매출액YOY(%),,,,,22.17,13.9,2.98,7.12,4.67,5.31,1.56,-14.24,-11.81,-21.94,-4.34,3.24,15.16,22.46,-93.01,-98.17
,영업이익YOY(%),,,,,-10.04,-56.03,-19.73,-30.42,19.13,148.48,1.72,-17.23,3.23,-13.14,12.95,19.09,7.22,61.57,-96.93,-112.3
,지배순이익YOY(%),,,,,8.96,224.56,-12.55,-28.1,8.11,52.51,-4.49,-0.21,19.2,51.17,44.1,-20.23,-28.99,-15.04,-10.52,-63.8
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,346.36,402.04,90.11,159.28,576.15,301.93,5330.65,4360.61,4947.91,5337.66,5274.44,4496.68,5558.22,5706.56,5721.69,5198.76,6013.84,5870.59,0,
