,BNK금융지주,A138930,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4749.55,5017.51,5411.02,5421.42,5436.41,5385.59,5192.14,5271.81,5333.85,5377.94,5363.57,5443.04,5544.82,8606.31,8409.82,8369.62,8249.68,8162.73,8058.47,8146.47
, - 매출원가,2145.25,2313.2,2518.69,2588.15,2605.35,2510.64,2460.88,2386.56,2398.59,2385.14,2285.87,2334.66,2367.57,3697.29,3468.2,3338.77,3096.34,2948.73,2899.09,2836.48
, = 매출총이익,2604.3,2704.31,2892.33,2833.27,2831.06,2874.95,2731.26,2885.25,2935.26,2992.8,3077.7,3108.38,3177.25,4909.02,4941.62,5030.85,5153.34,5214,5159.38,5309.99
, - 판매비와관리비,1321.07,1591.65,1384.04,1634.18,1310.03,2167.23,1460.88,1649.18,1588.99,2718.14,1728.2,1756.83,1602.71,-226.79,2564.8,2982.88,3054.95,4775.41,3001.89,3258.03
, = 영업이익,1283.23,1112.66,1508.29,1199.09,1521.03,707.72,1270.38,1236.07,1346.27,274.66,1349.5,1351.55,1574.54,5135.81,2376.82,2047.97,2098.39,438.59,2157.49,2051.96
,* 지배순이익,951.83,792.64,1116.33,884.74,1150.85,506.81,943.54,927.97,969.51,204.12,1002.04,1006.53,1164.3,4924.82,1539.64,1654.21,1481.04,180.23,1590.42,1523.88
,매출원가비중,45.17,46.1,46.55,47.74,47.92,46.62,47.4,45.27,44.97,44.35,42.62,42.89,42.7,42.96,41.24,39.89,37.53,36.12,35.98,34.82
,매출총이익율,54.83,53.9,53.45,52.26,52.08,53.38,52.6,54.73,55.03,55.65,57.38,57.11,57.3,57.04,58.76,60.11,62.47,63.88,64.02,65.18
,판관비율,27.81,31.72,25.58,30.14,24.1,40.24,28.14,31.28,29.79,50.54,32.22,32.28,28.9,-2.64,30.5,35.64,37.03,58.5,37.25,39.99
,영업이익률,27.02,22.18,27.87,22.12,27.98,13.14,24.47,23.45,25.24,5.11,25.16,24.83,28.4,59.67,28.26,24.47,25.44,5.37,26.77,25.19
,지배순이익률,20.04,15.8,20.63,16.32,21.17,9.41,18.17,17.6,18.18,3.8,18.68,18.49,21,57.22,18.31,19.76,17.95,2.21,19.74,18.71
,매출액YOY(%),,,,,14.46,7.34,-4.05,-2.76,-1.89,-0.14,3.3,3.25,3.96,60.03,56.8,53.77,48.78,-5.15,-4.18,-2.67
,영업이익YOY(%),,,,,18.53,-36.39,-15.77,3.08,-11.49,-61.19,6.23,9.34,16.96,1769.88,76.13,51.53,33.27,-91.46,-9.23,0.19
,지배순이익YOY(%),,,,,20.91,-36.06,-15.48,4.89,-15.76,-59.72,6.2,8.47,20.09,2312.71,53.65,64.35,27.2,-96.34,3.3,-7.88
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
