,KB금융,A105560,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,35936.46,36584.52,36126.77,35899.15,35675.02,34400.12,32020.07,30803.37,30205.16,30540.7,28985.04,29493.12,29220.6,28654.2,27116.9,25857.85,25547.01,25236.47,24663.32,24645.76
, - 매출원가,17816.26,18001.63,18211.61,18265.96,18345.83,16899.83,15514.16,14308.62,14431.14,14087.06,13557.93,13412.31,12953.23,12271.74,11747.73,10382.24,10021.33,9574.94,9600.48,9199.35
, = 매출총이익,18120.2,18582.89,17915.16,17633.19,17329.19,17500.29,16505.91,16494.75,15774.02,16453.64,15427.11,16080.81,16267.37,16382.46,15369.17,15475.61,15525.68,15661.53,15062.84,15446.41
, - 판매비와관리비,10245.34,14232.09,9821.06,10160.48,11311.45,14762.86,11177.26,11979.8,9928.54,11872.8,10589.87,10826.72,10424.65,12725.28,10010.24,11496.68,10112.29,12201.44,8383.77,9196.03
, = 영업이익,7874.86,4350.8,8094.1,7472.71,6017.74,2737.43,5328.65,4514.95,5845.48,4580.84,4837.24,5254.09,5842.72,3657.18,5358.93,3978.93,5413.39,3460.09,6679.07,6250.38
,* 지배순이익,5790.72,2190.69,6049.39,5517.55,4641.07,1102.33,4114.58,1635.2,4265.66,2699.58,3592.34,3922.19,4462.94,2029.75,6049.65,3317.29,4144.99,3471.25,5450.04,5803.63
,매출원가비중,49.58,49.21,50.41,50.88,51.42,49.13,48.45,46.45,47.78,46.13,46.78,45.48,44.33,42.83,43.32,40.15,39.23,37.94,38.93,37.33
,매출총이익율,50.42,50.79,49.59,49.12,48.58,50.87,51.55,53.55,52.22,53.87,53.22,54.52,55.67,57.17,56.68,59.85,60.77,62.06,61.07,62.67
,판관비율,28.51,38.9,27.18,28.3,31.71,42.92,34.91,38.89,32.87,38.88,36.54,36.71,35.68,44.41,36.92,44.46,39.58,48.35,33.99,37.31
,영업이익률,21.91,11.89,22.4,20.82,16.87,7.96,16.64,14.66,19.35,15,16.69,17.81,20,12.76,19.76,15.39,21.19,13.71,27.08,25.36
,지배순이익률,16.11,5.99,16.74,15.37,13.01,3.2,12.85,5.31,14.12,8.84,12.39,13.3,15.27,7.08,22.31,12.83,16.22,13.75,22.1,23.55
,매출액YOY(%),,,,,-0.73,-5.97,-11.37,-14.19,-15.33,-11.22,-9.48,-4.25,-3.26,-6.18,-6.45,-12.33,-12.57,-11.93,-9.05,-4.69
,영업이익YOY(%),,,,,-23.58,-37.08,-34.17,-39.58,-2.86,67.34,-9.22,16.37,-0.05,-20.16,10.78,-24.27,-7.35,-5.39,24.63,57.09
,지배순이익YOY(%),,,,,-19.85,-49.68,-31.98,-70.36,-8.09,144.9,-12.69,139.86,4.62,-24.81,68.4,-15.42,-7.12,71.02,-9.91,74.95
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
