,신한지주,A055550,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,35200.01,35862.3,35635.66,35222.63,35421.59,33701.21,31930.97,31532.59,31257.87,31191.79,29969.59,30256.13,30461.56,29917.79,28527.97,27775.09,27443.17,27550.81,27684.47,27926.12
, - 매출원가,17178.39,18023.05,17920.57,17787.25,17697.98,16778.11,15862.07,15068.74,14734.65,14198.92,13390.04,13362.61,13355.94,12598.48,12190.98,11244.45,10673.63,10258.65,10537.72,10205.79
, = 매출총이익,18021.62,17839.25,17715.09,17435.38,17723.61,16923.1,16068.9,16463.85,16523.22,16992.87,16579.55,16893.52,17105.62,17319.31,16336.99,16530.64,16769.54,17292.16,17146.75,17720.33
, - 판매비와관리비,8327.34,11107.53,7066.16,8741.35,10575.46,11634.54,9394.99,9030.3,8929.1,12374.46,9001.32,9356.63,8776.13,14215.82,8807.27,7673.5,8982.53,11734.62,10592.49,8818.5
, = 영업이익,9694.28,6731.72,10648.93,8694.03,7148.15,5288.56,6673.91,7433.55,7594.12,4618.41,7578.23,7536.89,8329.49,3103.49,7529.72,8857.14,7787.01,5557.54,6554.26,8901.83
,* 지배순이익,7041.85,5067.23,8272.88,6318.36,5520.73,3106.93,4809.43,5553.28,5232.19,3390.87,5584.31,5776.08,6320.08,3130.63,5920.5,6920.9,6790.03,4040.28,7713.24,6834.67
,매출원가비중,48.8,50.26,50.29,50.5,49.96,49.78,49.68,47.79,47.14,45.52,44.68,44.16,43.85,42.11,42.73,40.48,38.89,37.24,38.06,36.55
,매출총이익율,51.2,49.74,49.71,49.5,50.04,50.22,50.32,52.21,52.86,54.48,55.32,55.84,56.15,57.89,57.27,59.52,61.11,62.76,61.94,63.45
,판관비율,23.66,30.97,19.83,24.82,29.86,34.52,29.42,28.64,28.57,39.67,30.03,30.92,28.81,47.52,30.87,27.63,32.73,42.59,38.26,31.58
,영업이익률,27.54,18.77,29.88,24.68,20.18,15.69,20.9,23.57,24.3,14.81,25.29,24.91,27.34,10.37,26.39,31.89,28.38,20.17,23.67,31.88
,지배순이익률,20.01,14.13,23.22,17.94,15.59,9.22,15.06,17.61,16.74,10.87,18.63,19.09,20.75,10.46,20.75,24.92,24.74,14.66,27.86,24.47
,매출액YOY(%),,,,,0.63,-6.03,-10.4,-10.48,-11.75,-7.45,-6.14,-4.05,-2.55,-4.08,-4.81,-8.2,-9.91,-7.91,-2.96,0.54
,영업이익YOY(%),,,,,-26.26,-21.44,-37.33,-14.5,6.24,-12.67,13.55,1.39,9.68,-32.8,-0.64,17.52,-6.51,79.07,-12.95,0.5
,지배순이익YOY(%),,,,,-21.6,-38.69,-41.87,-12.11,-5.23,9.14,16.11,4.01,20.79,-7.67,6.02,19.82,7.44,29.06,30.28,-1.25
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
