,네이처셀,A007390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,65.2,56.72,52.13,84.82,82.26,52.85,45.56,105.49,105.49,35.54,51.5,61.75,73.21,67.1,55.93,96.44,82.92,70.25,65.18,69.8
, - 매출원가,61.52,50.78,46.9,75.43,72.06,50.78,42.82,90.5,90.5,33.02,47.2,63.63,68.47,60.3,49.83,90.44,74.7,58.62,54.3,62.79
, = 매출총이익,3.68,5.94,5.23,9.39,10.2,2.07,2.74,14.99,14.99,2.52,4.3,-1.88,4.74,6.8,6.1,6,8.22,11.63,10.88,7.01
, - 판매비와관리비,5.57,5.73,6.8,8,7.18,9.48,4.04,8.53,8.53,2.74,3.67,6.76,6.18,10.4,11.1,10.33,9.55,12.61,15.75,12.37
, = 영업이익,-1.89,0.21,-1.57,1.39,3.02,-7.41,-1.3,6.46,6.46,-0.22,0.63,-8.64,-1.44,-3.6,-5,-4.33,-1.33,-0.98,-4.87,-5.36
,* 지배순이익,-2.36,-3.31,-2.74,-5.13,-0.8,-10.33,-2.38,-25.22,-25.22,17.72,16.65,-10.61,16.64,-3.73,-6.65,-2.62,0.7,-4.78,-3.26,-3.69
,매출원가비중,94.36,89.53,89.97,88.93,87.6,96.08,93.99,85.79,85.79,92.91,91.65,103.04,93.53,89.87,89.09,93.78,90.09,83.44,83.31,89.96
,매출총이익율,5.64,10.47,10.03,11.07,12.4,3.92,6.01,14.21,14.21,7.09,8.35,-3.04,6.47,10.13,10.91,6.22,9.91,16.56,16.69,10.04
,판관비율,8.54,10.1,13.04,9.43,8.73,17.94,8.87,8.09,8.09,7.71,7.13,10.95,8.44,15.5,19.85,10.71,11.52,17.95,24.16,17.72
,영업이익률,-2.9,0.37,-3.01,1.64,3.67,-14.02,-2.85,6.12,6.12,-0.62,1.22,-13.99,-1.97,-5.37,-8.94,-4.49,-1.6,-1.4,-7.47,-7.68
,지배순이익률,-3.62,-5.84,-5.26,-6.05,-0.97,-19.55,-5.22,-23.91,-23.91,49.86,32.33,-17.18,22.73,-5.56,-11.89,-2.72,0.84,-6.8,-5,-5.29
,매출액YOY(%),,,,,26.17,-6.82,-12.6,24.37,28.24,-32.75,13.04,-41.46,-30.6,88.8,8.6,56.18,13.26,4.69,16.54,-27.62
,영업이익YOY(%),,,,,259.79,-3628.57,17.2,364.75,113.91,97.03,148.46,-233.75,-122.29,-1536.36,-893.65,49.88,7.64,72.78,2.6,-23.79
,지배순이익YOY(%),,,,,66.1,-212.08,13.14,-391.62,-3052.5,271.54,799.58,57.93,165.98,-121.05,-139.94,75.31,-95.79,-28.15,50.98,-40.84
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
