,롯데칠성,A005300,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,5560.39,5011.27,5023.51,5946.61,6172.98,4842.74,5120.15,5831.49,6227.72,4979.84,5236.15,5878.74,6084.46,4641.68,5186.62,6209.38,6454.61,5140.99,5428.16,6285.25
, - 매출원가,3178.49,3019.95,3010.52,3568.37,3656.54,2845.44,3004.22,3334.91,3611.77,2896.26,2963.55,3393.3,3555.52,2795.05,2927.93,3558.66,3675.32,3021.33,3075.73,3489.29
, = 매출총이익,2381.9,1991.32,2012.99,2378.24,2516.44,1997.3,2115.93,2496.58,2615.95,2083.58,2272.6,2485.44,2528.94,1846.63,2258.69,2650.72,2779.29,2119.66,2352.43,2795.96
, - 판매비와관리비,1848.06,1677.57,1650.37,1906.56,2016.15,1831.52,1819.59,1960.73,1952.68,1855.2,1876.26,2188.03,2214.31,1925.01,1897.9,2159.04,2239.61,2083.04,1972.68,2288.72
, = 영업이익,533.84,313.75,362.62,471.68,500.29,165.78,296.34,535.85,663.27,228.38,396.34,297.41,314.63,-78.38,360.79,491.68,539.68,36.62,379.75,507.24
,* 지배순이익,292.26,-31.7,212.83,284.26,260.48,73.06,180.04,403.6,432.03,-5.4,240.41,130.06,179.7,-363.38,228.62,643.91,341.55,-217.92,263.94,289.28
,매출원가비중,57.16,60.26,59.93,60.01,59.23,58.76,58.67,57.19,58,58.16,56.6,57.72,58.44,60.22,56.45,57.31,56.94,58.77,56.66,55.52
,매출총이익율,42.84,39.74,40.07,39.99,40.77,41.24,41.33,42.81,42,41.84,43.4,42.28,41.56,39.78,43.55,42.69,43.06,41.23,43.34,44.48
,판관비율,33.24,33.48,32.85,32.06,32.66,37.82,35.54,33.62,31.35,37.25,35.83,37.22,36.39,41.47,36.59,34.77,34.7,40.52,36.34,36.41
,영업이익률,9.6,6.26,7.22,7.93,8.1,3.42,5.79,9.19,10.65,4.59,7.57,5.06,5.17,-1.69,6.96,7.92,8.36,0.71,7,8.07
,지배순이익률,5.26,-0.63,4.24,4.78,4.22,1.51,3.52,6.92,6.94,-0.11,4.59,2.21,2.95,-7.83,4.41,10.37,5.29,-4.24,4.86,4.6
,매출액YOY(%),,,,,11.02,-3.36,1.92,-1.94,0.89,2.83,2.27,0.81,-2.3,-6.79,-0.95,5.62,6.08,10.76,4.66,1.22
,영업이익YOY(%),,,,,-6.28,-47.16,-18.28,13.6,32.58,37.76,33.75,-44.5,-52.56,-134.32,-8.97,65.32,71.53,146.72,5.26,3.16
,지배순이익YOY(%),,,,,-10.87,330.47,-15.41,41.98,65.86,-107.39,33.53,-67.78,-58.41,-6629.26,-4.9,395.09,90.07,40.03,15.45,-55.07
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
