,풍국주정,A023900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,117.6,114.32,115.61,120.16,114.37,250.59,236.96,257.5,243.17,265.24,248.13,255.06,266.91,308.18,235.36,280,241.21,258.07,242.92,236.61
, - 매출원가,91.3,90.55,105.89,99.77,94.39,197.14,178.5,199.76,191.99,206.79,192.7,195.76,205.6,261.83,172.86,204.37,186.45,203.08,172.86,170.24
, = 매출총이익,26.3,23.77,9.72,20.39,19.98,53.45,58.46,57.74,51.18,58.45,55.43,59.3,61.31,46.35,62.5,75.63,54.76,54.99,70.06,66.37
, - 판매비와관리비,7.69,7.82,8.75,7.23,8.49,29.62,35.18,32.44,27.68,26.91,30.69,33.18,33.6,39.04,35.39,34.5,37.01,37.57,37.86,37.63
, = 영업이익,18.61,15.95,0.97,13.16,11.49,23.83,23.28,25.3,23.5,31.54,24.74,26.12,27.71,7.31,27.11,41.13,17.75,17.42,32.2,28.74
,* 지배순이익,14.59,15.15,1.17,11.64,9.27,14.36,17.4,17.14,15.59,22.61,17.95,19.42,20.25,4.06,20.71,28.16,13.48,14.13,28.1,22.63
,매출원가비중,77.64,79.21,91.59,83.03,82.53,78.67,75.33,77.58,78.95,77.96,77.66,76.75,77.03,84.96,73.44,72.99,77.3,78.69,71.16,71.95
,매출총이익율,22.36,20.79,8.41,16.97,17.47,21.33,24.67,22.42,21.05,22.04,22.34,23.25,22.97,15.04,26.56,27.01,22.7,21.31,28.84,28.05
,판관비율,6.54,6.84,7.57,6.02,7.42,11.82,14.85,12.6,11.38,10.15,12.37,13.01,12.59,12.67,15.04,12.32,15.34,14.56,15.59,15.9
,영업이익률,15.82,13.95,0.84,10.95,10.05,9.51,9.82,9.83,9.66,11.89,9.97,10.24,10.38,2.37,11.52,14.69,7.36,6.75,13.26,12.15
,지배순이익률,12.41,13.25,1.01,9.69,8.11,5.73,7.34,6.66,6.41,8.52,7.23,7.61,7.59,1.32,8.8,10.06,5.59,5.48,11.57,9.56
,매출액YOY(%),,,,,-2.75,119.2,104.96,114.3,112.62,5.85,4.71,-0.95,9.76,16.19,-5.15,9.78,-9.63,-16.26,3.21,-15.5
,영업이익YOY(%),,,,,-38.26,49.4,2300,92.25,104.53,32.35,6.27,3.24,17.91,-76.82,9.58,57.47,-35.94,138.3,18.78,-30.12
,지배순이익YOY(%),,,,,-36.46,-5.21,1387.18,47.25,68.18,57.45,3.16,13.3,29.89,-82.04,15.38,45.01,-33.43,248.03,35.68,-19.64
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,233.32,254.78,253.57,278.55,281.12,262.3,267.8,289.72,322.61,324.39,288.58,289.28,322.34,314.11,312.04,275.12,295,297.74,0,
, - 매출원가,172.53,191.22,187.23,221.31,208.54,204.09,206.08,220.57,246.15,258.56,219.59,234.41,251.72,253.58,251.97,222.82,215.29,228.4,,
