,하이트진로홀딩스,A000140,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,5536.81,5084.22,4534.87,5508.79,5619.11,5153.94,4338.62,5038.19,5301.22,4750.8,4131.39,4952.89,5076.67,4736.51,4357.54,4845.87,5062.14,5005.7,4137.64,5057.89
, - 매출원가,3172.74,2996.61,2650.75,3142.46,3070.94,2978.99,2488.92,2813.53,2961.59,2788.13,2479.19,2836.65,2841.61,2773.03,2494.72,2768.78,2818.14,2891.86,2368.01,2815.3
, = 매출총이익,2364.07,2087.61,1884.12,2366.33,2548.17,2174.95,1849.7,2224.66,2339.63,1962.67,1652.2,2116.24,2235.06,1963.48,1862.82,2077.09,2244,2113.84,1769.63,2242.59
, - 판매비와관리비,1826.68,1928.02,1412.04,1965.88,1841.94,1914.06,1358.71,1746.4,1888.03,1704.46,1503.73,1767.71,1824.52,1790.22,1559.13,1767.88,1737.74,1774.26,1481.44,1933.6
, = 영업이익,537.39,159.59,472.08,400.45,706.23,260.89,490.99,478.26,451.6,258.21,148.47,348.53,410.54,173.26,303.69,309.21,506.26,339.58,288.19,308.99
,* 지배순이익,8.34,-173.94,-37.17,235.39,42.3,-71.24,12.15,31.98,22.41,-633.06,-65.25,-16.43,44.53,-1134.68,15.61,2.49,89.32,76.19,-30.44,182.75
,매출원가비중,57.3,58.94,58.45,57.04,54.65,57.8,57.37,55.84,55.87,58.69,60.01,57.27,55.97,58.55,57.25,57.14,55.67,57.77,57.23,55.66
,매출총이익율,42.7,41.06,41.55,42.96,45.35,42.2,42.63,44.16,44.13,41.31,39.99,42.73,44.03,41.45,42.75,42.86,44.33,42.23,42.77,44.34
,판관비율,32.99,37.92,31.14,35.69,32.78,37.14,31.32,34.66,35.62,35.88,36.4,35.69,35.94,37.8,35.78,36.48,34.33,35.44,35.8,38.23
,영업이익률,9.71,3.14,10.41,7.27,12.57,5.06,11.32,9.49,8.52,5.44,3.59,7.04,8.09,3.66,6.97,6.38,10,6.78,6.97,6.11
,지배순이익률,0.15,-3.42,-0.82,4.27,0.75,-1.38,0.28,0.63,0.42,-13.33,-1.58,-0.33,0.88,-23.96,0.36,0.05,1.76,1.52,-0.74,3.61
,매출액YOY(%),,,,,1.49,1.37,-4.33,-8.54,-5.66,-7.82,-4.78,-1.69,-4.24,-0.3,5.47,-2.16,-0.29,5.68,-5.05,4.38
,영업이익YOY(%),,,,,31.42,63.48,4.01,19.43,-36.05,-1.03,-69.76,-27.13,-9.09,-32.9,104.55,-11.28,23.32,95.99,-5.1,-0.07
,지배순이익YOY(%),,,,,407.19,59.04,132.69,-86.41,-47.02,-788.63,-637.04,-151.38,98.71,-79.24,123.92,115.16,100.58,106.71,-295,7239.36
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
