,기아,A000270,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,99899.85,109626.1,117900.4,125508.7,116249.9,112770.3,110848.2,131126.1,116338.7,117666,119258.2,120544.9,114148.1,117019.3,111776.7,124411.1,131109,127917.7,126493.7,144499.8
, - 매출원가,75404.05,82303.75,90683.11,94307.89,90860.8,89508.23,87398.76,101228.8,92772.7,93719.15,94464.76,95868.67,91958.96,95248.76,89998.46,99027.06,105346.6,102165.5,100762.3,115214.5
, = 매출총이익,24495.8,27322.35,27217.28,31200.81,25389.1,23262.09,23449.43,29897.29,23565.98,23946.86,24793.47,24676.22,22189.15,21770.5,21778.22,25384.03,25762.37,25752.16,25731.41,29285.29
, - 판매비와관리비,16219.49,19325.06,16364.78,18886.29,17375.45,19220.25,16407.84,18633.59,16602.9,17444.23,17437.08,16978.79,16523.4,16764.58,16661.73,18876.93,18987.34,20608.05,19395.19,21576.43
, = 영업이익,8276.31,7997.29,10852.5,12314.52,8013.65,4041.84,7041.59,11263.7,6963.08,6502.63,7356.39,7697.43,5665.75,5005.92,5116.49,6507.1,6775.03,5144.11,6336.22,7708.86
,* 지배순이익,6166.15,7658.91,12012.55,10964.68,8294.63,7375.01,7839.28,11808.82,9032.61,9489.88,8763,10237.58,6573.54,4361.81,9032.2,7465.15,5500.72,4307.93,9445.84,8256.86
,매출원가비중,75.48,75.08,76.92,75.14,78.16,79.37,78.85,77.2,79.74,79.65,79.21,79.53,80.56,81.4,80.52,79.6,80.35,79.87,79.66,79.73
,매출총이익율,24.52,24.92,23.08,24.86,21.84,20.63,21.15,22.8,20.26,20.35,20.79,20.47,19.44,18.6,19.48,20.4,19.65,20.13,20.34,20.27
,판관비율,16.24,17.63,13.88,15.05,14.95,17.04,14.8,14.21,14.27,14.83,14.62,14.09,14.48,14.33,14.91,15.17,14.48,16.11,15.33,14.93
,영업이익률,8.28,7.3,9.2,9.81,6.89,3.58,6.35,8.59,5.99,5.53,6.17,6.39,4.96,4.28,4.58,5.23,5.17,4.02,5.01,5.33
,지배순이익률,6.17,6.99,10.19,8.74,7.14,6.54,7.07,9.01,7.76,8.07,7.35,8.49,5.76,3.73,8.08,6,4.2,3.37,7.47,5.71
,매출액YOY(%),,,,,16.37,2.87,-5.98,4.48,0.08,4.34,7.59,-8.07,-1.88,-0.55,-6.27,3.21,14.86,9.31,13.17,16.15
,영업이익YOY(%),,,,,-3.17,-49.46,-35.12,-8.53,-13.11,60.88,4.47,-31.66,-18.63,-23.02,-30.45,-15.46,19.58,2.76,23.84,18.47
,지배순이익YOY(%),,,,,34.52,-3.71,-34.74,7.7,8.9,28.68,11.78,-13.31,-27.22,-54.04,3.07,-27.08,-16.32,-1.24,4.58,10.61
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
