,쌍용차,A003620,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,7470.57,6768.92,6439.7,7119.06,6965.44,8145.68,7535.84,9069.83,8374.78,9868.26,8625.59,8657.82,7677.67,8304.82,7603.73,8355.09,8194.53,9747.31,8131.53,9640.21
, - 매출원가,6595.1,6024.61,5712.19,6214.58,6119.01,7229.76,6503.27,7704.17,7213.09,8399.01,7321.36,7540.23,6723.41,7109.67,6614.51,7115.08,6864.87,8093.05,6731.88,7963.46
, = 매출총이익,875.47,744.31,727.51,904.48,846.43,915.92,1032.57,1365.66,1161.69,1469.25,1304.23,1117.59,954.26,1195.15,989.22,1240.01,1329.66,1654.26,1399.65,1676.75
, - 판매비와관리비,1181.79,1107.56,1032.2,1089.76,1030.41,1230.52,1212.92,1328.76,1154.23,1422.74,1312.43,1274.32,1236.86,1517,1331.21,1438.93,1365.33,1435.8,1318.94,1483.71
, = 영업이익,-306.32,-363.25,-304.69,-185.28,-183.98,-314.6,-180.35,36.9,7.46,46.51,-8.2,-156.73,-282.6,-321.85,-341.99,-198.92,-35.67,218.46,80.71,193.04
,* 지배순이익,-354.16,12.34,-315.64,-209.31,-134.3,-398.12,-92.14,62.36,15.43,-9.62,107.42,-291.96,-155.51,-169.14,-312.46,-227.01,-271.26,191.32,23.45,180.12
,매출원가비중,88.28,89,88.7,87.29,87.85,88.76,86.3,84.94,86.13,85.11,84.88,87.09,87.57,85.61,86.99,85.16,83.77,83.03,82.79,82.61
,매출총이익율,11.72,11,11.3,12.71,12.15,11.24,13.7,15.06,13.87,14.89,15.12,12.91,12.43,14.39,13.01,14.84,16.23,16.97,17.21,17.39
,판관비율,15.82,16.36,16.03,15.31,14.79,15.11,16.1,14.65,13.78,14.42,15.22,14.72,16.11,18.27,17.51,17.22,16.66,14.73,16.22,15.39
,영업이익률,-4.1,-5.37,-4.73,-2.6,-2.64,-3.86,-2.39,0.41,0.09,0.47,-0.1,-1.81,-3.68,-3.88,-4.5,-2.38,-0.44,2.24,0.99,2
,지배순이익률,-4.74,0.18,-4.9,-2.94,-1.93,-4.89,-1.22,0.69,0.18,-0.1,1.25,-3.37,-2.03,-2.04,-4.11,-2.72,-3.31,1.96,0.29,1.87
,매출액YOY(%),,,,,-6.76,20.34,17.02,27.4,20.23,21.15,14.46,-4.54,-8.32,-15.84,-11.85,-3.5,6.73,17.37,6.94,15.38
,영업이익YOY(%),,,,,39.94,13.39,40.81,119.92,104.05,114.78,95.45,-524.74,-3888.2,-792,-4070.61,-26.92,87.38,167.88,123.6,197.04
,지배순이익YOY(%),,,,,62.08,-3326.26,70.81,129.79,111.49,97.58,216.58,-568.18,-1107.84,-1658.21,-390.88,22.25,-74.43,213.11,107.5,179.34
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
