,현대차,A005380,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,189539.6,205189.8,201649.2,219401.9,196456.3,227189.8,213670.6,231834.5,208194.3,219377,216490.4,227526.1,212804.5,235742.2,209427.6,228216.3,234295.8,247647.7,223506.2,246767.3
, - 매출원가,140568.1,155830.5,155248.3,165308.6,152005.3,177110.5,166627.4,178648.3,162150.8,171168.4,168711,179107,167601.2,185843.5,166109.8,181794.4,188648.9,200459.9,181113.5,196534.7
, = 매출총이익,48971.5,49359.33,46400.93,54093.31,44451,50079.24,47043.19,53186.15,46043.54,48208.57,47779.36,48419.1,45203.26,49898.71,43317.81,46421.88,45646.88,47187.83,42392.72,50232.55
, - 판매비와관리비,29023.84,28561.09,25476.2,28711.85,24678.76,31751.66,28357.78,29121.3,25942.35,27905.05,28395.44,27546.95,28716.22,31141.96,27437.53,28912.8,30607.69,32037.32,28968.81,32614.16
, = 영업이익,19947.66,20798.24,20924.73,25381.46,19772.24,18327.58,18685.41,24064.85,20101.19,20303.52,19383.92,20872.15,16487.04,18756.75,15880.28,17509.08,15039.19,15150.51,13423.91,17618.39
,* 지배순이익,18139.23,19501.15,23017.1,24470.07,20264.03,17914.48,19452.65,24008.87,21398.3,20558.52,19287.05,22446.24,15161.44,16573.34,19088.99,17027.17,11742.68,16314.19,16870.32,16579.57
,매출원가비중,74.16,75.94,76.99,75.35,77.37,77.96,77.98,77.06,77.88,78.02,77.93,78.72,78.76,78.83,79.32,79.66,80.52,80.95,81.03,79.64
,매출총이익율,25.84,24.06,23.01,24.65,22.63,22.04,22.02,22.94,22.12,21.98,22.07,21.28,21.24,21.17,20.68,20.34,19.48,19.05,18.97,20.36
,판관비율,15.31,13.92,12.63,13.09,12.56,13.98,13.27,12.56,12.46,12.72,13.12,12.11,13.49,13.21,13.1,12.67,13.06,12.94,12.96,13.22
,영업이익률,10.52,10.14,10.38,11.57,10.06,8.07,8.74,10.38,9.66,9.26,8.95,9.17,7.75,7.96,7.58,7.67,6.42,6.12,6.01,7.14
,지배순이익률,9.57,9.5,11.41,11.15,10.31,7.89,9.1,10.36,10.28,9.37,8.91,9.87,7.12,7.03,9.11,7.46,5.01,6.59,7.55,6.72
,매출액YOY(%),,,,,3.65,10.72,5.96,5.67,5.97,-3.44,1.32,-1.86,2.21,7.46,-3.26,0.3,10.1,5.05,6.72,8.13
,영업이익YOY(%),,,,,-0.88,-11.88,-10.7,-5.19,1.66,10.78,3.74,-13.27,-17.98,-7.62,-18.07,-16.11,-8.78,-19.23,-15.47,0.62
,지배순이익YOY(%),,,,,11.71,-8.14,-15.49,-1.88,5.6,14.76,-0.85,-6.51,-29.15,-19.38,-1.03,-24.14,-22.55,-1.56,-11.62,-2.63
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
