,한국앤컴퍼니,A000240,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,16877.78,17852.52,17074.01,18444.29,120.94,170.39,218.01,223.25,605.28,488.61,629.41,519.92,593.18,550.13,301.08,172.73,182.65,204.19,636.92,2067.34
, - 매출원가,12598.94,13386.45,12028.46,13006.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023.08
, = 매출총이익,4278.84,4466.07,5045.55,5437.45,120.94,170.39,218.01,223.25,605.28,488.61,629.41,519.92,593.18,550.13,301.08,172.73,182.65,204.19,636.92,1044.26
, - 판매비와관리비,2932.8,3091.48,2711.34,3311.02,45.85,89.56,80.95,71.56,79.9,106.98,87.79,100.5,90.66,131.38,103.93,105.56,103.8,107.59,94.62,203.62
, = 영업이익,1346.04,1374.59,2334.21,2126.43,75.09,80.83,137.06,151.69,525.38,381.63,541.62,419.42,502.52,418.75,197.15,67.17,78.85,96.6,542.3,840.64
,* 지배순이익,487.54,719.88,2172.24,1654.72,28850.01,96.69,146.51,186.49,866.48,402.04,527.14,387.88,495.56,427.69,178.74,69.98,84.9,77.07,534.29,734.05
,매출원가비중,74.65,74.98,70.45,70.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.49
,매출총이익율,25.35,25.02,29.55,29.48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.51
,판관비율,17.38,17.32,15.88,17.95,37.91,52.56,37.13,32.05,13.2,21.89,13.95,19.33,15.28,23.88,34.52,61.11,56.83,52.69,14.86,9.85
,영업이익률,7.98,7.7,13.67,11.53,62.09,47.44,62.87,67.95,86.8,78.11,86.05,80.67,84.72,76.12,65.48,38.89,43.17,47.31,85.14,40.66
,지배순이익률,2.89,4.03,12.72,8.97,23854.81,56.75,67.2,83.53,143.15,82.28,83.75,74.6,83.54,77.74,59.37,40.51,46.48,37.74,83.89,35.51
,매출액YOY(%),,,,,-99.28,-99.05,-98.72,-98.79,400.48,186.76,188.71,132.89,-2,12.59,-52.16,-66.78,-69.21,-62.88,111.55,1096.86
,영업이익YOY(%),,,,,-94.42,-94.12,-94.13,-92.87,599.67,372.14,295.17,176.5,-4.35,9.73,-63.6,-83.99,-84.31,-76.93,175.07,1151.51
,지배순이익YOY(%),,,,,5817.46,-86.57,-93.26,-88.73,-97,315.8,259.8,107.99,-42.81,6.38,-66.09,-81.96,-82.87,-81.98,198.92,948.94
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2091.67,2104.37,1955.51,2033.21,2202.97,2056.76,2037.8,2237.89,1940.94,2262.94,2102.31,1991.19,2290.43,2092.17,1951.27,1757.11,2210.34,2290.69,0,
, - 매출원가,1100.09,1337.7,1246.99,1226.26,1363.92,1441.69,1315.85,1411.17,1293.39,1618.08,1444.53,1396.73,1389.35,1653.09,1378.27,1440.18,1410.88,1553.5,,
