,LG이노텍,A011070,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,10671.2,12135.95,12339.79,12357.71,12199.46,16262.61,15509.5,15211,15955.08,15439.59,14588.29,15429.49,16492.96,18150.45,15412.67,14471.03,15588.44,15909.15,11950.35,11204.54
, - 매출원가,9771.65,11274.73,10938.24,10901.84,10677.15,15024.82,14026.78,13403.45,13967.06,13818.2,12646.98,13185.91,14163.45,16036.19,13450.54,12669.44,13567.58,13966.79,10616.15,10187.01
, = 매출총이익,899.55,861.22,1401.55,1455.87,1522.31,1237.79,1482.72,1807.55,1988.02,1621.39,1941.31,2243.58,2329.51,2114.26,1962.13,1801.59,2020.86,1942.36,1334.2,1017.53
, - 판매비와관리비,953.22,1243.72,1125.66,1286.43,1257.78,1174.4,1324.44,1450.75,1430.54,1332.45,1310.38,1344.37,1300.14,1534.18,1271.77,1312.31,1414.23,1491.78,1330.16,1357.2
, = 영업이익,-53.67,-382.5,275.89,169.44,264.53,63.39,158.28,356.8,557.48,288.94,630.93,899.21,1029.37,580.08,690.36,489.28,606.63,450.58,4.04,-339.67
,* 지배순이익,-355.52,-933.02,-24.16,44.75,35.88,-305.88,-65.06,68.96,277.34,-125.84,164.28,435.83,583.54,-56.88,281.23,313.89,237.76,118.04,-121.19,-319.45
,매출원가비중,91.57,92.9,88.64,88.22,87.52,92.39,90.44,88.12,87.54,89.5,86.69,85.46,85.88,88.35,87.27,87.55,87.04,87.79,88.84,90.92
,매출총이익율,8.43,7.1,11.36,11.78,12.48,7.61,9.56,11.88,12.46,10.5,13.31,14.54,14.12,11.65,12.73,12.45,12.96,12.21,11.16,9.08
,판관비율,8.93,10.25,9.12,10.41,10.31,7.22,8.54,9.54,8.97,8.63,8.98,8.71,7.88,8.45,8.25,9.07,9.07,9.38,11.13,12.11
,영업이익률,-0.5,-3.15,2.24,1.37,2.17,0.39,1.02,2.35,3.49,1.87,4.32,5.83,6.24,3.2,4.48,3.38,3.89,2.83,0.03,-3.03
,지배순이익률,-3.33,-7.69,-0.2,0.36,0.29,-1.88,-0.42,0.45,1.74,-0.82,1.13,2.82,3.54,-0.31,1.82,2.17,1.53,0.74,-1.01,-2.85
,매출액YOY(%),,,,,14.32,34,25.69,23.09,30.79,-5.06,-5.94,1.44,3.37,17.56,5.65,-6.21,-5.48,-12.35,-22.46,-22.57
,영업이익YOY(%),,,,,592.88,116.57,-42.63,110.58,110.74,355.81,298.62,152.02,84.65,100.76,9.42,-45.59,-41.07,-22.32,-99.41,-169.42
,지배순이익YOY(%),,,,,110.09,67.22,-169.29,54.1,672.97,58.86,352.51,532,110.41,54.8,71.19,-27.98,-59.26,307.52,-143.09,-201.77
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
