,고영,A098460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,209.96,196.03,190.57,295.91,238.95,291.44,218.03,325.41,290.45,285.13,336.93,367.81,336.19,387.47,315.7,377.62,364.79,400.93,370.03,468.35
, - 매출원가,89.89,90.8,82.28,130.42,115.64,131.94,100.87,146.48,132.89,119.54,155.27,158.03,144.49,144.83,127.92,152.76,146.81,141.47,138.27,180.69
, = 매출총이익,120.07,105.23,108.29,165.49,123.31,159.5,117.16,178.93,157.56,165.59,181.66,209.78,191.7,242.64,187.78,224.86,217.98,259.46,231.76,287.66
, - 판매비와관리비,58.51,63.31,68.13,91.3,89.39,109.13,97.16,118.83,113.53,121.99,117.23,128.64,134.99,163.36,126.25,159.65,165.21,204.47,172.43,190.71
, = 영업이익,61.56,41.92,40.16,74.19,33.92,50.37,20,60.1,44.03,43.6,64.43,81.14,56.71,79.28,61.53,65.21,52.77,54.99,59.33,96.95
,* 지배순이익,52.65,32.14,34.22,63.12,23,21.78,24.26,57.27,24.46,33.13,54.45,47.34,47.76,71.42,39.63,72.78,65.16,56.73,53.2,81.09
,매출원가비중,42.81,46.32,43.18,44.07,48.4,45.27,46.26,45.01,45.75,41.92,46.08,42.97,42.98,37.38,40.52,40.45,40.25,35.29,37.37,38.58
,매출총이익율,57.19,53.68,56.82,55.93,51.6,54.73,53.74,54.99,54.25,58.08,53.92,57.03,57.02,62.62,59.48,59.55,59.75,64.71,62.63,61.42
,판관비율,27.87,32.3,35.75,30.85,37.41,37.45,44.56,36.52,39.09,42.78,34.79,34.97,40.15,42.16,39.99,42.28,45.29,51,46.6,40.72
,영업이익률,29.32,21.38,21.07,25.07,14.2,17.28,9.17,18.47,15.16,15.29,19.12,22.06,16.87,20.46,19.49,17.27,14.47,13.72,16.03,20.7
,지배순이익률,25.08,16.4,17.96,21.33,9.63,7.47,11.13,17.6,8.42,11.62,16.16,12.87,14.21,18.43,12.55,19.27,17.86,14.15,14.38,17.31
,매출액YOY(%),,,,,13.81,48.67,14.41,9.97,21.55,-2.17,54.53,13.03,15.75,35.89,-6.3,2.67,8.51,3.47,17.21,24.03
,영업이익YOY(%),,,,,-44.9,20.16,-50.2,-18.99,29.81,-13.44,222.15,35.01,28.8,81.83,-4.5,-19.63,-6.95,-30.64,-3.58,48.67
,지배순이익YOY(%),,,,,-56.32,-32.23,-29.11,-9.27,6.35,52.11,124.44,-17.34,95.26,115.58,-27.22,53.74,36.43,-20.57,34.24,11.42
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,418.32,461.24,432.43,536.24,510.11,554.91,489.57,653.99,640.24,598.3,478.3,608.12,629.48,504.67,507.34,388.63,410.65,488.84,587.71,
, - 매출원가,148.91,170.69,152.38,198.15,177.36,191.11,178.82,259.05,236.18,219.34,174.78,223.72,238.72,171.43,196.91,139.71,130.15,197.47,,
