,신풍제약,A019170,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,552.16,557.56,470.73,569.77,546.15,562.89,562,557.67,515.2,524.75,512.12,533.18,627.31,530.31,505.6,468.63,465.37,519.9,477.04,515.08
, - 매출원가,323.95,314.78,264.23,386.05,317.07,333.44,314.84,275.27,326.75,287.63,285.33,284.27,357.12,266.56,282.37,244.33,267.89,298.06,263.17,306.92
, = 매출총이익,228.21,242.78,206.5,183.72,229.08,229.45,247.16,282.4,188.45,237.12,226.79,248.91,270.19,263.75,223.23,224.3,197.48,221.84,213.87,208.16
, - 판매비와관리비,158.51,146.81,145.12,133.42,152.35,186.24,157.04,181.03,155.91,213.05,186.69,189.5,196.7,244.23,205.72,233.22,190.23,195.32,190.96,198.31
, = 영업이익,69.7,95.97,61.38,50.3,76.73,43.21,90.12,101.37,32.54,24.07,40.1,59.41,73.49,19.52,17.51,-8.92,7.25,26.52,22.91,9.85
,* 지배순이익,23.01,67.08,34.77,15.63,41.73,-16.05,69.4,-75.01,22.66,37.33,-37.89,40.38,50.23,-19.22,-0.12,-20,0.51,34.37,1.75,23.76
,매출원가비중,58.67,56.46,56.13,67.76,58.06,59.24,56.02,49.36,63.42,54.81,55.72,53.32,56.93,50.26,55.85,52.14,57.56,57.33,55.17,59.59
,매출총이익율,41.33,43.54,43.87,32.24,41.94,40.76,43.98,50.64,36.58,45.19,44.28,46.68,43.07,49.74,44.15,47.86,42.44,42.67,44.83,40.41
,판관비율,28.71,26.33,30.83,23.42,27.9,33.09,27.94,32.46,30.26,40.6,36.45,35.54,31.36,46.05,40.69,49.77,40.88,37.57,40.03,38.5
,영업이익률,12.62,17.21,13.04,8.83,14.05,7.68,16.04,18.18,6.32,4.59,7.83,11.14,11.72,3.68,3.46,-1.9,1.56,5.1,4.8,1.91
,지배순이익률,4.17,12.03,7.39,2.74,7.64,-2.85,12.35,-13.45,4.4,7.11,-7.4,7.57,8.01,-3.62,-0.02,-4.27,0.11,6.61,0.37,4.61
,매출액YOY(%),,,,,-1.09,0.96,19.39,-2.12,-5.67,-6.78,-8.88,-4.39,21.76,1.06,-1.27,-12.11,-25.81,-1.96,-5.65,9.91
,영업이익YOY(%),,,,,10.09,-54.98,46.82,101.53,-57.59,-44.3,-55.5,-41.39,125.85,-18.9,-56.33,-115.01,-90.13,35.86,30.84,210.43
,지배순이익YOY(%),,,,,81.36,-123.93,99.6,-579.91,-45.7,332.59,-154.6,153.83,121.67,-151.49,99.68,-149.53,-98.98,278.82,1558.33,218.8
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,487.82,461.54,466.38,497.27,456.99,429.35,416.78,487.35,465.32,504.43,467,465.35,480.38,484.49,491.36,511.81,481.05,493.3,0,
