,유한양행,A000100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1646.56,1679.09,1665.48,2013.5,2009.16,1974.73,2181.14,2400.44,2243.66,2610.85,2276.97,2571.06,2612.21,2714.68,2420.79,2719.47,3117.35,3029.7,2764.78,3327.43
, - 매출원가,1038.53,1113.02,1109.06,1404.77,1423.31,1334.38,1505.83,1627,1572.32,1793.22,1591.97,1749.62,1826.19,1852.79,1718.99,1867.9,2150,2143.74,1934.32,2321.01
, = 매출총이익,608.03,566.07,556.42,608.73,585.85,640.35,675.31,773.44,671.34,817.63,685,821.44,786.02,861.89,701.8,851.57,967.35,885.96,830.46,1006.42
, - 판매비와관리비,449.2,509.76,455.04,515.94,554.68,553.57,538.27,631.93,542.93,606.2,547.58,625.24,611.45,626.15,552.61,595.14,650.27,750.28,631.39,760.18
, = 영업이익,158.83,56.31,101.38,92.79,31.17,86.78,137.04,141.51,128.41,211.43,137.42,196.2,174.57,235.74,149.19,256.43,317.08,135.68,199.07,246.24
,* 지배순이익,175.45,160.96,270.02,25.63,119.75,206.84,235.54,233.75,174.19,221.13,216.28,265.36,251.57,176.27,246.37,309.41,448.99,255.71,512.72,340.78
,매출원가비중,63.07,66.29,66.59,69.77,70.84,67.57,69.04,67.78,70.08,68.68,69.92,68.05,69.91,68.25,71.01,68.69,68.97,70.76,69.96,69.75
,매출총이익율,36.93,33.71,33.41,30.23,29.16,32.43,30.96,32.22,29.92,31.32,30.08,31.95,30.09,31.75,28.99,31.31,31.03,29.24,30.04,30.25
,판관비율,27.28,30.36,27.32,25.62,27.61,28.03,24.68,26.33,24.2,23.22,24.05,24.32,23.41,23.07,22.83,21.88,20.86,24.76,22.84,22.85
,영업이익률,9.65,3.35,6.09,4.61,1.55,4.39,6.28,5.9,5.72,8.1,6.04,7.63,6.68,8.68,6.16,9.43,10.17,4.48,7.2,7.4
,지배순이익률,10.66,9.59,16.21,1.27,5.96,10.47,10.8,9.74,7.76,8.47,9.5,10.32,9.63,6.49,10.18,11.38,14.4,8.44,18.54,10.24
,매출액YOY(%),,,,,22.02,17.61,30.96,19.22,11.67,32.21,4.39,7.11,16.43,3.98,6.32,5.77,19.34,11.6,14.21,22.36
,영업이익YOY(%),,,,,-80.38,54.11,35.17,52.51,311.97,143.64,0.28,38.65,35.95,11.5,8.56,30.7,81.63,-42.45,33.43,-3.97
,지배순이익YOY(%),,,,,-31.75,28.5,-12.77,812.02,45.46,6.91,-8.18,13.52,44.42,-20.29,13.91,16.6,78.48,45.07,108.11,10.14
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3618.21,3497.56,3511.99,3550.6,3787.34,3772.55,3398.21,3862.23,3786.06,4141.72,3449.53,3593.99,3822.58,3937.44,3132.76,4154.86,4296.81,4614.22,3838,
