,한미사이언스,A008930,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,45.13,46.91,53.75,46.22,47.73,54.09,517.53,561.73,553.53,571.17,1233.79,1294.97,1369.66,1430.45,1555.72,1739.58,1831.39,2639.6,1708.54,1646.92
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.1,1332.58,1469.54,-4238.21,1438.14,1375.67
, = 매출총이익,45.13,46.91,53.75,46.22,47.73,54.09,517.53,561.73,553.53,571.17,1233.79,1294.97,1369.66,1430.45,119.62,407,361.85,6877.81,270.4,271.25
, - 판매비와관리비,21.86,81.86,53.06,16.03,4.44,-3.76,495.48,528.92,532.98,534.73,1080.95,1259.69,1344.4,1469.12,98.69,97.97,271.87,5133.6,-14.52,117.82
, = 영업이익,23.27,-34.95,0.69,30.19,43.29,57.85,22.05,32.81,20.55,36.44,152.84,35.28,25.26,-38.67,20.93,309.03,89.98,1744.21,284.92,153.43
,* 지배순이익,-158.04,-24.85,-4.17,26.24,41.48,61.24,20.74,28.38,19.6,27.07,147.98,22.68,19.93,22.53,202.7,232.73,-81.19,1430.97,171.88,195.59
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.31,76.6,80.24,-160.56,84.17,83.53
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7.69,23.4,19.76,260.56,15.83,16.47
,판관비율,48.44,174.5,98.72,34.68,9.3,-6.95,95.74,94.16,96.29,93.62,87.61,97.28,98.16,102.7,6.34,5.63,14.85,194.48,-0.85,7.15
,영업이익률,51.56,-74.5,1.28,65.32,90.7,106.95,4.26,5.84,3.71,6.38,12.39,2.72,1.84,-2.7,1.35,17.76,4.91,66.08,16.68,9.32
,지배순이익률,-350.19,-52.97,-7.76,56.77,86.91,113.22,4.01,5.05,3.54,4.74,11.99,1.75,1.46,1.58,13.03,13.38,-4.43,54.21,10.06,11.88
,매출액YOY(%),,,,,5.76,15.31,862.85,1115.34,1059.71,955.96,138.4,130.53,147.44,150.44,26.09,34.33,33.71,84.53,9.82,-5.33
,영업이익YOY(%),,,,,86.03,265.52,3095.65,8.68,-52.53,-37.01,593.15,7.53,22.92,-206.12,-86.31,775.94,256.22,4610.5,1261.3,-50.35
,지배순이익YOY(%),,,,,126.25,346.44,597.36,8.16,-52.75,-55.8,613.5,-20.08,1.68,-16.77,36.98,926.15,-507.38,6251.4,-15.2,-15.96
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1670.38,1627.01,1577.85,1631.22,1707.98,1606.2,1734.96,1722.18,1704.5,1918.32,1881.65,2056.68,2041.71,2186.15,2144,2084.6,2158.44,2186.8,0,
, - 매출원가,1415.05,-4228.86,0,1394.66,1479.96,-2874.62,1511.38,1496.96,1469.36,-4477.69,1612.68,0,1776.56,-3389.24,1865,0,1848.7,-3713.69,,
