,한미약품,A128940,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1488.22,1567.98,1451.63,1854.25,1697.64,1736.53,1703.02,1796.67,1861.91,1939.73,1841.2,1863.5,1793.36,2114.74,2147.45,2444.72,2683.79,5899.39,2563.74,2345.43
, - 매출원가,660.21,646.07,648.49,778.86,652.36,713.55,742.82,783.6,802.48,807.9,797.96,849.71,831.21,908.88,981.85,976.89,966.24,1057.54,1125.67,1082.76
, = 매출총이익,828.01,921.91,803.14,1075.39,1045.28,1022.98,960.2,1013.07,1059.43,1131.83,1043.24,1013.79,962.15,1205.86,1165.6,1467.83,1717.55,4841.85,1438.07,1262.67
, - 판매비와관리비,730.72,979,803.63,984.76,840.54,836.43,780.51,898.36,907.11,959.6,863.78,929.32,949.84,1137.57,1144.49,1443.35,1360.39,3126.6,1212.42,1198.71
, = 영업이익,97.29,-57.09,-0.49,90.63,204.74,186.55,179.69,114.71,152.32,172.23,179.46,84.47,12.31,68.29,21.11,24.48,357.16,1715.25,225.65,63.96
,* 지배순이익,25.01,-82.14,-26.27,47.18,97.06,108.41,124.73,80.49,140.64,93.47,144.1,74.29,11.17,125.54,126.61,112.56,-267.2,1572.47,380.76,200.8
,매출원가비중,44.36,41.2,44.67,42,38.43,41.09,43.62,43.61,43.1,41.65,43.34,45.6,46.35,42.98,45.72,39.96,36,17.93,43.91,46.16
,매출총이익율,55.64,58.8,55.33,58,61.57,58.91,56.38,56.39,56.9,58.35,56.66,54.4,53.65,57.02,54.28,60.04,64,82.07,56.09,53.84
,판관비율,49.1,62.44,55.36,53.11,49.51,48.17,45.83,50,48.72,49.47,46.91,49.87,52.96,53.79,53.3,59.04,50.69,53,47.29,51.11
,영업이익률,6.54,-3.64,-0.03,4.89,12.06,10.74,10.55,6.38,8.18,8.88,9.75,4.53,0.69,3.23,0.98,1,13.31,29.08,8.8,2.73
,지배순이익률,1.68,-5.24,-1.81,2.54,5.72,6.24,7.32,4.48,7.55,4.82,7.83,3.99,0.62,5.94,5.9,4.6,-9.96,26.65,14.85,8.56
,매출액YOY(%),,,,,14.07,10.75,17.32,-3.11,9.68,11.7,8.11,3.72,-3.68,9.02,16.63,31.19,49.65,178.97,19.39,-4.06
,영업이익YOY(%),,,,,110.44,426.76,36771.43,26.57,-25.6,-7.68,-0.13,-26.36,-91.92,-60.35,-88.24,-71.02,2801.38,2411.72,968.92,161.27
,지배순이익YOY(%),,,,,288.08,231.98,574.8,70.6,44.9,-13.78,15.53,-7.7,-92.06,34.31,-12.14,51.51,-2492.12,1152.56,200.73,78.39
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2197.24,1720.84,2335.5,2228.19,2275.8,2326.37,2456.77,2413.09,2352.56,2937.21,2746.43,2703.94,2657.07,3029.05,2882.01,2434.11,2669.33,2773.08,2930,
