,대우조선해양,A042660,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,33105.12,36136.56,30646.48,39504.98,31706.44,33577.47,32589.01,40878.94,36587.09,35793.26,40651.18,39585.67,42185.75,33192.98,39796.05,39605.22,32515.99,42518.86,36645.31,34498.47
, - 매출원가,28906.42,34317.34,27610.21,36608.34,28803.08,35878.18,30694.79,38075.02,33894.75,43406.22,38606.86,37330.3,38874.9,39503.13,43972.96,44325.64,35857.91,46035.27,34116.41,35028.22
, = 매출총이익,4198.7,1819.22,3036.27,2896.64,2903.36,-2300.71,1894.22,2803.92,2692.34,-7612.96,2044.32,2255.37,3310.85,-6310.15,-4176.91,-4720.42,-3341.92,-3516.41,2528.9,-529.75
, - 판매비와관리비,1565.59,2201.62,1619.23,1482.63,1716.58,2437.63,1221.61,1536.11,1534.01,5586.14,1238.23,1228.58,1982.42,2501.79,1577.39,1100.42,3119.58,-308.11,987.11,2996.68
, = 영업이익,2633.11,-382.4,1417.04,1414.01,1186.78,-4738.34,672.61,1267.81,1158.33,-13199.1,806.09,1026.79,1328.43,-8811.94,-5754.3,-5820.84,-6461.5,-3208.3,1541.79,-3526.43
,* 지배순이익,2604.55,-494.59,879.2,1388.82,565.61,-5161.48,481.1,539.64,918.35,-10871.83,758.64,172.31,354.97,-9022.03,-3417.84,-4362.31,-11470.4,-1724.58,1638.66,-11144.17
,매출원가비중,87.32,94.97,90.09,92.67,90.84,106.85,94.19,93.14,92.64,121.27,94.97,94.3,92.15,119.01,110.5,111.92,110.28,108.27,93.1,101.54
,매출총이익율,12.68,5.03,9.91,7.33,9.16,-6.85,5.81,6.86,7.36,-21.27,5.03,5.7,7.85,-19.01,-10.5,-11.92,-10.28,-8.27,6.9,-1.54
,판관비율,4.73,6.09,5.28,3.75,5.41,7.26,3.75,3.76,4.19,15.61,3.05,3.1,4.7,7.54,3.96,2.78,9.59,-0.72,2.69,8.69
,영업이익률,7.95,-1.06,4.62,3.58,3.74,-14.11,2.06,3.1,3.17,-36.88,1.98,2.59,3.15,-26.55,-14.46,-14.7,-19.87,-7.55,4.21,-10.22
,지배순이익률,7.87,-1.37,2.87,3.52,1.78,-15.37,1.48,1.32,2.51,-30.37,1.87,0.44,0.84,-27.18,-8.59,-11.01,-35.28,-4.06,4.47,-32.3
,매출액YOY(%),,,,,-4.22,-7.08,6.34,3.48,15.39,6.6,24.74,-3.16,15.3,-7.26,-2.1,0.05,-22.92,28.1,-7.92,-12.89
,영업이익YOY(%),,,,,-54.93,-1139.11,-52.53,-10.34,-2.4,-178.56,19.85,-19.01,14.68,33.24,-813.85,-666.9,-586.4,63.59,126.79,39.42
,지배순이익YOY(%),,,,,-78.28,-943.59,-45.28,-61.14,62.36,-110.63,57.69,-68.07,-61.35,17.01,-550.52,-2631.66,-3331.37,80.88,147.94,-155.46
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
