,한국조선해양,A009540,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,130941.7,145217.3,139383.3,137004,131990,141359.7,131428.8,130910.1,131384.2,148157.8,135207.7,128115,124040.4,140509.8,122281,119461,109183.7,112250.7,67823.04,60762.05
, - 매출원가,115261,130740.7,124031.3,127367.9,119676.3,132129.4,121324.7,120299.5,124379.4,143326.4,130972.3,134534.7,136480.6,133299.4,117273.2,114224.6,107845.6,108806,63996.29,54072.19
, = 매출총이익,15680.72,14476.69,15352.03,9636.11,12313.64,9230.25,10104.19,10610.66,7004.79,4831.47,4235.39,-6419.67,-12440.2,7210.34,5007.78,5236.46,1338.03,3444.72,3826.75,6689.86
, - 판매비와관리비,6526.49,5432.47,5494.47,6014.36,6310.95,8656.95,6327.05,7720.96,4780.97,5702.3,6124.15,4617.67,6906.25,7677.72,6931.98,6945.81,10314.72,6683.54,3721.45,4933.38
, = 영업이익,9154.23,9044.22,9857.56,3621.75,6002.69,573.3,3777.14,2889.7,2223.82,-870.83,-1888.76,-11037.34,-19346.45,-467.38,-1924.2,-1709.35,-8976.69,-3238.82,105.3,1756.48
,* 지배순이익,5161.32,531.08,4977.72,1342.39,6973.96,-3368.02,3184.18,981.84,254.05,-1633.02,-583.19,-4890.31,-11754.87,-459.94,-1387.7,-2411.66,-6002.46,-3696.71,2085.73,2920.67
,매출원가비중,88.02,90.03,88.99,92.97,90.67,93.47,92.31,91.89,94.67,96.74,96.87,105.01,110.03,94.87,95.9,95.62,98.77,96.93,94.36,88.99
,매출총이익율,11.98,9.97,11.01,7.03,9.33,6.53,7.69,8.11,5.33,3.26,3.13,-5.01,-10.03,5.13,4.1,4.38,1.23,3.07,5.64,11.01
,판관비율,4.98,3.74,3.94,4.39,4.78,6.12,4.81,5.9,3.64,3.85,4.53,3.6,5.57,5.46,5.67,5.81,9.45,5.95,5.49,8.12
,영업이익률,6.99,6.23,7.07,2.64,4.55,0.41,2.87,2.21,1.69,-0.59,-1.4,-8.62,-15.6,-0.33,-1.57,-1.43,-8.22,-2.89,0.16,2.89
,지배순이익률,3.94,0.37,3.57,0.98,5.28,-2.38,2.42,0.75,0.19,-1.1,-0.43,-3.82,-9.48,-0.33,-1.13,-2.02,-5.5,-3.29,3.08,4.81
,매출액YOY(%),,,,,0.8,-2.66,-5.71,-4.45,-0.46,4.81,2.88,-2.14,-5.59,-5.16,-9.56,-6.75,-11.98,-20.11,-44.54,-49.14
,영업이익YOY(%),,,,,-34.43,-93.66,-61.68,-20.21,-62.95,-251.9,-150,-481.95,-969.96,46.33,-1.88,84.51,53.6,-592.97,105.47,202.76
,지배순이익YOY(%),,,,,35.12,-734.18,-36.03,-26.86,-96.36,51.51,-118.32,-598.08,-4726.99,71.84,-137.95,50.68,48.94,-703.74,250.3,221.11
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
