,CJ ENM,A035760,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,2121.73,2661.57,2378.47,2574.29,2704.14,5956.65,5682.5,6093.33,6127.07,7232.05,6502.69,6672.74,6275.44,6598.2,5790.76,5888,5530.68,5876.61,5439.58,5548.71
, - 매출원가,0,0,0,0,0,2803.53,2731.23,2927.74,3047.83,3870.42,3304.57,3280.76,3076.9,3288.77,2678.09,2717.01,2583.4,2741.19,2373.82,2449.58
, = 매출총이익,2121.73,2661.57,2378.47,2574.29,2704.14,3153.12,2951.27,3165.59,3079.24,3361.63,3198.12,3391.98,3198.54,3309.43,3112.67,3170.99,2947.28,3135.42,3065.76,3099.13
, - 판매비와관리비,1814.07,2355.94,2035.33,2267.27,2416.89,2439.46,2335.59,2574.4,2441.83,2623.82,2538.84,2762.69,2703.81,2748.32,2481.19,2714.49,2448.36,2625.77,2474.91,2555.53
, = 영업이익,307.66,305.63,343.14,307.02,287.25,713.66,615.68,591.19,637.41,737.81,659.28,629.29,494.73,561.11,631.48,456.5,498.92,509.65,590.85,543.6
,* 지배순이익,207.51,188.68,245.48,227.9,541.5,334.7,324.24,319.95,329.86,373.77,351.88,308.94,130.79,155.61,278.96,217.53,177.97,172.94,326.97,243.78
,매출원가비중,0,0,0,0,0,47.07,48.06,48.05,49.74,53.52,50.82,49.17,49.03,49.84,46.25,46.14,46.71,46.65,43.64,44.15
,매출총이익율,100,100,100,100,100,52.93,51.94,51.95,50.26,46.48,49.18,50.83,50.97,50.16,53.75,53.86,53.29,53.35,56.36,55.85
,판관비율,85.5,88.52,85.57,88.07,89.38,40.95,41.1,42.25,39.85,36.28,39.04,41.4,43.09,41.65,42.85,46.1,44.27,44.68,45.5,46.06
,영업이익률,14.5,11.48,14.43,11.93,10.62,11.98,10.83,9.7,10.4,10.2,10.14,9.43,7.88,8.5,10.9,7.75,9.02,8.67,10.86,9.8
,지배순이익률,9.78,7.09,10.32,8.85,20.02,5.62,5.71,5.25,5.38,5.17,5.41,4.63,2.08,2.36,4.82,3.69,3.22,2.94,6.01,4.39
,매출액YOY(%),,,,,27.45,123.8,138.91,136.7,126.58,21.41,14.43,9.51,2.42,-8.76,-10.95,-11.76,-11.87,-10.94,-6.06,-5.76
,영업이익YOY(%),,,,,-6.63,133.5,79.43,92.56,121.9,3.38,7.08,6.44,-22.38,-23.95,-4.22,-27.46,0.85,-9.17,-6.43,19.08
,지배순이익YOY(%),,,,,160.95,77.39,32.08,40.39,-39.08,11.67,8.52,-3.44,-60.35,-58.37,-20.72,-29.59,36.07,11.14,17.21,12.07
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5402.42,5695.26,5463.77,5633.76,5406.93,6095.62,5647.16,5852.21,10786.32,1318.06,8602.22,10055.05,9098.76,10141.2,8107.67,8375.27,7986.2,9442.7,8440,
