,CJ,A001040,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,35284.11,34526.18,41302.56,43305.53,46256.95,45418.84,45144.72,46196.75,48947.51,48228.01,47479.21,47576.02,49663.02,51004.76,49705.81,51691.93,55264.35,55004.98,56875.27,58788.09
, - 매출원가,23014.36,22986.92,28551.84,30066.47,32512.42,31790.6,31521.48,32841.1,34958.19,34145.9,32827.02,32778.39,34302.66,34915.69,33635.73,35167.45,37548.95,38383.39,38817.45,40461.22
, = 매출총이익,12269.75,11539.26,12750.72,13239.06,13744.53,13628.24,13623.24,13355.65,13989.32,14082.11,14652.19,14797.63,15360.36,16089.07,16070.08,16524.48,17715.4,16621.59,18057.82,18326.87
, - 판매비와관리비,9186.77,10095.16,10311.86,10390.62,10836.68,11193.68,11279.8,11451.43,12244.94,12213.47,12300.39,12516.28,12640.83,13410.57,12711.66,13453.42,14074.53,14438.64,14534.96,15038.72
, = 영업이익,3082.98,1444.1,2438.86,2848.44,2907.85,2434.56,2343.44,1904.22,1744.38,1868.64,2351.8,2281.35,2719.53,2678.5,3358.42,3071.06,3640.87,2182.95,3522.86,3288.15
,* 지배순이익,371.46,2244.9,232.41,342.26,1553.09,80.21,56.67,-10.3,1235.7,213.81,377.93,353.71,1331.36,28.65,966.38,420.32,581.68,89.54,760.82,665.96
,매출원가비중,65.23,66.58,69.13,69.43,70.29,69.99,69.82,71.09,71.42,70.8,69.14,68.9,69.07,68.46,67.67,68.03,67.94,69.78,68.25,68.83
,매출총이익율,34.77,33.42,30.87,30.57,29.71,30.01,30.18,28.91,28.58,29.2,30.86,31.1,30.93,31.54,32.33,31.97,32.06,30.22,31.75,31.17
,판관비율,26.04,29.24,24.97,23.99,23.43,24.65,24.99,24.79,25.02,25.32,25.91,26.31,25.45,26.29,25.57,26.03,25.47,26.25,25.56,25.58
,영업이익률,8.74,4.18,5.9,6.58,6.29,5.36,5.19,4.12,3.56,3.87,4.95,4.8,5.48,5.25,6.76,5.94,6.59,3.97,6.19,5.59
,지배순이익률,1.05,6.5,0.56,0.79,3.36,0.18,0.13,-0.02,2.52,0.44,0.8,0.74,2.68,0.06,1.94,0.81,1.05,0.16,1.34,1.13
,매출액YOY(%),,,,,31.1,31.55,9.3,6.68,5.82,6.19,5.17,2.99,1.46,5.76,4.69,8.65,11.28,7.84,14.42,13.73
,영업이익YOY(%),,,,,-5.68,68.59,-3.91,-33.15,-40.01,-23.25,0.36,19.8,55.9,43.34,42.8,34.62,33.88,-18.5,4.9,7.07
,지배순이익YOY(%),,,,,318.1,-96.43,-75.62,-103.01,-20.44,166.56,566.9,3534.08,7.74,-86.6,155.7,18.83,-56.31,212.53,-21.27,58.44
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
