,F&F,A007700,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,530.06,593.61,516.6,460.24,482.57,545.03,438.41,488.38,541.63,755.36,625.17,600.96,676.32,1111.67,781.73,722.11,777.86,1418.42,916.93,848.19
, - 매출원가,201.99,217.13,222.86,191.44,212.62,239.9,169.73,205,233.68,296.76,248.53,226.85,241.45,481.4,328.03,293.39,322.62,632.13,404.48,375.27
, = 매출총이익,328.07,376.48,293.74,268.8,269.95,305.13,268.68,283.38,307.95,458.6,376.64,374.11,434.87,630.27,453.7,428.72,455.24,786.29,512.45,472.92
, - 판매비와관리비,282.94,294.67,271.82,250.83,260.39,284.8,264.2,283.51,296.03,402.96,366.44,354.26,419,555.48,423.13,402.97,432.05,678.2,465.96,419.66
, = 영업이익,45.13,81.81,21.92,17.97,9.56,20.33,4.48,-0.13,11.92,55.64,10.2,19.85,15.87,74.79,30.57,25.75,23.19,108.09,46.49,53.26
,* 지배순이익,33.82,57.16,33.02,14.96,5.23,25.78,16.41,1.08,11.99,54.26,8.71,14.81,6.31,109.98,24.49,14.19,6.2,79.52,5.07,31.88
,매출원가비중,38.11,36.58,43.14,41.6,44.06,44.02,38.71,41.98,43.14,39.29,39.75,37.75,35.7,43.3,41.96,40.63,41.48,44.57,44.11,44.24
,매출총이익율,61.89,63.42,56.86,58.4,55.94,55.98,61.29,58.02,56.86,60.71,60.25,62.25,64.3,56.7,58.04,59.37,58.52,55.43,55.89,55.76
,판관비율,53.38,49.64,52.62,54.5,53.96,52.25,60.26,58.05,54.66,53.35,58.61,58.95,61.95,49.97,54.13,55.8,55.54,47.81,50.82,49.48
,영업이익률,8.51,13.78,4.24,3.9,1.98,3.73,1.02,-0.03,2.2,7.37,1.63,3.3,2.35,6.73,3.91,3.57,2.98,7.62,5.07,6.28
,지배순이익률,6.38,9.63,6.39,3.25,1.08,4.73,3.74,0.22,2.21,7.18,1.39,2.46,0.93,9.89,3.13,1.97,0.8,5.61,0.55,3.76
,매출액YOY(%),,,,,-8.96,-8.18,-15.14,6.11,12.24,38.59,42.6,23.05,24.87,47.17,25.04,20.16,15.01,27.59,17.29,17.46
,영업이익YOY(%),,,,,-78.82,-75.15,-79.56,-100.72,24.69,173.68,127.68,15369.23,33.14,34.42,199.71,29.72,46.12,44.52,52.08,106.83
,지배순이익YOY(%),,,,,-84.54,-54.9,-50.3,-92.78,129.25,110.47,-46.92,1271.3,-47.37,102.69,181.17,-4.19,-1.74,-27.7,-79.3,124.67
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,919.03,1705.65,1124.74,1027.06,1026.47,2426.91,1329.97,1476.75,1397.38,2479.4,1624.6,2012.51,2162.33,3303.93,1659.81,1667.96,1596.48,3451.9,2332,
