,HMM,A011200,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,18916.06,19750.1,18641.57,21239.23,21214.69,19373.47,17791.01,18667.27,17901.43,16327.14,16031.49,16986.18,17525.81,14606.91,14886.51,14418.59,14753.6,12391.87,12179.29,10168.22
, - 매출원가,18898.05,20481.28,19879.23,21127.93,20713.86,19876.67,18114.67,18445.48,17259.5,16506.21,15882.56,16436.76,16995.75,14787.75,14019.52,14299.8,14726.58,12905.65,12967.89,12004.65
, = 매출총이익,18.01,-731.18,-1237.66,111.3,500.83,-503.2,-323.66,221.79,641.93,-179.07,148.93,549.42,530.06,-180.84,866.99,118.79,27.02,-513.78,-788.6,-1836.43
, - 판매비와관리비,2464.29,176.05,967.52,942.94,1049.52,1007.45,956.09,979.88,1000.01,1051.63,994.39,963.24,916.21,524,869.99,802.35,803.87,816.08,837.86,706.83
, = 영업이익,-2446.28,-907.23,-2205.18,-831.64,-548.69,-1510.65,-1279.75,-758.09,-358.08,-1230.7,-845.46,-413.82,-386.15,-704.84,-3,-683.56,-776.85,-1329.86,-1626.46,-2543.26
,* 지배순이익,-52.56,-3141.6,-2659.36,-1878.62,-1182.97,-4128.96,-1267.49,110.77,-2703.55,-3098.36,-789.85,177.85,2181.42,-1195.73,-422.39,-1615.76,-343.65,-4313.41,-2762.8,2157.22
,매출원가비중,99.9,103.7,106.64,99.48,97.64,102.6,101.82,98.81,96.41,101.1,99.07,96.77,96.98,101.24,94.18,99.18,99.82,104.15,106.47,118.06
,매출총이익율,0.1,-3.7,-6.64,0.52,2.36,-2.6,-1.82,1.19,3.59,-1.1,0.93,3.23,3.02,-1.24,5.82,0.82,0.18,-4.15,-6.47,-18.06
,판관비율,13.03,0.89,5.19,4.44,4.95,5.2,5.37,5.25,5.59,6.44,6.2,5.67,5.23,3.59,5.84,5.56,5.45,6.59,6.88,6.95
,영업이익률,-12.93,-4.59,-11.83,-3.92,-2.59,-7.8,-7.19,-4.06,-2,-7.54,-5.27,-2.44,-2.2,-4.83,-0.02,-4.74,-5.27,-10.73,-13.35,-25.01
,지배순이익률,-0.28,-15.91,-14.27,-8.85,-5.58,-21.31,-7.12,0.59,-15.1,-18.98,-4.93,1.05,12.45,-8.19,-2.84,-11.21,-2.33,-34.81,-22.68,21.22
,매출액YOY(%),,,,,12.15,-1.91,-4.56,-12.11,-15.62,-15.72,-9.89,-9.01,-2.1,-10.54,-7.14,-15.12,-15.82,-15.16,-18.19,-29.48
,영업이익YOY(%),,,,,77.57,-66.51,41.97,8.84,34.74,18.53,33.94,45.41,-7.84,42.73,99.65,-65.18,-101.18,-88.68,-54115.33,-272.06
,지배순이익YOY(%),,,,,-2150.7,-31.43,52.34,105.9,-128.54,24.96,37.68,60.56,180.69,61.41,46.52,-1008.5,-115.75,-260.73,-554.09,233.51
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
