,KG동부제철,A016380,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,10596.25,9867.1,9743.94,11245.03,10019.51,8432.98,9279.82,8632.58,8405.78,7328.79,8087.41,8374.74,7196.2,6586.04,6266.23,5814.81,5848.04,5278.84,5338.5,5835.27
, - 매출원가,10148.05,9551.5,9379.81,10358.06,9620.34,7673.1,8672.8,7998.08,8044.95,6818.13,7855.03,7969.86,6813.16,6547.11,5825.06,5166.25,5059.39,4690.27,4592.47,4823.8
, = 매출총이익,448.2,315.6,364.13,886.97,399.17,759.88,607.02,634.5,360.83,510.66,232.38,404.88,383.04,38.93,441.17,648.56,788.65,588.57,746.03,1011.47
, - 판매비와관리비,561.91,560.5,548.91,617.9,580.04,492.44,538.29,505.2,507.81,394.2,520.28,542.58,532.43,1065.36,435.54,364.37,392.04,489.15,376.37,376.78
, = 영업이익,-113.71,-244.9,-184.78,269.07,-180.87,267.44,68.73,129.3,-146.98,116.46,-287.9,-137.7,-149.39,-1026.43,5.63,284.19,396.61,99.42,369.66,634.69
,* 지배순이익,-1027.19,-1087.78,-493.9,-268.23,-378.34,21.23,-445.13,-390.4,-212.53,-402.93,-630.95,-271.3,-11212.36,-631.04,-434.56,-224.57,82.75,114.39,-239.06,250.83
,매출원가비중,95.77,96.8,96.26,92.11,96.02,90.99,93.46,92.65,95.71,93.03,97.13,95.17,94.68,99.41,92.96,88.85,86.51,88.85,86.03,82.67
,매출총이익율,4.23,3.2,3.74,7.89,3.98,9.01,6.54,7.35,4.29,6.97,2.87,4.83,5.32,0.59,7.04,11.15,13.49,11.15,13.97,17.33
,판관비율,5.3,5.68,5.63,5.49,5.79,5.84,5.8,5.85,6.04,5.38,6.43,6.48,7.4,16.18,6.95,6.27,6.7,9.27,7.05,6.46
,영업이익률,-1.07,-2.48,-1.9,2.39,-1.81,3.17,0.74,1.5,-1.75,1.59,-3.56,-1.64,-2.08,-15.58,0.09,4.89,6.78,1.88,6.92,10.88
,지배순이익률,-9.69,-11.02,-5.07,-2.39,-3.78,0.25,-4.8,-4.52,-2.53,-5.5,-7.8,-3.24,-155.81,-9.58,-6.93,-3.86,1.42,2.17,-4.48,4.3
,매출액YOY(%),,,,,-5.44,-14.53,-4.76,-23.23,-16.11,-13.09,-12.85,-2.99,-14.39,-10.13,-22.52,-30.57,-18.73,-19.85,-14.81,0.35
,영업이익YOY(%),,,,,-59.06,209.2,137.2,-51.95,18.74,-56.45,-518.89,-206.5,-1.64,-981.36,101.96,306.38,365.49,109.69,6465.9,123.33
,지배순이익YOY(%),,,,,63.17,101.95,9.87,-45.55,43.83,-1997.93,-41.75,30.51,-5175.66,-56.61,31.13,17.22,100.74,118.13,44.99,211.69
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
