,LG생활건강,A051900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,9267.84,8337.7,9717.57,9809.41,10538.55,8896.66,10723.31,10755.11,11517.76,10266.37,11283.85,11423.22,12304.37,11758.65,13019.48,13110.09,13868.23,13287.13,15193.8,15538.68
, - 매출원가,4817.92,4084.5,4631.33,4819.15,5260.33,4321.28,4938.31,5047.48,5519.81,4812.63,5134.76,5193.59,5548.14,5141.78,5398.03,5539.37,6009.32,5315.02,6019.99,6125.85
, = 매출총이익,4449.92,4253.2,5086.24,4990.26,5278.22,4575.38,5785,5707.63,5997.95,5453.74,6149.09,6229.63,6756.23,6616.87,7621.45,7570.72,7858.91,7972.11,9173.81,9412.83
, - 판매비와관리비,3328.79,3783.25,3787.2,3940.07,3965.05,3782.47,4326.38,4506.04,4542.47,4605.32,4866.31,5015.08,5254.14,5505.89,5836.87,5890.31,5957.17,6497.89,6838.68,7158.9
, = 영업이익,1121.13,469.95,1299.04,1050.19,1313.17,792.91,1458.62,1201.59,1455.48,848.42,1282.78,1214.55,1502.09,1110.98,1784.58,1680.41,1901.74,1474.22,2335.13,2253.93
,* 지배순이익,747.53,467.87,897.53,738.31,879,524.51,1014.76,832.78,1141.49,584.02,890.26,813.17,1031.53,759.37,1228.01,1146.42,1313.82,915.27,1583.37,1562.9
,매출원가비중,51.99,48.99,47.66,49.13,49.92,48.57,46.05,46.93,47.92,46.88,45.51,45.47,45.09,43.73,41.46,42.25,43.33,40,39.62,39.42
,매출총이익율,48.01,51.01,52.34,50.87,50.08,51.43,53.95,53.07,52.08,53.12,54.49,54.53,54.91,56.27,58.54,57.75,56.67,60,60.38,60.58
,판관비율,35.92,45.38,38.97,40.17,37.62,42.52,40.35,41.9,39.44,44.86,43.13,43.9,42.7,46.82,44.83,44.93,42.96,48.9,45.01,46.07
,영업이익률,12.1,5.64,13.37,10.71,12.46,8.91,13.6,11.17,12.64,8.26,11.37,10.63,12.21,9.45,13.71,12.82,13.71,11.1,15.37,14.51
,지배순이익률,8.07,5.61,9.24,7.53,8.34,5.9,9.46,7.74,9.91,5.69,7.89,7.12,8.38,6.46,9.43,8.74,9.47,6.89,10.42,10.06
,매출액YOY(%),,,,,13.71,6.7,10.35,9.64,9.29,15.4,5.23,6.21,6.83,14.54,15.38,14.77,12.71,13,16.7,18.52
,영업이익YOY(%),,,,,17.13,68.72,12.28,14.42,10.84,7,-12.06,1.08,3.2,30.95,39.12,38.36,26.61,32.7,30.85,34.13
,지배순이익YOY(%),,,,,17.59,12.11,13.06,12.8,29.86,11.35,-12.27,-2.35,-9.63,30.02,37.94,40.98,27.37,20.53,28.94,36.33
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
