,LG하우시스,A108670,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,6510.26,6181.57,5579.51,6387.38,6345.09,6198.85,5890.16,6989.19,6931.98,6958.19,6807.83,7437.04,6862.29,6814.19,6313.64,7240.71,6974.81,6340.36,6611.64,7448.17
, - 매출원가,5239.96,4926.04,4405.1,5023.54,4911.92,4890.22,4521.29,5284.18,5310.55,5504.74,5173.54,5606.18,5237.68,5190.15,4628.8,5229.85,5014.16,4599.62,4732.44,5303.39
, = 매출총이익,1270.3,1255.53,1174.41,1363.84,1433.17,1308.63,1368.87,1705.01,1621.43,1453.45,1634.29,1830.86,1624.61,1624.04,1684.84,2010.86,1960.65,1740.74,1879.2,2144.78
, - 판매비와관리비,1043.1,1100.61,1133.46,1203.83,1181.9,1194.51,1128.82,1241.81,1271.04,1361.21,1269.22,1291.98,1326.31,1340.86,1382.02,1486.71,1492.3,1482.72,1455.07,1622.43
, = 영업이익,227.2,154.92,40.95,160.01,251.27,114.12,240.05,463.2,350.39,92.24,365.07,538.88,298.3,283.18,302.82,524.15,468.35,258.02,424.13,522.35
,* 지배순이익,149.84,104.05,17.78,194.81,173.64,-96.46,135.79,357.66,185.44,53.48,209.14,380.75,200.47,-145.52,83.61,266.91,338.19,29.08,221.54,316.19
,매출원가비중,80.49,79.69,78.95,78.65,77.41,78.89,76.76,75.61,76.61,79.11,75.99,75.38,76.33,76.17,73.31,72.23,71.89,72.55,71.58,71.2
,매출총이익율,19.51,20.31,21.05,21.35,22.59,21.11,23.24,24.39,23.39,20.89,24.01,24.62,23.67,23.83,26.69,27.77,28.11,27.45,28.42,28.8
,판관비율,16.02,17.8,20.31,18.85,18.63,19.27,19.16,17.77,18.34,19.56,18.64,17.37,19.33,19.68,21.89,20.53,21.4,23.39,22.01,21.78
,영업이익률,3.49,2.51,0.73,2.51,3.96,1.84,4.08,6.63,5.05,1.33,5.36,7.25,4.35,4.16,4.8,7.24,6.71,4.07,6.41,7.01
,지배순이익률,2.3,1.68,0.32,3.05,2.74,-1.56,2.31,5.12,2.68,0.77,3.07,5.12,2.92,-2.14,1.32,3.69,4.85,0.46,3.35,4.25
,매출액YOY(%),,,,,-2.54,0.28,5.57,9.42,9.25,12.25,15.58,6.41,-1.01,-2.07,-7.26,-2.64,1.64,-6.95,4.72,2.87
,영업이익YOY(%),,,,,10.59,-26.34,486.2,189.48,39.45,-19.17,52.08,16.34,-14.87,207,-17.05,-2.73,57.01,-8.88,40.06,-0.34
,지배순이익YOY(%),,,,,15.88,-192.71,663.72,83.59,6.8,155.44,54.02,6.46,8.11,-372.1,-60.02,-29.9,68.7,119.98,164.97,18.46
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
