,LG화학,A051910,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,58858.91,55988.53,57530.7,59956.19,58335.16,56808.14,57206.04,59172.39,58651.32,56406.37,56728.16,58687.63,56639.48,53723.03,49150.22,50732.22,51777.49,50405.9,48740.92,52192.29
, - 매출원가,48552.49,47546.56,49833.2,51347.65,48771.98,49597.93,49477.04,50066.27,49517.67,49285.75,49101.53,50788.51,48966.4,46882.96,41209.7,40476.57,41599.18,42119.96,39397.19,40743.78
, = 매출총이익,10306.42,8441.97,7697.5,8608.54,9563.18,7210.21,7729,9106.12,9133.65,7120.62,7626.63,7899.12,7673.08,6840.07,7940.52,10255.65,10178.31,8285.94,9343.73,11448.51
, - 판매비와관리비,3063.21,3604.56,3228.91,3617.48,3558.62,3571.19,3639.84,4090.94,3971.15,3957.02,4005.68,4302.78,4098.55,4524.28,4322.5,4621.24,4715.13,4765.87,4766.28,5323.98
, = 영업이익,7243.21,4837.41,4468.59,4991.06,6004.56,3639.02,4089.16,5015.18,5162.5,3163.6,3620.95,3596.34,3574.53,2315.79,3618.02,5634.41,5463.18,3520.07,4577.45,6124.53
,* 지배순이익,5100.35,3754.1,3753.99,3765.84,4526.52,2898.52,3391.46,3982.95,3517.9,1767.37,2881.04,2273.32,2423.52,1101.36,2427.96,3494.45,3504.12,2103.34,3397.62,3769.11
,매출원가비중,82.49,84.92,86.62,85.64,83.61,87.31,86.49,84.61,84.43,87.38,86.56,86.54,86.45,87.27,83.84,79.78,80.34,83.56,80.83,78.06
,매출총이익율,17.51,15.08,13.38,14.36,16.39,12.69,13.51,15.39,15.57,12.62,13.44,13.46,13.55,12.73,16.16,20.22,19.66,16.44,19.17,21.94
,판관비율,5.2,6.44,5.61,6.03,6.1,6.29,6.36,6.91,6.77,7.02,7.06,7.33,7.24,8.42,8.79,9.11,9.11,9.45,9.78,10.2
,영업이익률,12.31,8.64,7.77,8.32,10.29,6.41,7.15,8.48,8.8,5.61,6.38,6.13,6.31,4.31,7.36,11.11,10.55,6.98,9.39,11.73
,지배순이익률,8.67,6.71,6.53,6.28,7.76,5.1,5.93,6.73,6,3.13,5.08,3.87,4.28,2.05,4.94,6.89,6.77,4.17,6.97,7.22
,매출액YOY(%),,,,,-0.89,1.46,-0.56,-1.31,0.54,-0.71,-0.84,-0.82,-3.43,-4.76,-13.36,-13.56,-8.58,-6.17,-0.83,2.88
,영업이익YOY(%),,,,,-17.1,-24.77,-8.49,0.48,-14.02,-13.06,-11.45,-28.29,-30.76,-26.8,-0.08,56.67,52.84,52,26.52,8.7
,지배순이익YOY(%),,,,,-11.25,-22.79,-9.66,5.77,-22.28,-39.03,-15.05,-42.92,-31.11,-37.68,-15.73,53.72,44.59,90.98,39.94,7.86
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
