,NHN한국사이버결제,A060250,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,289.95,327.3,326.72,333.26,334.52,333.05,334.16,340.33,336.21,360.73,360.98,369.18,403.77,405.75,405.59,437.32,503.86,607.9,597.21,645.77
, - 매출원가,245.68,279.73,279.41,288,285.78,293.8,274.97,285.17,280.42,307.34,297.22,304.21,335.22,342.15,337.93,372.71,426.44,506.68,512.77,574.43
, = 매출총이익,44.27,47.57,47.31,45.26,48.74,39.25,59.19,55.16,55.79,53.39,63.76,64.97,68.55,63.6,67.66,64.61,77.42,101.22,84.44,71.34
, - 판매비와관리비,24.64,32.72,29.07,27.71,31.26,33.07,32.63,33.72,32.98,40.33,36.54,40,39.93,55.92,44.12,50.85,51,55.64,53.18,49.54
, = 영업이익,19.63,14.85,18.24,17.55,17.48,6.18,26.56,21.44,22.81,13.06,27.22,24.97,28.62,7.68,23.54,13.76,26.42,45.58,31.26,21.8
,* 지배순이익,22.61,25.67,20.51,12.56,22.77,-7.63,22.24,17.22,18.9,13.5,22.83,23.57,23.95,15.54,27.53,20.63,23.99,23.69,28.37,18.66
,매출원가비중,84.73,85.47,85.52,86.42,85.43,88.21,82.29,83.79,83.41,85.2,82.34,82.4,83.02,84.33,83.32,85.23,84.63,83.35,85.86,88.95
,매출총이익율,15.27,14.53,14.48,13.58,14.57,11.79,17.71,16.21,16.59,14.8,17.66,17.6,16.98,15.67,16.68,14.77,15.37,16.65,14.14,11.05
,판관비율,8.5,10,8.9,8.31,9.34,9.93,9.76,9.91,9.81,11.18,10.12,10.83,9.89,13.78,10.88,11.63,10.12,9.15,8.9,7.67
,영업이익률,6.77,4.54,5.58,5.27,5.23,1.86,7.95,6.3,6.78,3.62,7.54,6.76,7.09,1.89,5.8,3.15,5.24,7.5,5.23,3.38
,지배순이익률,7.8,7.84,6.28,3.77,6.81,-2.29,6.66,5.06,5.62,3.74,6.32,6.38,5.93,3.83,6.79,4.72,4.76,3.9,4.75,2.89
,매출액YOY(%),,,,,15.37,1.76,2.28,2.12,0.51,8.31,8.03,8.48,20.09,12.48,12.36,18.46,24.79,49.82,47.24,47.67
,영업이익YOY(%),,,,,-10.95,-58.38,45.61,22.17,30.49,111.33,2.48,16.46,25.47,-41.19,-13.52,-44.89,-7.69,493.49,32.8,58.43
,지배순이익YOY(%),,,,,0.71,-129.72,8.43,37.1,-17,276.93,2.65,36.88,26.72,15.11,20.59,-12.47,0.17,52.45,3.05,-9.55
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,721.53,756.82,840.31,836.48,905.61,937.48,1007.44,1048.18,1096.15,1174.82,1081.88,1140.67,1124.87,1351.55,1419.82,1487.04,1592.24,1749.31,1726,
, - 매출원가,629.35,672.53,732.3,713.38,785.43,819.57,887.15,923.25,960.19,1030.38,933.61,973.85,954.78,1159.28,1237.57,1300.82,1385.91,1541.17,,
