,S-OIL,A010950,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,78066.36,92640.08,90360.06,87977.72,85027.98,83867.15,80136.53,69746.79,81256.13,80445.83,76024.58,74192.22,72681.72,62677.1,43737.83,51425.07,44266.67,39473.15,34284.2,41983.64
, - 매출원가,72702.98,86848.8,85390.64,88181.08,78601.58,81934.86,75579.85,67455.51,79619.29,79638.52,74162.47,73300.93,71694.56,63664.2,39910.6,43890.54,42582.54,38004.05,27811.47,33988.42
, = 매출총이익,5363.38,5791.27,4969.42,-203.36,6426.4,1932.29,4556.68,2291.28,1636.84,807.31,1862.11,891.29,987.16,-987.1,3827.23,7534.53,1684.13,1469.1,6472.73,7995.22
, - 판매비와관리비,1210.68,1860.4,1179.28,1279.44,1229.67,1618.72,1288.25,1292.65,1385.8,1664.97,1392.73,1434.95,1370.07,1452.75,1445.95,1472.41,1522.76,1897.83,1554.69,1586.53
, = 영업이익,4152.7,3930.87,3790.14,-1482.8,5196.73,313.57,3268.43,998.63,251.04,-857.66,469.38,-543.66,-382.91,-2439.85,2381.28,6062.12,161.37,-428.73,4918.04,6408.69
,* 지배순이익,628.65,3376.73,3158.95,-1652.28,4564.88,-219.95,1474.5,-224.25,1922,-275.86,253.71,682.2,-1092.27,-2721.92,2112.54,4287.99,-440.11,352.8,4333.09,4435.63
,매출원가비중,93.13,93.75,94.5,100.23,92.44,97.7,94.31,96.71,97.99,99,97.55,98.8,98.64,101.57,91.25,85.35,96.2,96.28,81.12,80.96
,매출총이익율,6.87,6.25,5.5,-0.23,7.56,2.3,5.69,3.29,2.01,1,2.45,1.2,1.36,-1.57,8.75,14.65,3.8,3.72,18.88,19.04
,판관비율,1.55,2.01,1.31,1.45,1.45,1.93,1.61,1.85,1.71,2.07,1.83,1.93,1.89,2.32,3.31,2.86,3.44,4.81,4.53,3.78
,영업이익률,5.32,4.24,4.19,-1.69,6.11,0.37,4.08,1.43,0.31,-1.07,0.62,-0.73,-0.53,-3.89,5.44,11.79,0.36,-1.09,14.34,15.26
,지배순이익률,0.81,3.64,3.5,-1.88,5.37,-0.26,1.84,-0.32,2.37,-0.34,0.33,0.92,-1.5,-4.34,4.83,8.34,-0.99,0.89,12.64,10.57
,매출액YOY(%),,,,,8.92,-9.47,-11.31,-20.72,-4.44,-4.08,-5.13,6.37,-10.55,-22.09,-42.47,-30.69,-39.1,-37.02,-21.61,-18.36
,영업이익YOY(%),,,,,25.14,-92.02,-13.76,167.35,-95.17,-373.51,-85.64,-154.44,-252.53,-184.48,407.32,1215.06,142.14,82.43,106.53,5.72
,지배순이익YOY(%),,,,,626.14,-106.51,-53.32,86.43,-57.9,-25.42,-82.79,404.21,-156.83,-886.7,732.66,528.55,59.71,112.96,105.11,3.44
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
