,SKC,A011790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,6064.98,6757.11,5983.87,6769.03,6666.39,6872.42,5601.55,6318.84,6845.22,7648.43,6675.05,7468.61,6818.94,7059.76,6822.32,6167.17,6070.61,5597.1,5566.82,5741.28
, - 매출원가,4943.66,5640.4,5021.1,5613.05,5566.82,5877.5,4747.05,5368.98,5830.45,6369.05,5689.64,6315.61,5734,5873.67,5535.66,4858.76,4868.9,4462.95,4488.87,4636.54
, = 매출총이익,1121.32,1116.71,962.77,1155.98,1099.57,994.92,854.5,949.86,1014.77,1279.38,985.41,1153,1084.94,1186.09,1286.66,1308.41,1201.71,1134.15,1077.95,1104.74
, - 판매비와관리비,580.59,1207.94,708.36,708.31,667.13,682.12,616.84,642.96,650.5,948.17,668.83,707.66,720.63,788.54,715.33,734.53,655.05,646.82,624.07,658.26
, = 영업이익,540.73,-91.23,254.41,447.67,432.44,312.8,237.66,306.9,364.27,331.21,316.58,445.34,364.31,397.55,571.33,573.88,546.66,487.33,453.88,446.48
,* 지배순이익,230.28,30.07,236.85,309.18,295.81,-181.61,125.16,166.36,174.84,101.34,174.36,228.16,129.43,162.98,227.44,261.64,2237.75,-4.96,253.74,456.79
,매출원가비중,81.51,83.47,83.91,82.92,83.51,85.52,84.75,84.97,85.18,83.27,85.24,84.56,84.09,83.2,81.14,78.78,80.2,79.74,80.64,80.76
,매출총이익율,18.49,16.53,16.09,17.08,16.49,14.48,15.25,15.03,14.82,16.73,14.76,15.44,15.91,16.8,18.86,21.22,19.8,20.26,19.36,19.24
,판관비율,9.57,17.88,11.84,10.46,10.01,9.93,11.01,10.18,9.5,12.4,10.02,9.48,10.57,11.17,10.49,11.91,10.79,11.56,11.21,11.47
,영업이익률,8.92,-1.35,4.25,6.61,6.49,4.55,4.24,4.86,5.32,4.33,4.74,5.96,5.34,5.63,8.37,9.31,9.01,8.71,8.15,7.78
,지배순이익률,3.8,0.45,3.96,4.57,4.44,-2.64,2.23,2.63,2.55,1.32,2.61,3.05,1.9,2.31,3.33,4.24,36.86,-0.09,4.56,7.96
,매출액YOY(%),,,,,9.92,1.71,-6.39,-6.65,2.68,11.29,19.16,18.2,-0.38,-7.7,2.21,-17.43,-10.97,-20.72,-18.4,-6.91
,영업이익YOY(%),,,,,-20.03,442.87,-6.58,-31.45,-15.76,5.89,33.21,45.11,0.01,20.03,80.47,28.86,50.05,22.58,-20.56,-22.2
,지배순이익YOY(%),,,,,28.46,-703.96,-47.16,-46.19,-40.89,155.8,39.31,37.15,-25.97,60.82,30.44,14.67,1628.93,-103.04,11.56,74.59
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5865.11,6421.19,5870.14,6151.51,7407.64,7106.15,6387.41,7259.55,6894.44,7136.94,6040.22,6239.32,6046.96,5284.17,6611.31,6561.63,7236.96,6611.95,7549,
