,SK,A034730,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4303.19,5598.06,4832.24,5355.72,5648.84,6581.23,5078.29,5466.74,5549.81,6922.7,5238.45,6077.86,6134.24,6809.11,6413.14,6782.09,153545.4,226254.6,204980.6,209810.9
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,5395.95,16038.72,5617.75,5963.82,138913.6,203332.1,179729.2,182112
, = 매출총이익,4303.19,5598.06,4832.24,5355.72,5648.84,6581.23,5078.29,5466.74,5549.81,6922.7,5238.45,6077.86,738.29,-9229.61,795.39,818.27,14631.83,22922.5,25251.38,27698.98
, - 판매비와관리비,3821.71,5024,4490.33,4884.72,5144.9,5890.8,4689.28,4938.2,4951.42,6186.72,4683.64,5413.25,27.52,-10014.84,23.8,37.47,9793.54,15245.65,9995.56,10787.27
, = 영업이익,481.48,574.06,341.91,471,503.94,690.43,389.01,528.54,598.39,735.98,554.81,664.61,710.77,785.23,771.59,780.8,4838.29,7676.85,15255.82,16911.71
,* 지배순이익,1729.05,-35.27,1378.2,410.57,842.14,930.26,949.86,999.01,879.62,-805.93,1392.74,1591.43,1116.92,-2828.15,1925.92,1595.78,49096.76,841.32,3870.51,2876.15
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,87.96,235.55,87.6,87.93,90.47,89.87,87.68,86.8
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,12.04,-135.55,12.4,12.07,9.53,10.13,12.32,13.2
,판관비율,88.81,89.75,92.92,91.21,91.08,89.51,92.34,90.33,89.22,89.37,89.41,89.07,0.45,-147.08,0.37,0.55,6.38,6.74,4.88,5.14
,영업이익률,11.19,10.25,7.08,8.79,8.92,10.49,7.66,9.67,10.78,10.63,10.59,10.93,11.59,11.53,12.03,11.51,3.15,3.39,7.44,8.06
,지배순이익률,40.18,-0.63,28.52,7.67,14.91,14.14,18.7,18.27,15.85,-11.64,26.59,26.18,18.21,-41.53,30.03,23.53,31.98,0.37,1.89,1.37
,매출액YOY(%),,,,,31.27,17.56,5.09,2.07,-1.75,5.19,3.15,11.18,10.53,-1.64,22.42,11.59,2403.09,3222.82,3096.26,2993.6
,영업이익YOY(%),,,,,4.66,20.27,13.78,12.22,18.74,6.6,42.62,25.74,18.78,6.69,39.07,17.48,580.71,877.66,1877.19,2065.95
,지배순이익YOY(%),,,,,-51.29,2737.54,-31.08,143.32,4.45,-186.63,46.63,59.3,26.98,-250.92,38.28,0.27,4295.73,129.75,100.97,80.23
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,199777.4,212729.8,228027.2,216878.3,234466.4,226756.5,240093.2,245678.7,261075.2,254769.5,252881.6,248474.4,246378.2,230381.2,237261.4,187809,200039,193092,221945,
