,SK이노베이션,A096770,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,172095.6,169310.5,188342.7,188781.4,184580.3,171595.7,181081.6,168525.7,156804.4,153981.4,167755.2,163737.5,166089.5,161025,120441.1,129970.2,124472.8,108679.1,94581.97,102802.1
, - 매출원가,159391.6,160066.7,176549.5,185784.5,171242.8,163860.5,169451.1,160185.4,149162.2,148858.1,161031.1,159764,161310.7,160338,113158.4,115399.4,114824.4,98586.26,82029.03,87583
, = 매출총이익,12703.98,9243.79,11793.28,2996.87,13337.52,7735.2,11630.45,8340.31,7642.22,5123.26,6724.05,3973.48,4778.89,686.95,7282.78,14570.79,9648.38,10092.82,12552.94,15219.11
, - 판매비와관리비,4084.78,4705.74,4413.58,4321.43,4502.87,5631.35,4671.77,4390.82,4461.03,5148.44,4399.78,4398.03,4289.88,4903.72,3946.61,4574.68,5942.87,7334.96,4104.99,4023.95
, = 영업이익,8619.2,4538.05,7379.7,-1324.56,8834.65,2103.85,6958.68,3949.49,3181.19,-25.18,2324.27,-424.55,489.01,-4216.77,3336.17,9996.11,3705.51,2757.86,8447.95,11195.16
,* 지배순이익,18184.99,1455.38,6500.25,-2390.37,5074.13,2670.32,2576.68,2528.23,2924.7,-730.41,816.56,-463.58,-724.39,-5516.9,2926.82,5716.6,1522.64,-2016.78,5558.6,6113.95
,매출원가비중,92.62,94.54,93.74,98.41,92.77,95.49,93.58,95.05,95.13,96.67,95.99,97.57,97.12,99.57,93.95,88.79,92.25,90.71,86.73,85.2
,매출총이익율,7.38,5.46,6.26,1.59,7.23,4.51,6.42,4.95,4.87,3.33,4.01,2.43,2.88,0.43,6.05,11.21,7.75,9.29,13.27,14.8
,판관비율,2.37,2.78,2.34,2.29,2.44,3.28,2.58,2.61,2.84,3.34,2.62,2.69,2.58,3.05,3.28,3.52,4.77,6.75,4.34,3.91
,영업이익률,5.01,2.68,3.92,-0.7,4.79,1.23,3.84,2.34,2.03,-0.02,1.39,-0.26,0.29,-2.62,2.77,7.69,2.98,2.54,8.93,10.89
,지배순이익률,10.57,0.86,3.45,-1.27,2.75,1.56,1.42,1.5,1.87,-0.47,0.49,-0.28,-0.44,-3.43,2.43,4.4,1.22,-1.86,5.88,5.95
,매출액YOY(%),,,,,7.25,1.35,-3.86,-10.73,-15.05,-10.27,-7.36,-2.84,5.92,4.57,-28.2,-20.62,-25.06,-32.51,-21.47,-20.9
,영업이익YOY(%),,,,,2.5,-53.64,-5.71,398.17,-63.99,-101.2,-66.6,-110.75,-84.63,-16646.5,43.54,2454.52,657.76,165.4,153.22,12
,지배순이익YOY(%),,,,,-72.1,83.48,-60.36,205.77,-42.36,-127.35,-68.31,-118.34,-124.77,-655.32,258.43,1333.14,310.2,63.44,89.92,6.95
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
