,SK텔레콤,A017670,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,40460.98,39535.9,39697.11,40078.63,40843.6,40794.76,40656.54,41169.65,41245.94,42948.41,42019.2,43053.68,43674.84,42890.26,42402.86,42557.39,42613.6,43793.49,42284.63,42672.89
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,40460.98,39535.9,39697.11,40078.63,40843.6,40794.76,40656.54,41169.65,41245.94,42948.41,42019.2,43053.68,43674.84,42890.26,42402.86,42557.39,42613.6,43793.49,42284.63,42672.89
, - 판매비와관리비,34884.51,35028.55,34704.17,35923.01,37917.05,35569.38,36611.26,35715.2,35731.58,37851.41,39495.24,37592.74,38309.22,37989.73,38376.38,38428.61,37707.32,39774.97,38263.36,38599.25
, = 영업이익,5576.47,4507.35,4992.94,4155.62,2926.55,5225.38,4045.28,5454.45,5514.36,5097,2523.96,5460.94,5365.62,4900.53,4026.48,4128.78,4906.28,4018.52,4021.27,4073.64
,* 지배순이익,3861.65,2163.95,3064.24,1433.96,1788.72,5230.13,3541.54,4666.45,5040.26,3141.39,2698.14,4985.36,5315.48,5012.8,4444.95,3958.39,3822.51,2960.19,5718.47,2901.35
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,86.22,88.6,87.42,89.63,92.83,87.19,90.05,86.75,86.63,88.13,93.99,87.32,87.71,88.57,90.5,90.3,88.49,90.82,90.49,90.45
,영업이익률,13.78,11.4,12.58,10.37,7.17,12.81,9.95,13.25,13.37,11.87,6.01,12.68,12.29,11.43,9.5,9.7,11.51,9.18,9.51,9.55
,지배순이익률,9.54,5.47,7.72,3.58,4.38,12.82,8.71,11.33,12.22,7.31,6.42,11.58,12.17,11.69,10.48,9.3,8.97,6.76,13.52,6.8
,매출액YOY(%),,,,,0.95,3.18,2.42,2.72,0.99,5.28,3.35,4.58,5.89,-0.14,0.91,-1.15,-2.43,2.11,-0.28,0.27
,영업이익YOY(%),,,,,-47.52,15.93,-18.98,31.25,88.43,-2.46,-37.61,0.12,-2.7,-3.85,59.53,-24.39,-8.56,-18,-0.13,-1.34
,지배순이익YOY(%),,,,,-53.68,141.69,15.58,225.42,181.78,-39.94,-23.81,6.83,5.46,59.57,64.74,-20.6,-28.09,-40.95,28.65,-26.7
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,42438.04,43522.6,42343.65,43455.93,44427.39,44973.16,41815.37,41543.24,41863.92,43517.07,43349.06,44370.29,45612.13,44075.68,44503.96,46028.13,47308.42,48406,47771,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
