,SM C&C,A048550,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,13.93,36.51,37.04,34.83,60.54,63.1,101.84,122.26,137.47,214.31,232.57,125.39,131.69,119.88,124.5,143.54,182.98,304,204.8,257.69
, - 매출원가,-18.63,18.62,0,0,41.33,40.34,75.22,80.72,113.58,170.44,195.13,98.75,112.39,125.09,110.26,113.55,147.29,277.81,174.38,224.96
, = 매출총이익,32.56,17.89,37.04,34.83,19.21,22.76,26.62,41.54,23.89,43.87,37.44,26.64,19.3,-5.21,14.24,29.99,35.69,26.19,30.42,32.73
, - 판매비와관리비,30.63,16.93,38.09,46.68,20.72,34,34.21,37.35,32.53,33.58,32.23,36.36,33.89,34.42,35.57,36.19,34.33,39.44,25.85,36.16
, = 영업이익,1.93,0.96,-1.05,-11.85,-1.51,-11.24,-7.59,4.19,-8.64,10.29,5.21,-9.72,-14.59,-39.63,-21.33,-6.2,1.36,-13.25,4.57,-3.43
,* 지배순이익,-7.77,1.93,-0.18,-20.98,2.43,-107.75,-9.97,1.78,-8.39,7.55,2.03,-23.69,-16.36,-46.21,-25.53,-15.15,0.12,-5.64,17.04,-35.14
,매출원가비중,-133.74,51,0,0,68.27,63.93,73.86,66.02,82.62,79.53,83.9,78.75,85.34,104.35,88.56,79.11,80.5,91.38,85.15,87.3
,매출총이익율,233.74,49,100,100,31.73,36.07,26.14,33.98,17.38,20.47,16.1,21.25,14.66,-4.35,11.44,20.89,19.5,8.62,14.85,12.7
,판관비율,219.89,46.37,102.83,134.02,34.23,53.88,33.59,30.55,23.66,15.67,13.86,29,25.73,28.71,28.57,25.21,18.76,12.97,12.62,14.03
,영업이익률,13.85,2.63,-2.83,-34.02,-2.49,-17.81,-7.45,3.43,-6.29,4.8,2.24,-7.75,-11.08,-33.06,-17.13,-4.32,0.74,-4.36,2.23,-1.33
,지배순이익률,-55.78,5.29,-0.49,-60.24,4.01,-170.76,-9.79,1.46,-6.1,3.52,0.87,-18.89,-12.42,-38.55,-20.51,-10.55,0.07,-1.86,8.32,-13.64
,매출액YOY(%),,,,,334.6,72.83,174.95,251.02,127.07,239.64,128.37,2.56,-4.2,-44.06,-46.47,14.47,38.95,153.59,64.5,79.52
,영업이익YOY(%),,,,,-178.24,-1270.83,-622.86,135.36,-472.19,191.55,168.64,-331.98,-68.87,-485.13,-509.4,36.21,109.32,66.57,121.43,44.68
,지배순이익YOY(%),,,,,131.27,-5682.9,-5438.89,108.48,-445.27,107.01,120.36,-1430.9,-94.99,-712.05,-1357.64,36.05,100.73,87.79,166.74,-131.95
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,285.45,205.99,149.23,113.67,101.59,521.16,375.14,524.79,444.93,625.44,352.34,427.46,398.36,488.43,338.37,265.83,271.95,429.55,0,
