,광주신세계,A037710,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,528.8,566.38,566.61,504.71,508.27,558.44,527.56,495.66,500.51,542.34,525.99,493.61,505.3,523.3,518.8,485.81,503.72,544.99,529.73,503.74
, - 매출원가,215.67,188.85,213.46,174.85,207.4,174.26,191.1,170.41,198.13,170.53,190.8,166.72,192.6,164.49,180.94,155.01,182.79,160.78,179.49,160.58
, = 매출총이익,313.13,377.53,353.15,329.86,300.87,384.18,336.46,325.25,302.38,371.81,335.19,326.89,312.7,358.81,337.86,330.8,320.93,384.21,350.24,343.16
, - 판매비와관리비,191.88,207.28,200.43,187.48,194.91,203.38,195.34,187.03,195.75,197.96,198.6,199.16,205.94,211.53,201.73,203.15,207.59,213.61,210.67,210.68
, = 영업이익,121.25,170.25,152.72,142.38,105.96,180.8,141.12,138.22,106.63,173.85,136.59,127.73,106.76,147.28,136.13,127.65,113.34,170.6,139.57,132.48
,* 지배순이익,111.48,153.84,140.29,131.46,104.32,161.62,128.59,133.83,86.24,137.04,111.16,102.63,88.95,119.62,112.85,106.54,96.86,142.75,117.77,101.56
,매출원가비중,40.78,33.34,37.67,34.64,40.81,31.2,36.22,34.38,39.59,31.44,36.27,33.78,38.12,31.43,34.88,31.91,36.29,29.5,33.88,31.88
,매출총이익율,59.22,66.66,62.33,65.36,59.19,68.8,63.78,65.62,60.41,68.56,63.73,66.22,61.88,68.57,65.12,68.09,63.71,70.5,66.12,68.12
,판관비율,36.29,36.6,35.37,37.15,38.35,36.42,37.03,37.73,39.11,36.5,37.76,40.35,40.76,40.42,38.88,41.82,41.21,39.2,39.77,41.82
,영업이익률,22.93,30.06,26.95,28.21,20.85,32.38,26.75,27.89,21.3,32.06,25.97,25.88,21.13,28.14,26.24,26.28,22.5,31.3,26.35,26.3
,지배순이익률,21.08,27.16,24.76,26.05,20.52,28.94,24.37,27,17.23,25.27,21.13,20.79,17.6,22.86,21.75,21.93,19.23,26.19,22.23,20.16
,매출액YOY(%),,,,,-3.88,-1.4,-6.89,-1.79,-1.53,-2.88,-0.3,-0.41,0.96,-3.51,-1.37,-1.58,-0.31,4.14,2.11,3.69
,영업이익YOY(%),,,,,-12.61,6.2,-7.6,-2.92,0.63,-3.84,-3.21,-7.59,0.12,-15.28,-0.34,-0.06,6.16,15.83,2.53,3.78
,지배순이익YOY(%),,,,,-6.42,5.06,-8.34,1.8,-17.33,-15.21,-13.55,-23.31,3.14,-12.71,1.52,3.81,8.89,19.34,4.36,-4.67
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,515.48,555.29,517.38,507.53,505.18,-180.94,324.57,314.43,319.64,393.49,371.43,351.77,379.78,445.81,332.95,389.39,327.46,425.29,0,
, - 매출원가,186.81,163.26,175.61,158.25,182.01,-353.84,44.72,40.47,47.25,44.88,46.41,42.1,49.33,47.85,40.53,40.4,39.98,38.65,,
, = 매출총이익,328.67,392.03,341.77,349.28,323.17,172.9,279.85,273.96,272.39,348.61,325.02,309.67,330.45,397.96,292.42,348.99,287.48,386.64,,
, - 판매비와관리비,213.09,219.19,211.61,212.81,208.28,28.37,159.2,160.29,166.81,187.82,187.91,197.51,203.13,223.53,192.27,218.4,199.32,222.44,,
, = 영업이익,115.58,172.84,130.16,136.47,114.89,144.53,120.65,113.67,105.58,160.79,137.11,112.16,127.32,174.43,100.15,130.59,88.16,164.2,0,
,* 지배순이익,102.18,134.04,114.39,123.12,104.77,136.19,113.7,104.39,105.95,126.89,134.37,105.13,115.02,122.16,96.67,117.84,87.31,129.78,0,
