,금호석유,A011780,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,16603.23,14892.04,16225.51,15839.81,14317.46,12454.11,14169.61,13834.43,11920.76,11396.52,12415.96,12182.1,12067.87,10990.77,10201.61,10790.96,9637.56,8714.96,8715.14,10115.35
, - 매출원가,14230.58,13338.1,14522.2,15136.25,13463.27,11684.41,12953.85,12587.43,11514.11,11121.99,11717.16,11375.26,11062.59,10031.79,9230.76,9731.35,8790.27,8253.45,7859.39,9043.54
, = 매출총이익,2372.65,1553.94,1703.31,703.56,854.19,769.7,1215.76,1247,406.65,274.53,698.8,806.84,1005.28,958.98,970.85,1059.61,847.29,461.51,855.75,1071.81
, - 판매비와관리비,468.58,691.29,484.79,442.04,402.09,463.81,437.11,491.17,422.15,451.22,412.78,392.2,395.5,420.78,418.74,418.26,397.04,465.72,392.66,417.8
, = 영업이익,1904.07,862.65,1218.52,261.52,452.1,305.89,778.65,755.83,-15.5,-176.69,286.02,414.64,609.78,538.2,552.11,641.35,450.25,-4.21,463.09,654.01
,* 지배순이익,910.44,400.12,1016.26,88.66,405.56,-214.85,343.02,261.54,55.14,-782.94,149.32,237.27,240.78,304.34,414.68,491.69,267.08,15.6,382.3,449.7
,매출원가비중,85.71,89.57,89.5,95.56,94.03,93.82,91.42,90.99,96.59,97.59,94.37,93.38,91.67,91.27,90.48,90.18,91.21,94.7,90.18,89.4
,매출총이익율,14.29,10.43,10.5,4.44,5.97,6.18,8.58,9.01,3.41,2.41,5.63,6.62,8.33,8.73,9.52,9.82,8.79,5.3,9.82,10.6
,판관비율,2.82,4.64,2.99,2.79,2.81,3.72,3.08,3.55,3.54,3.96,3.32,3.22,3.28,3.83,4.1,3.88,4.12,5.34,4.51,4.13
,영업이익률,11.47,5.79,7.51,1.65,3.16,2.46,5.5,5.46,-0.13,-1.55,2.3,3.4,5.05,4.9,5.41,5.94,4.67,-0.05,5.31,6.47
,지배순이익률,5.48,2.69,6.26,0.56,2.83,-1.73,2.42,1.89,0.46,-6.87,1.2,1.95,2,2.77,4.06,4.56,2.77,0.18,4.39,4.45
,매출액YOY(%),,,,,-13.77,-16.37,-12.67,-12.66,-16.74,-8.49,-12.38,-11.94,1.23,-3.56,-17.83,-11.42,-20.14,-20.71,-14.57,-6.26
,영업이익YOY(%),,,,,-76.26,-64.54,-36.1,189.01,-103.43,-157.76,-63.27,-45.14,4034.06,404.6,93.03,54.68,-26.16,-100.78,-16.12,1.97
,지배순이익YOY(%),,,,,-55.45,-153.7,-66.25,194.99,-86.4,-264.41,-56.47,-9.28,336.67,138.87,177.71,107.23,10.92,-94.87,-7.81,-8.54
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,9943.88,10929.98,14082.1,12391.04,12051.56,12123.09,13399.15,14418.02,14505.7,13526.24,12707.15,12928.55,12164.71,11814.31,12254.69,10262.74,11882.59,13695.34,16740,
