,기업은행,A024110,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,24042.24,24288.16,23956.09,23975.42,23725.99,23096.13,21843.69,21732.08,21656.75,21708.77,21254.28,21551.88,21859.24,21309.86,20404.13,20020.06,19788.69,19653.38,19468.89,19479.77
, - 매출원가,11902.68,12853.41,12437.73,12691.22,12726.35,12214.91,11625.33,11197.42,10881.78,10671.81,10444.35,10411.17,10255.9,9753.75,9216.62,8515.82,8073.13,7751.21,7642.49,7481.1
, = 매출총이익,12139.56,11434.75,11518.36,11284.2,10999.64,10881.22,10218.36,10534.66,10774.97,11036.96,10809.93,11140.71,11603.34,11556.11,11187.51,11504.24,11715.56,11902.17,11826.4,11998.67
, - 판매비와관리비,6071.53,11244.96,5370.61,6612.54,7877.14,8700.21,6842.99,7921.22,7741.13,8635.19,6367.85,7351.03,8443.97,9063.93,6317.59,8029.42,8404.38,8561.57,7013.88,8078.66
, = 영업이익,6068.03,189.79,6147.75,4671.66,3122.5,2181.01,3375.37,2613.44,3033.84,2401.77,4442.08,3789.68,3159.37,2492.18,4869.92,3474.82,3311.18,3340.6,4812.52,3920.01
,* 지배순이익,4122.37,417.17,4688.53,3092.46,2462.66,1559.69,2559.37,2087.72,2159.98,1677.85,3255.23,2911.73,2318.43,1780.59,3677.63,3061,2444.02,2247.18,3766.88,2865.93
,매출원가비중,49.51,52.92,51.92,52.93,53.64,52.89,53.22,51.52,50.25,49.16,49.14,48.31,46.92,45.77,45.17,42.54,40.8,39.44,39.25,38.4
,매출총이익율,50.49,47.08,48.08,47.07,46.36,47.11,46.78,48.48,49.75,50.84,50.86,51.69,53.08,54.23,54.83,57.46,59.2,60.56,60.75,61.6
,판관비율,25.25,46.3,22.42,27.58,33.2,37.67,31.33,36.45,35.74,39.78,29.96,34.11,38.63,42.53,30.96,40.11,42.47,43.56,36.03,41.47
,영업이익률,25.24,0.78,25.66,19.49,13.16,9.44,15.45,12.03,14.01,11.06,20.9,17.58,14.45,11.69,23.87,17.36,16.73,17,24.72,20.12
,지배순이익률,17.15,1.72,19.57,12.9,10.38,6.75,11.72,9.61,9.97,7.73,15.32,13.51,10.61,8.36,18.02,15.29,12.35,11.43,19.35,14.71
,매출액YOY(%),,,,,-1.32,-4.91,-8.82,-9.36,-8.72,-6.01,-2.7,-0.83,0.93,-1.84,-4,-7.11,-9.47,-7.77,-4.58,-2.7
,영업이익YOY(%),,,,,-48.54,1049.17,-45.1,-44.06,-2.84,10.12,31.6,45.01,4.14,3.76,9.63,-8.31,4.81,34.04,-1.18,12.81
,지배순이익YOY(%),,,,,-40.26,273.87,-45.41,-32.49,-12.29,7.58,27.19,39.47,7.34,6.12,12.98,5.13,5.42,26.2,2.43,-6.37
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
