,다날,A064260,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,213.98,310.91,207.75,200.54,200.65,271.17,292.62,324.43,294.11,269.88,253.36,235.99,237.3,258.58,238.42,271.01,301.27,318.78,304.37,300.62
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,213.98,310.91,207.75,200.54,200.65,271.17,292.62,324.43,294.11,269.88,253.36,235.99,237.3,258.58,238.42,271.01,301.27,318.78,304.37,300.62
, - 판매비와관리비,205.46,292.03,186.94,178.73,182.4,285.31,288.31,313.49,272.16,261.62,245.36,219.62,235.22,244.14,237.14,266.16,309.41,307.89,298.1,292.5
, = 영업이익,8.52,18.88,20.81,21.81,18.25,-14.14,4.31,10.94,21.95,8.26,8,16.37,2.08,14.44,1.28,4.85,-8.14,10.89,6.27,8.12
,* 지배순이익,-3.17,23.94,19.44,10.58,14.6,-65.53,-1.45,-10.51,17.68,24.03,-2.66,9.01,27.05,-5.17,7.96,-11.7,32.21,-25.89,7.92,-30.34
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,96.02,93.93,89.98,89.12,90.9,105.21,98.53,96.63,92.54,96.94,96.84,93.06,99.12,94.42,99.46,98.21,102.7,96.58,97.94,97.3
,영업이익률,3.98,6.07,10.02,10.88,9.1,-5.21,1.47,3.37,7.46,3.06,3.16,6.94,0.88,5.58,0.54,1.79,-2.7,3.42,2.06,2.7
,지배순이익률,-1.48,7.7,9.36,5.28,7.28,-24.17,-0.5,-3.24,6.01,8.9,-1.05,3.82,11.4,-2,3.34,-4.32,10.69,-8.12,2.6,-10.09
,매출액YOY(%),,,,,-6.23,-12.78,40.85,61.78,46.58,-0.48,-13.42,-27.26,-19.32,-4.19,-5.9,14.84,26.96,23.28,27.66,10.93
,영업이익YOY(%),,,,,114.2,-174.89,-79.29,-49.84,20.27,158.42,85.61,49.63,-90.52,74.82,-84,-70.37,-491.35,-24.58,389.84,67.42
,지배순이익YOY(%),,,,,560.57,-373.73,-107.46,-199.34,21.1,136.67,-83.45,185.73,53,-121.51,399.25,-229.86,19.08,-400.77,-0.5,-159.32
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,362.82,366.97,389.86,377.89,411.73,549.34,442.4,439.9,477.03,457.6,433.9,483.73,507.23,486.76,541.82,570.78,604.17,577.41,0,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
, = 매출총이익,362.82,366.97,389.86,377.89,411.73,549.34,442.4,439.9,477.03,457.6,433.9,483.73,507.23,486.76,541.82,570.78,604.17,577.41,,
