,다우기술,A023590,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,383.76,512.72,444.76,509.64,429.09,1743.73,1739.81,2222.34,1781.38,1778.93,1572.28,1831.78,2071.49,2354.24,2109.03,2668.48,2962.08,2645.43,3033.38,2519.5
, - 매출원가,301.44,411.69,355.33,405.05,311.58,1253.92,1112.59,1684.07,1039.99,1156.71,972.42,1125.01,1125.27,1513.65,850.37,1227.13,1837.97,1761.61,1741.7,1406.41
, = 매출총이익,82.32,101.03,89.43,104.59,117.51,489.81,627.22,538.27,741.39,622.22,599.86,706.77,946.22,840.59,1258.66,1441.35,1124.11,883.82,1291.68,1113.09
, - 판매비와관리비,11.6,29.76,43.68,39.8,64.78,378.23,433.71,410.46,417.48,455.41,431.01,447.82,512.06,500.13,488.6,541.32,496.23,576.89,518.64,570.9
, = 영업이익,70.72,71.27,45.75,64.79,52.73,111.58,193.51,127.81,323.91,166.81,168.85,258.95,434.16,340.46,770.06,900.03,627.88,306.93,773.04,542.19
,* 지배순이익,53.17,42.98,57.2,128.07,58.79,175.06,93.62,58.36,112.87,21.25,62.07,89.95,170.61,126.01,277.33,321.9,286.75,144.75,303.83,186.08
,매출원가비중,78.55,80.3,79.89,79.48,72.61,71.91,63.95,75.78,58.38,65.02,61.85,61.42,54.32,64.29,40.32,45.99,62.05,66.59,57.42,55.82
,매출총이익율,21.45,19.7,20.11,20.52,27.39,28.09,36.05,24.22,41.62,34.98,38.15,38.58,45.68,35.71,59.68,54.01,37.95,33.41,42.58,44.18
,판관비율,3.02,5.8,9.82,7.81,15.1,21.69,24.93,18.47,23.44,25.6,27.41,24.45,24.72,21.24,23.17,20.29,16.75,21.81,17.1,22.66
,영업이익률,18.43,13.9,10.29,12.71,12.29,6.4,11.12,5.75,18.18,9.38,10.74,14.14,20.96,14.46,36.51,33.73,21.2,11.6,25.48,21.52
,지배순이익률,13.86,8.38,12.86,25.13,13.7,10.04,5.38,2.63,6.34,1.19,3.95,4.91,8.24,5.35,13.15,12.06,9.68,5.47,10.02,7.39
,매출액YOY(%),,,,,11.81,240.09,291.18,336.06,315.15,2.02,-9.63,-17.57,16.29,32.34,34.14,45.68,42.99,12.37,43.83,-5.58
,영업이익YOY(%),,,,,-25.44,56.56,322.97,97.27,514.28,49.5,-12.74,102.61,34.04,104.1,356.06,247.57,44.62,-9.85,0.39,-39.76
,지배순이익YOY(%),,,,,10.57,307.31,63.67,-54.43,91.99,-87.86,-33.7,54.13,51.16,492.99,346.8,257.87,68.07,14.87,9.56,-42.19
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2582.13,3399.18,3277.37,3027.89,3113.81,3910.05,5512.19,5236.89,5282.4,5992.48,7241.93,6820.65,7252.07,7703.68,20263.71,8880.07,12247.32,5938.26,0,
