,대주전자재료,A078600,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,295.49,257.45,252.42,218.75,193,228.31,188.26,212.65,213.38,181.99,190.83,194.74,174.08,146.85,136.97,133.65,154.87,149.74,158.22,172.21
, - 매출원가,252.56,190.11,172.04,165.14,145.56,186.77,154.88,176.14,164.25,140.39,142.23,150.79,134.22,131.88,109.51,109.06,120.44,118.09,118.02,123.61
, = 매출총이익,42.93,67.34,80.38,53.61,47.44,41.54,33.38,36.51,49.13,41.6,48.6,43.95,39.86,14.97,27.46,24.59,34.43,31.65,40.2,48.6
, - 판매비와관리비,25.02,31.69,31.61,25.5,26.77,36.31,40.15,36.03,35.38,35.28,38.5,33.99,39.16,32.47,35.7,32.97,33.14,39.56,35.05,41.45
, = 영업이익,17.91,35.65,48.77,28.11,20.67,5.23,-6.77,0.48,13.75,6.32,10.1,9.96,0.7,-17.5,-8.24,-8.38,1.29,-7.91,5.15,7.15
,* 지배순이익,17.8,13.23,36.67,20.29,7.81,1.26,-15.01,-1.93,10.55,-1.69,7.07,12.94,-0.47,-83.02,-10.78,-11.43,-3.77,-22.04,1.38,-0.76
,매출원가비중,85.47,73.84,68.16,75.49,75.42,81.81,82.27,82.83,76.98,77.14,74.53,77.43,77.1,89.81,79.95,81.6,77.77,78.86,74.59,71.78
,매출총이익율,14.53,26.16,31.84,24.51,24.58,18.19,17.73,17.17,23.02,22.86,25.47,22.57,22.9,10.19,20.05,18.4,22.23,21.14,25.41,28.22
,판관비율,8.47,12.31,12.52,11.66,13.87,15.9,21.33,16.94,16.58,19.39,20.18,17.45,22.5,22.11,26.06,24.67,21.4,26.42,22.15,24.07
,영업이익률,6.06,13.85,19.32,12.85,10.71,2.29,-3.6,0.23,6.44,3.47,5.29,5.11,0.4,-11.92,-6.02,-6.27,0.83,-5.28,3.25,4.15
,지배순이익률,6.02,5.14,14.53,9.28,4.05,0.55,-7.97,-0.91,4.94,-0.93,3.7,6.64,-0.27,-56.53,-7.87,-8.55,-2.43,-14.72,0.87,-0.44
,매출액YOY(%),,,,,-34.68,-11.32,-25.42,-2.79,10.56,-20.29,1.37,-8.42,-18.42,-19.31,-28.22,-31.37,-11.04,1.97,15.51,28.85
,영업이익YOY(%),,,,,15.41,-85.33,-113.88,-98.29,-33.48,20.84,249.19,1975,-94.91,-376.9,-181.58,-184.14,84.29,54.8,162.5,185.32
,지배순이익YOY(%),,,,,-56.12,-90.48,-140.93,-109.51,35.08,-234.13,147.1,770.47,-104.46,-4812.43,-252.48,-188.33,-702.13,73.45,112.8,93.35
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,165.54,183.14,207.69,241.45,251.08,233.69,259.76,255.65,247.15,266.79,257.43,265.73,313.57,327.12,378.31,377.27,396.9,392.96,451,
