,대한항공,A003490,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,33127.37,31672.38,29983.47,31470.36,32940.14,29023.93,28454.54,28384.29,31833.06,29815.18,28968.93,28974.91,31651.51,29502.14,28712.47,27859.43,29726.16,29150.25,28669.61,28177.09
, - 매출원가,27595.67,27736.77,27993.22,27631.82,27474.38,27013.83,27143.87,26040.18,27480.59,26871.61,25981.85,26456.52,26474.64,24982.44,24083.12,24507.64,23505.85,23077.37,22654.51,23557.86
, = 매출총이익,5531.7,3935.61,1990.25,3838.54,5465.76,2010.1,1310.67,2344.11,4352.47,2943.57,2987.08,2518.39,5176.87,4519.7,4629.35,3351.79,6220.31,6072.88,6015.1,4619.23
, - 판매비와관리비,3131.91,3240.84,2979.01,2894.22,2644.71,2501.05,2777,2852.22,2751.81,2765.41,2772.79,2718.17,2769.33,2988.4,2730.01,2848.25,2805.47,3059.71,2782.53,3027.11
, = 영업이익,2399.79,694.77,-988.76,944.32,2821.05,-490.95,-1466.33,-508.11,1600.66,178.16,214.29,-199.78,2407.54,1531.3,1899.34,503.54,3414.84,3013.17,3232.57,1592.12
,* 지배순이익,-5405.2,561.34,-625.71,-1707.15,3382.76,1414.23,-3050.31,-3621.04,4986.65,-565.25,-1541.15,3405.89,-3900.32,-4318,-1313.13,-787.55,-5098.79,1549.69,-1775.52,-2528.24
,매출원가비중,83.3,87.57,93.36,87.8,83.41,93.07,95.39,91.74,86.33,90.13,89.69,91.31,83.64,84.68,83.88,87.97,79.07,79.17,79.02,83.61
,매출총이익율,16.7,12.43,6.64,12.2,16.59,6.93,4.61,8.26,13.67,9.87,10.31,8.69,16.36,15.32,16.12,12.03,20.93,20.83,20.98,16.39
,판관비율,9.45,10.23,9.94,9.2,8.03,8.62,9.76,10.05,8.64,9.28,9.57,9.38,8.75,10.13,9.51,10.22,9.44,10.5,9.71,10.74
,영업이익률,7.24,2.19,-3.3,3,8.56,-1.69,-5.15,-1.79,5.03,0.6,0.74,-0.69,7.61,5.19,6.62,1.81,11.49,10.34,11.28,5.65
,지배순이익률,-16.32,1.77,-2.09,-5.42,10.27,4.87,-10.72,-12.76,15.66,-1.9,-5.32,11.75,-12.32,-14.64,-4.57,-2.83,-17.15,5.32,-6.19,-8.97
,매출액YOY(%),,,,,-0.57,-8.36,-5.1,-9.81,-3.36,2.73,1.81,2.08,-0.57,-1.05,-0.89,-3.85,-6.08,-1.19,-0.15,1.14
,영업이익YOY(%),,,,,17.55,-170.66,-48.3,-153.81,-43.26,136.29,114.61,60.68,50.41,759.51,786.34,352.05,41.84,96.77,70.19,216.19
,지배순이익YOY(%),,,,,162.58,151.94,-387.5,-112.11,47.41,-139.97,49.48,194.06,-178.22,-663.91,14.8,-123.12,-30.73,135.89,-35.21,-221.03
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
