,대한해운,A005880,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1787.51,1926.99,1859.83,1558.58,1234.11,1303.61,1303.78,1388.22,1365.42,1297.24,1289.81,1442.28,1482.12,1588.81,1455.06,1365.61,1283.52,1212.73,1147.47,1337.43
, - 매출원가,1359.43,1440.44,2138.78,1780.86,1532.23,1287.07,989.51,1082.89,1074.26,985.06,1017.12,1171.77,1250.2,1289.23,1074.55,1104.44,1070.76,1035.64,985.26,1210.41
, = 매출총이익,428.08,486.55,-278.95,-222.28,-298.12,16.54,314.27,305.33,291.16,312.18,272.69,270.51,231.92,299.58,380.51,261.17,212.76,177.09,162.21,127.02
, - 판매비와관리비,164.42,29.91,-85.06,69.99,94.66,24.98,36.85,43.11,21.51,107.57,27.57,32.01,-8.99,41.27,51.2,44.16,48.59,27.48,50.06,42.95
, = 영업이익,263.66,456.64,-193.89,-292.27,-392.78,-8.44,277.42,262.22,269.65,204.61,245.12,238.5,240.91,258.31,329.31,217.01,164.17,149.61,112.15,84.07
,* 지배순이익,-12877.7,9195.72,-320.48,-252.08,-740.06,-1197.15,4331.64,-59.72,40.36,-474.69,138.34,417.19,133.55,28.03,152.09,69.71,111.42,56.02,63.19,53.78
,매출원가비중,76.05,74.75,115,114.26,124.16,98.73,75.9,78.01,78.68,75.94,78.86,81.24,84.35,81.14,73.85,80.88,83.42,85.4,85.86,90.5
,매출총이익율,23.95,25.25,-15,-14.26,-24.16,1.27,24.1,21.99,21.32,24.06,21.14,18.76,15.65,18.86,26.15,19.12,16.58,14.6,14.14,9.5
,판관비율,9.2,1.55,-4.57,4.49,7.67,1.92,2.83,3.11,1.58,8.29,2.14,2.22,-0.61,2.6,3.52,3.23,3.79,2.27,4.36,3.21
,영업이익률,14.75,23.7,-10.43,-18.75,-31.83,-0.65,21.28,18.89,19.75,15.77,19,16.54,16.25,16.26,22.63,15.89,12.79,12.34,9.77,6.29
,지배순이익률,-720.43,477.21,-17.23,-16.17,-59.97,-91.83,332.24,-4.3,2.96,-36.59,10.73,28.93,9.01,1.76,10.45,5.1,8.68,4.62,5.51,4.02
,매출액YOY(%),,,,,-30.96,-32.35,-29.9,-10.93,10.64,-0.49,-1.07,3.89,8.55,22.48,12.81,-5.32,-13.4,-23.67,-21.14,-2.06
,영업이익YOY(%),,,,,-248.97,-101.85,243.08,189.72,168.65,2524.29,-11.64,-9.05,-10.66,26.25,34.35,-9.01,-31.85,-42.08,-65.94,-61.26
,지배순이익YOY(%),,,,,94.25,-113.02,1451.61,76.31,105.45,60.35,-96.81,798.58,230.9,105.9,9.94,-83.29,-16.57,99.86,-58.45,-22.85
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1323.62,1594.62,3101.27,4017.32,4008.21,4137.68,2965.56,3350.16,3308.29,3221.94,2468.15,2464.84,2623.8,2499.78,2306.75,2108.34,2203.88,2221.81,2269,
