,더존비즈온,A012510,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,235.58,298.74,303.07,309.15,277.27,344.67,325.54,321.14,302.3,347.04,317.89,344.87,318.66,382.39,337.18,384.39,370.97,484.79,421.68,423.01
, - 매출원가,121.16,144.26,135.04,140.04,135.52,156.02,157.85,157.45,154.57,160.55,159.65,169.43,166.56,173.13,151.9,162.6,173.18,199.91,179.63,174.73
, = 매출총이익,114.42,154.48,168.03,169.11,141.75,188.65,167.69,163.69,147.73,186.49,158.24,175.44,152.1,209.26,185.28,221.79,197.79,284.88,242.05,248.28
, - 판매비와관리비,98.65,103.11,107.41,107.05,103.19,112.7,116.73,114.82,122.31,128.17,135.32,129.54,115.6,109.32,147.1,154.96,142.58,155.21,162.45,150.81
, = 영업이익,15.77,51.37,60.62,62.06,38.56,75.95,50.96,48.87,25.42,58.32,22.92,45.9,36.5,99.94,38.18,66.83,55.21,129.67,79.6,97.47
,* 지배순이익,7.53,-22.87,47.13,46.24,32.09,47.01,63.05,41.27,15.72,14.61,22.62,27.89,31.77,25.5,37.11,46.27,46.15,84.21,59.8,69.37
,매출원가비중,51.43,48.29,44.56,45.3,48.88,45.27,48.49,49.03,51.13,46.26,50.22,49.13,52.27,45.28,45.05,42.3,46.68,41.24,42.6,41.31
,매출총이익율,48.57,51.71,55.44,54.7,51.12,54.73,51.51,50.97,48.87,53.74,49.78,50.87,47.73,54.72,54.95,57.7,53.32,58.76,57.4,58.69
,판관비율,41.88,34.51,35.44,34.63,37.22,32.7,35.86,35.75,40.46,36.93,42.57,37.56,36.28,28.59,43.63,40.31,38.43,32.02,38.52,35.65
,영업이익률,6.69,17.2,20,20.07,13.91,22.04,15.65,15.22,8.41,16.8,7.21,13.31,11.45,26.14,11.32,17.39,14.88,26.75,18.88,23.04
,지배순이익률,3.2,-7.66,15.55,14.96,11.57,13.64,19.37,12.85,5.2,4.21,7.12,8.09,9.97,6.67,11.01,12.04,12.44,17.37,14.18,16.4
,매출액YOY(%),,,,,17.7,15.37,7.41,3.88,9.03,0.69,-2.35,7.39,5.41,10.19,6.07,11.46,16.42,26.78,25.06,10.05
,영업이익YOY(%),,,,,144.51,47.85,-15.94,-21.25,-34.08,-23.21,-55.02,-6.08,43.59,71.36,66.58,45.6,51.26,29.75,108.49,45.85
,지배순이익YOY(%),,,,,326.16,305.55,33.78,-10.75,-51.01,-68.92,-64.12,-32.42,102.1,74.54,64.06,65.9,45.26,230.24,61.14,49.92
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,403.59,519.4,467.25,486.38,462.32,628.48,522.52,552.32,536.9,657.59,625.16,620.3,606.86,774.31,711.74,731.75,730.1,890.96,785,
, - 매출원가,171.54,192.22,194.65,199.4,196.72,250.14,224.96,243.15,256.61,273.81,289.74,272.04,266.44,305.57,309.57,327.96,343.68,390.31,,
