,동국제강,A001230,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,20387.76,22267.87,21034.86,21884.6,18119.98,15751.77,16051.36,18272.28,16415.36,16169.55,14912.33,16374.46,15334.57,14063.96,13694.17,14924.34,14870.61,9173.89,11098.37,13150.82
, - 매출원가,19357.06,20967.95,20831.33,20799.65,17887.58,14611.74,14802.78,17325.78,15492.43,14963.91,14088.35,15467.94,14625.8,13174.87,13395.03,13501.89,13186.85,7519.48,9700.13,10851.42
, = 매출총이익,1030.7,1299.92,203.53,1084.95,232.4,1140.03,1248.58,946.5,922.93,1205.64,823.98,906.52,708.77,889.09,299.14,1422.45,1683.76,1654.41,1398.24,2299.4
, - 판매비와관리비,1595.33,1352.44,598.77,647.68,674.45,1433.05,783.41,907.79,892.82,928.43,836.68,881.48,886.09,927.86,880.14,883.06,907.2,695.06,877.3,1181.22
, = 영업이익,-564.63,-52.52,-395.24,437.27,-442.05,-293.02,465.17,38.71,30.11,277.21,-12.7,25.04,-177.32,-38.77,-581,539.39,776.56,959.35,520.94,1118.18
,* 지배순이익,-1973.06,-363.48,-355.37,-339.08,-224.83,-1313.56,-478.17,-645.79,155.46,-196.82,-574.87,389.11,-1224.55,-1332.74,-1729.87,1541.86,-2551.41,352.6,813.34,1254.49
,매출원가비중,94.94,94.16,99.03,95.04,98.72,92.76,92.22,94.82,94.38,92.54,94.47,94.46,95.38,93.68,97.82,90.47,88.68,81.97,87.4,82.52
,매출총이익율,5.06,5.84,0.97,4.96,1.28,7.24,7.78,5.18,5.62,7.46,5.53,5.54,4.62,6.32,2.18,9.53,11.32,18.03,12.6,17.48
,판관비율,7.82,6.07,2.85,2.96,3.72,9.1,4.88,4.97,5.44,5.74,5.61,5.38,5.78,6.6,6.43,5.92,6.1,7.58,7.9,8.98
,영업이익률,-2.77,-0.24,-1.88,2,-2.44,-1.86,2.9,0.21,0.18,1.71,-0.09,0.15,-1.16,-0.28,-4.24,3.61,5.22,10.46,4.69,8.5
,지배순이익률,-9.68,-1.63,-1.69,-1.55,-1.24,-8.34,-2.98,-3.53,0.95,-1.22,-3.85,2.38,-7.99,-9.48,-12.63,10.33,-17.16,3.84,7.33,9.54
,매출액YOY(%),,,,,-11.12,-29.26,-23.69,-16.51,-9.41,2.65,-7.1,-10.39,-6.58,-13.02,-8.17,-8.86,-3.03,-34.77,-18.96,-11.88
,영업이익YOY(%),,,,,21.71,-457.92,217.69,-91.15,106.81,194.6,-102.73,-35.31,-688.91,-113.99,-4474.8,2054.11,537.94,2574.46,189.66,107.3
,지배순이익YOY(%),,,,,88.61,-261.38,-34.56,-90.45,169.15,85.02,-20.22,160.25,-887.69,-577.14,-200.92,296.25,-108.35,126.46,147.02,-18.64
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
