,두산인프라코어,A042670,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,19469.75,20405.31,21902.66,23327.15,18593.73,17759.97,17892.55,21816.4,18794.52,18864.83,18087.9,21132.78,17910.38,19754.53,15301.14,16222.67,14301.44,13823.69,14335.87,16183.48
, - 매출원가,15268.03,16063.87,16869.81,18348.79,14983.92,14578.78,14175.87,17153.79,14738.69,14825.02,13990.65,16516.1,13887.66,15365.45,11943.98,12648.3,11554.71,11326.31,11062.69,12339.25
, = 매출총이익,4201.72,4341.44,5032.85,4978.36,3609.81,3181.19,3716.68,4662.61,4055.83,4039.81,4097.25,4616.68,4022.72,4389.08,3357.16,3574.37,2746.73,2497.38,3273.18,3844.23
, - 판매비와관리비,2699.08,3691.02,3191.88,3306.97,3244.76,3434.42,3144.58,3450.9,3026.28,3158.18,3108.33,3161.95,3019.12,3306.39,2979.28,2809.76,2901.49,4435.99,2161.15,2109.33
, = 영업이익,1502.64,650.42,1840.97,1671.39,365.05,-253.23,572.1,1211.71,1029.55,881.63,988.92,1454.73,1003.6,1082.69,377.88,764.61,-154.76,-1938.61,1112.03,1734.9
,* 지배순이익,35.81,-110.5,687.59,1722.13,234.92,758.75,-662.8,-221.31,219.09,-352.55,37.17,839.82,197.42,-654.75,-449.93,65.33,-2110.72,-5695.7,470.38,1995.11
,매출원가비중,78.42,78.72,77.02,78.66,80.59,82.09,79.23,78.63,78.42,78.59,77.35,78.15,77.54,77.78,78.06,77.97,80.79,81.93,77.17,76.25
,매출총이익율,21.58,21.28,22.98,21.34,19.41,17.91,20.77,21.37,21.58,21.41,22.65,21.85,22.46,22.22,21.94,22.03,19.21,18.07,22.83,23.75
,판관비율,13.86,18.09,14.57,14.18,17.45,19.34,17.57,15.82,16.1,16.74,17.18,14.96,16.86,16.74,19.47,17.32,20.29,32.09,15.08,13.03
,영업이익률,7.72,3.19,8.41,7.16,1.96,-1.43,3.2,5.55,5.48,4.67,5.47,6.88,5.6,5.48,2.47,4.71,-1.08,-14.02,7.76,10.72
,지배순이익률,0.18,-0.54,3.14,7.38,1.26,4.27,-3.7,-1.01,1.17,-1.87,0.21,3.97,1.1,-3.31,-2.94,0.4,-14.76,-41.2,3.28,12.33
,매출액YOY(%),,,,,-4.5,-12.96,-18.31,-6.48,1.08,6.22,1.09,-3.13,-4.7,4.72,-15.41,-23.23,-20.15,-30.02,-6.31,-0.24
,영업이익YOY(%),,,,,-75.71,-138.93,-68.92,-27.5,182.03,448.15,72.86,20.06,-2.52,22.81,-61.79,-47.44,-115.42,-279.06,194.28,126.9
,지배순이익YOY(%),,,,,556.02,786.65,-196.39,-112.85,-6.74,-146.46,105.61,479.48,-9.89,-85.72,-1310.46,-92.22,-1169.15,-769.9,204.55,2953.9
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
