,롯데지주,A004990,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,5057.29,4694.89,4364.24,4641.24,5022.16,4617.29,4664.12,4724.29,5166.35,5208.92,5107.28,5419.73,5924.23,5796.42,5479.65,5604.73,5945.37,5549.66,5315.93,5495.36
, - 매출원가,3028.73,2994.85,2816.48,2935.62,3096.01,2968.7,2946.84,2983.98,3178.1,3431.85,3340.41,3517.66,3798.22,3792.82,3507.2,3541.88,3686.34,3574.57,3393.08,3477.78
, = 매출총이익,2028.56,1700.04,1547.76,1705.62,1926.15,1648.59,1717.28,1740.31,1988.25,1777.07,1766.87,1902.07,2126.01,2003.6,1972.45,2062.85,2259.03,1975.09,1922.85,2017.58
, - 판매비와관리비,1426.67,1488.7,1241.38,1388.81,1429.47,1614.5,1498.93,1566.53,1610.67,1631.41,1500.73,1619.67,1693.16,1837.29,1689.44,1702.99,1709.22,1723.17,1644.96,1725.95
, = 영업이익,601.89,211.34,306.38,316.81,496.68,34.09,218.35,173.78,377.58,145.66,266.14,282.4,432.85,166.31,283.01,359.86,549.81,251.92,277.89,291.63
,* 지배순이익,183.58,3.83,403.37,64.69,555.29,-107.11,185.42,62.01,334.01,-74.16,124.49,241.9,95.23,-490.12,333.06,270.98,220.24,-71.96,297.81,78.65
,매출원가비중,59.89,63.79,64.54,63.25,61.65,64.3,63.18,63.16,61.52,65.88,65.4,64.9,64.11,65.43,64,63.19,62,64.41,63.83,63.29
,매출총이익율,40.11,36.21,35.46,36.75,38.35,35.7,36.82,36.84,38.48,34.12,34.6,35.1,35.89,34.57,36,36.81,38,35.59,36.17,36.71
,판관비율,28.21,31.71,28.44,29.92,28.46,34.97,32.14,33.16,31.18,31.32,29.38,29.88,28.58,31.7,30.83,30.38,28.75,31.05,30.94,31.41
,영업이익률,11.9,4.5,7.02,6.83,9.89,0.74,4.68,3.68,7.31,2.8,5.21,5.21,7.31,2.87,5.16,6.42,9.25,4.54,5.23,5.31
,지배순이익률,3.63,0.08,9.24,1.39,11.06,-2.32,3.98,1.31,6.47,-1.42,2.44,4.46,1.61,-8.46,6.08,4.83,3.7,-1.3,5.6,1.43
,매출액YOY(%),,,,,-0.69,-1.65,6.87,1.79,2.87,12.81,9.5,14.72,14.67,11.28,7.29,3.41,0.36,-4.26,-2.99,-1.95
,영업이익YOY(%),,,,,-17.48,-83.87,-28.73,-45.15,-23.98,327.28,21.89,62.5,14.64,14.18,6.34,27.43,27.02,51.48,-1.81,-18.96
,지배순이익YOY(%),,,,,202.48,-2896.61,-54.03,-4.14,-39.85,30.76,-32.86,290.1,-71.49,-560.9,167.54,12.02,131.27,85.32,-10.58,-70.98
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
