,롯데케미칼,A011170,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,40880.49,37220.22,38503.69,39488.03,41318.67,39717.64,41712.38,41612.17,40392.53,40672.27,38733.66,37819.5,37082.89,34953.64,27995.62,31786.36,30347.47,27003.93,26844.98,34411.23
, - 매출원가,35798,34670.95,35428.4,38857.45,38276.43,38529.69,39462.2,39842.32,37609.52,38357.69,36951.3,35873.88,34584.35,33176.08,25087.87,24304.08,24416.43,22654.53,20978.19,25501.06
, = 매출총이익,5082.49,2549.27,3075.29,630.58,3042.24,1187.95,2250.18,1769.85,2783.01,2314.58,1782.36,1945.62,2498.54,1777.56,2907.75,7482.28,5931.04,4349.4,5866.79,8910.17
, - 판매비와관리비,1143.03,1216.48,1042.28,1106.69,1079.61,990.17,1075.84,1074.07,1065.52,1027.96,1099.02,1102.13,1076.44,1217.2,1127.79,1084.39,1086.19,1260.9,1130.89,1970.73
, = 영업이익,3939.46,1332.79,2033.01,-476.11,1962.63,197.78,1174.34,695.78,1717.49,1286.62,683.34,843.49,1422.1,560.36,1779.96,6397.89,4844.85,3088.5,4735.9,6939.44
,* 지배순이익,2993.69,511.61,1674.13,-126.63,1578.73,19.15,1144.25,254.28,1522.17,-41.49,485.53,526.99,1013.78,-557.74,1207.37,4602.38,2401.1,1714.27,3461.54,4597.4
,매출원가비중,87.57,93.15,92.01,98.4,92.64,97.01,94.61,95.75,93.11,94.31,95.4,94.86,93.26,94.91,89.61,76.46,80.46,83.89,78.15,74.11
,매출총이익율,12.43,6.85,7.99,1.6,7.36,2.99,5.39,4.25,6.89,5.69,4.6,5.14,6.74,5.09,10.39,23.54,19.54,16.11,21.85,25.89
,판관비율,2.8,3.27,2.71,2.8,2.61,2.49,2.58,2.58,2.64,2.53,2.84,2.91,2.9,3.48,4.03,3.41,3.58,4.67,4.21,5.73
,영업이익률,9.64,3.58,5.28,-1.21,4.75,0.5,2.82,1.67,4.25,3.16,1.76,2.23,3.83,1.6,6.36,20.13,15.96,11.44,17.64,20.17
,지배순이익률,7.32,1.37,4.35,-0.32,3.82,0.05,2.74,0.61,3.77,-0.1,1.25,1.39,2.73,-1.6,4.31,14.48,7.91,6.35,12.89,13.36
,매출액YOY(%),,,,,1.07,6.71,8.33,5.38,-2.24,2.4,-7.14,-9.11,-8.19,-14.06,-27.72,-15.95,-18.16,-22.74,-4.11,8.26
,영업이익YOY(%),,,,,-50.18,-85.16,-42.24,246.14,-12.49,550.53,-41.81,21.23,-17.2,-56.45,160.48,658.5,240.68,451.16,166.07,8.46
,지배순이익YOY(%),,,,,-47.26,-96.26,-31.65,300.81,-3.58,-316.66,-57.57,107.25,-33.4,-1244.28,148.67,773.33,136.85,407.36,186.7,-0.11
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
