,리노공업,A058470,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,163.65,153.14,172.18,193.26,192.6,194.18,174.94,214.74,223.33,193.38,207.09,284.09,234.63,208.41,228.26,262.15,286.02,218.32,265.75,317.12
, - 매출원가,91.91,86.87,90.79,103.56,106.34,107.41,92.21,115.23,117.77,113.22,109.7,145.43,128.37,127.88,120.04,138.4,152.5,127.96,144.41,170.33
, = 매출총이익,71.74,66.27,81.39,89.7,86.26,86.77,82.73,99.51,105.56,80.16,97.39,138.66,106.26,80.53,108.22,123.75,133.52,90.36,121.34,146.79
, - 판매비와관리비,4.96,28.79,15.81,21.56,14.78,14.58,15.88,22.1,22.87,18.81,20.18,27.7,22.22,25.56,22.09,25.14,27.25,21.27,21.98,26.46
, = 영업이익,66.78,37.48,65.58,68.14,71.48,72.19,66.85,77.41,82.69,61.35,77.21,110.96,84.04,54.97,86.13,98.61,106.27,69.09,99.36,120.33
,* 지배순이익,61.57,16.62,55.39,67.57,61.83,63.83,57.92,76.93,67.44,59.51,68,96.97,80.96,62.73,74.83,93.9,95.06,62.53,82.02,115.55
,매출원가비중,56.16,56.73,52.73,53.59,55.21,55.31,52.71,53.66,52.73,58.55,52.97,51.19,54.71,61.36,52.59,52.79,53.32,58.61,54.34,53.71
,매출총이익율,43.84,43.27,47.27,46.41,44.79,44.69,47.29,46.34,47.27,41.45,47.03,48.81,45.29,38.64,47.41,47.21,46.68,41.39,45.66,46.29
,판관비율,3.03,18.8,9.18,11.16,7.67,7.51,9.08,10.29,10.24,9.73,9.74,9.75,9.47,12.26,9.68,9.59,9.53,9.74,8.27,8.34
,영업이익률,40.81,24.47,38.09,35.26,37.11,37.18,38.21,36.05,37.03,31.73,37.28,39.06,35.82,26.38,37.73,37.62,37.15,31.65,37.39,37.94
,지배순이익률,37.62,10.85,32.17,34.96,32.1,32.87,33.11,35.82,30.2,30.77,32.84,34.13,34.51,30.1,32.78,35.82,33.24,28.64,30.86,36.44
,매출액YOY(%),,,,,17.69,26.8,1.6,11.11,15.96,-0.41,18.38,32.29,5.06,7.77,10.22,-7.72,21.9,4.76,16.42,20.97
,영업이익YOY(%),,,,,7.04,92.61,1.94,13.6,15.68,-15.02,15.5,43.34,1.63,-10.4,11.55,-11.13,26.45,25.69,15.36,22.03
,지배순이익YOY(%),,,,,0.42,284.06,4.57,13.85,9.07,-6.77,17.4,26.05,20.05,5.41,10.04,-3.17,17.42,-0.32,9.61,23.06
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,312.46,232.56,327.04,405.09,371.5,311.47,403.29,424.98,360.33,314.95,328.98,439.6,422.99,511.5,518.82,547.87,530.23,416.43,585,
, - 매출원가,180.08,142.77,189.52,216.24,206.97,206.07,231.1,215.97,219.17,157.32,190.12,238.37,244.57,288.46,291.29,310.05,294.85,229.4,,
