,메리츠화재,A000060,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,10414.51,10746.02,11082.69,11661.14,11866.33,12162.64,11996.49,12151.06,12344.24,12682.24,12566.19,12874.95,13006.78,13519.52,13747.05,14047.03,14178.17,14686.05,14681.82,15094.27
, - 매출원가,2848.25,2944.54,3069,3509.98,3593.89,3344.82,2175.44,2935.88,3582.08,3308.44,3219.82,3749.37,3692.14,3672.44,3403.25,3465.92,3463.44,4045.62,4027.99,4086.8
, = 매출총이익,7566.26,7801.48,8013.69,8151.16,8272.44,8817.82,9821.05,9215.18,8762.16,9373.8,9346.37,9125.58,9314.64,9847.08,10343.8,10581.11,10714.73,10640.43,10653.83,11007.47
, - 판매비와관리비,7033.61,7255.51,7817.34,7723.23,7792.56,8549.13,9184.75,8545.2,8142.66,8915.51,8940.23,8731.71,8764.67,9630.85,10085.85,9750.75,10073.19,10123.21,10033.09,10080.7
, = 영업이익,532.65,545.97,196.35,427.93,479.88,268.69,636.3,669.98,619.5,458.29,406.14,393.87,549.97,216.23,257.95,830.36,641.54,517.22,620.74,926.77
,* 지배순이익,393.24,403.68,152.14,319.93,362.59,199.32,475.57,504.7,461.9,359.88,304.09,293.26,411.44,136.7,191.93,624.97,480.69,387.58,487.05,699.53
,매출원가비중,27.35,27.4,27.69,30.1,30.29,27.5,18.13,24.16,29.02,26.09,25.62,29.12,28.39,27.16,24.76,24.67,24.43,27.55,27.44,27.08
,매출총이익율,72.65,72.6,72.31,69.9,69.71,72.5,81.87,75.84,70.98,73.91,74.38,70.88,71.61,72.84,75.24,75.33,75.57,72.45,72.56,72.92
,판관비율,67.54,67.52,70.54,66.23,65.67,70.29,76.56,70.32,65.96,70.3,71.15,67.82,67.39,71.24,73.37,69.42,71.05,68.93,68.34,66.78
,영업이익률,5.11,5.08,1.77,3.67,4.04,2.21,5.3,5.51,5.02,3.61,3.23,3.06,4.23,1.6,1.88,5.91,4.52,3.52,4.23,6.14
,지배순이익률,3.78,3.76,1.37,2.74,3.06,1.64,3.96,4.15,3.74,2.84,2.42,2.28,3.16,1.01,1.4,4.45,3.39,2.64,3.32,4.63
,매출액YOY(%),,,,,13.94,13.18,8.25,4.2,4.03,4.27,4.75,5.96,5.37,6.6,9.4,9.1,9.01,8.63,6.8,7.46
,영업이익YOY(%),,,,,-9.91,-50.79,224.06,56.56,29.09,70.56,-36.17,-41.21,-11.22,-52.82,-36.49,110.82,16.65,139.2,140.64,11.61
,지배순이익YOY(%),,,,,-7.79,-50.62,212.59,57.75,27.39,80.55,-36.06,-41.89,-10.92,-62.02,-36.88,113.11,16.83,183.53,153.76,11.93
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,14847.02,15396.1,15561.68,16203.17,16000.42,16521.27,17042.41,17585.77,17705.59,18739.21,19143.15,19721.34,20396.15,21569.49,22311.84,22667.8,22936.95,23889.41,22960,
