,미래에셋증권,A006800,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1688.24,1809.45,2414.8,1668.34,2115.4,1507.31,1819.59,1303.6,1244.36,1080.69,1779.65,1837.03,2104.31,2265.94,3022.96,3132.38,2188.38,-3574.55,1267.23,3045.89
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,1688.24,1809.45,2414.8,1668.34,2115.4,1507.31,1819.59,1303.6,1244.36,1080.69,1779.65,1837.03,2104.31,2265.94,3022.96,3132.38,2188.38,-3574.55,1267.23,3045.89
, - 판매비와관리비,1387.27,1541.98,1298.92,1382.43,1421.55,1308.02,1364.93,1266,1276.17,1440.57,1166.31,1194.15,715.24,2203.29,1597.7,1595.79,1369.97,-1278.97,783.78,2332.16
, = 영업이익,300.97,267.47,1115.88,285.91,693.85,199.29,454.66,37.6,-31.81,-359.88,613.34,642.88,1389.07,62.65,1425.26,1536.59,818.41,-2295.58,483.45,713.73
,* 지배순이익,240.47,256.62,811.89,309.73,587.45,132.02,407.72,72.27,-55.29,-308.74,459.76,516.1,978.62,97.47,1110.1,1184.48,554.45,-1151.52,400.29,607.6
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,82.17,85.22,53.79,82.86,67.2,86.78,75.01,97.12,102.56,133.3,65.54,65,33.99,97.24,52.85,50.94,62.6,35.78,61.85,76.57
,영업이익률,17.83,14.78,46.21,17.14,32.8,13.22,24.99,2.88,-2.56,-33.3,34.46,35,66.01,2.76,47.15,49.06,37.4,64.22,38.15,23.43
,지배순이익률,14.24,14.18,33.62,18.57,27.77,8.76,22.41,5.54,-4.44,-28.57,25.83,28.09,46.51,4.3,36.72,37.81,25.34,32.21,31.59,19.95
,매출액YOY(%),,,,,25.3,-16.7,-24.65,-21.86,-41.18,-28.3,-2.19,40.92,69.11,109.68,69.86,70.51,4,-257.75,-58.08,-2.76
,영업이익YOY(%),,,,,130.54,-25.49,-59.26,-86.85,-104.58,-280.58,34.9,1609.79,4466.77,117.41,132.38,139.02,-41.08,-3764.13,-66.08,-53.55
,지배순이익YOY(%),,,,,144.29,-48.55,-49.78,-76.67,-109.41,-333.86,12.76,614.13,1869.98,131.57,141.45,129.51,-43.34,-1281.41,-63.94,-48.7
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3186.97,460.35,3925.4,4435.54,4455.15,4303.36,4912.07,5074.06,3694.32,2589.82,4928.7,5584.61,4530.71,4743.21,4438.46,7312.67,6349.75,6634.2,7314,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
