,삼성전기,A009150,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,15707.57,16636.4,17477.09,19079.03,21830.79,20741.39,20437.16,23846.15,21181.7,17100.78,17287.71,17711.32,14861.79,11143.66,16025.93,16020.93,16095.4,13620.31,16043.34,16163.86
, - 매출원가,13299.51,13828.44,14260.4,15259.75,17645.37,16768.72,16758.1,18686.89,16897.74,14749.89,14660.03,14782.42,12713.61,8494.05,12626.05,12659.6,12600.49,10760.92,13196.49,13277.55
, = 매출총이익,2408.06,2807.96,3216.69,3819.28,4185.42,3972.67,3679.06,5159.26,4283.96,2350.89,2627.68,2928.9,2148.18,2649.61,3399.88,3361.33,3494.91,2859.39,2846.85,2886.31
, - 판매비와관리비,1601.61,2248.38,2268.79,2252.66,2345.07,2522.77,2547.58,2935.25,2640.75,2709.95,2476.64,2528.5,2487.4,2212.35,2548.67,2420.47,2479.94,2653.11,2417.77,2734.52
, = 영업이익,806.45,559.58,947.9,1566.62,1840.35,1449.9,1131.48,2224.01,1643.21,-359.06,151.04,400.4,-339.22,437.26,851.21,940.86,1014.97,206.28,429.08,151.79
,* 지배순이익,649.25,1448.56,695.06,1351.65,1390.89,970.43,950.47,1646.54,1201.17,-495.78,16.61,139.08,-707.3,5578.65,367.59,1.83,-90.85,-166.68,312.83,165.07
,매출원가비중,84.67,83.12,81.59,79.98,80.83,80.85,82,78.36,79.78,86.25,84.8,83.46,85.55,76.22,78.79,79.02,78.29,79.01,82.26,82.14
,매출총이익율,15.33,16.88,18.41,20.02,19.17,19.15,18,21.64,20.22,13.75,15.2,16.54,14.45,23.78,21.21,20.98,21.71,20.99,17.74,17.86
,판관비율,10.2,13.51,12.98,11.81,10.74,12.16,12.47,12.31,12.47,15.85,14.33,14.28,16.74,19.85,15.9,15.11,15.41,19.48,15.07,16.92
,영업이익률,5.13,3.36,5.42,8.21,8.43,6.99,5.54,9.33,7.76,-2.1,0.87,2.26,-2.28,3.92,5.31,5.87,6.31,1.51,2.67,0.94
,지배순이익률,4.13,8.71,3.98,7.08,6.37,4.68,4.65,6.9,5.67,-2.9,0.1,0.79,-4.76,50.06,2.29,0.01,-0.56,-1.22,1.95,1.02
,매출액YOY(%),,,,,38.98,24.67,16.94,24.99,-2.97,-17.55,-15.41,-25.73,-29.84,-34.84,-7.3,-9.54,8.3,22.22,0.11,0.89
,영업이익YOY(%),,,,,128.2,159.1,19.37,41.96,-10.71,-124.76,-86.65,-82,-120.64,221.78,463.57,134.98,399.21,-52.82,-49.59,-83.87
,지배순이익YOY(%),,,,,114.23,-33.01,36.75,21.82,-13.64,-151.09,-98.25,-91.55,-158.88,1225.23,2113.06,-98.68,87.16,-102.99,-14.9,8920.22
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
