,삼성중공업,A010140,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,34103.47,33037.44,35389.32,33523.25,40586.93,35395.24,38879.38,37981.94,35756.37,35727.32,34310.61,31067.13,32634.96,30777.92,26098.63,14395.19,24363.95,32286.64,25300.57,27208.24
, - 매출원가,30382.6,29248.24,30628.54,29223.5,34894.85,30796.57,32750.62,33263.45,31673.26,32689.24,36578.23,27128.69,29357.52,28099.14,24821.14,28843.32,22332.71,30763.4,24268.29,27018.81
, = 매출총이익,3720.87,3789.2,4760.78,4299.75,5692.08,4598.67,6128.76,4718.49,4083.11,3038.08,-2267.62,3938.44,3277.44,2678.78,1277.49,-14448.13,2031.24,1523.24,1032.28,189.43
, - 판매비와관리비,1393.51,2606.63,1476.99,1417.4,2440.59,1959.74,1727.02,1857.01,2025.69,3216.57,1357.26,1315.72,1462.02,1661.84,1014.86,1032.72,2131.03,1224.29,970.95,3027.14
, = 영업이익,2327.36,1182.57,3283.79,2882.35,3251.49,2638.93,4401.74,2861.48,2057.42,-178.49,-3624.88,2622.72,1815.42,1016.94,262.63,-15480.85,-99.79,298.95,61.33,-2837.71
,* 지배순이익,1109.83,1767.97,2527.2,1931.28,2773.49,732,3004.89,2153.6,1686.18,-522.63,-2723.85,2059.52,1726.23,430.34,115.64,-11540.61,-219.23,-409.94,166.4,-1857.37
,매출원가비중,89.09,88.53,86.55,87.17,85.98,87.01,84.24,87.58,88.58,91.5,106.61,87.32,89.96,91.3,95.11,200.37,91.66,95.28,95.92,99.3
,매출총이익율,10.91,11.47,13.45,12.83,14.02,12.99,15.76,12.42,11.42,8.5,-6.61,12.68,10.04,8.7,4.89,-100.37,8.34,4.72,4.08,0.7
,판관비율,4.09,7.89,4.17,4.23,6.01,5.54,4.44,4.89,5.67,9,3.96,4.24,4.48,5.4,3.89,7.17,8.75,3.79,3.84,11.13
,영업이익률,6.82,3.58,9.28,8.6,8.01,7.46,11.32,7.53,5.75,-0.5,-10.56,8.44,5.56,3.3,1.01,-107.54,-0.41,0.93,0.24,-10.43
,지배순이익률,3.25,5.35,7.14,5.76,6.83,2.07,7.73,5.67,4.72,-1.46,-7.94,6.63,5.29,1.4,0.44,-80.17,-0.9,-1.27,0.66,-6.83
,매출액YOY(%),,,,,19.01,7.14,9.86,13.3,-11.9,0.94,-11.75,-18.21,-8.73,-13.85,-23.93,-53.66,-25.34,4.9,-3.06,89.01
,영업이익YOY(%),,,,,39.71,123.15,34.04,-0.72,-36.72,-106.76,-182.35,-8.34,-11.76,669.75,107.25,-690.26,-105.5,-70.6,-76.65,81.67
,지배순이익YOY(%),,,,,149.9,-58.6,18.9,11.51,-39.2,-171.4,-190.65,-4.37,2.38,182.34,104.25,-660.35,-112.7,-195.26,43.89,83.91
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
