,삼성화재,A000810,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,36823.31,37066.48,38691.25,41508.43,43225.94,41888.14,42540.26,44035.1,44693.01,43717.14,43803.95,45092.78,45053.91,45112.1,44485.8,46521.83,46182.87,46273.08,45355.51,47686.17
, - 매출원가,11439.25,11857.92,11554.54,14246.65,15720.46,12789.13,9454.46,14801.74,15600.87,14621.19,11330.13,14302.02,11780.43,10723.36,8380.27,14744.38,10378.17,8389.42,7955.08,9481.08
, = 매출총이익,25384.06,25208.56,27136.71,27261.78,27505.48,29099.01,33085.8,29233.36,29092.14,29095.95,32473.82,30790.76,33273.48,34388.74,36105.53,31777.45,35804.7,37883.66,37400.43,38205.09
, - 판매비와관리비,22552.59,23567.51,24355.75,23835.29,24940.78,27388.46,30463.58,26559.03,26735.52,27314.92,29224.2,27485.23,30389.51,32661.73,32129.89,28545.94,33373.9,36670.67,33763.37,35583.42
, = 영업이익,2831.47,1641.05,2780.96,3426.49,2564.7,1710.55,2622.22,2674.33,2356.62,1781.03,3249.62,3305.53,2883.97,1727.01,3975.64,3231.51,2430.8,1212.99,3637.06,2621.67
,* 지배순이익,2145.93,920.25,2108.76,2559.69,2073.79,1213.13,2018.3,2048.17,1797.05,1274.41,2505.43,2508.25,2244.05,1100.94,3048.2,2469.79,1884.89,709.57,2808.06,2401.43
,매출원가비중,31.07,31.99,29.86,34.32,36.37,30.53,22.22,33.61,34.91,33.44,25.87,31.72,26.15,23.77,18.84,31.69,22.47,18.13,17.54,19.88
,매출총이익율,68.93,68.01,70.14,65.68,63.63,69.47,77.78,66.39,65.09,66.56,74.13,68.28,73.85,76.23,81.16,68.31,77.53,81.87,82.46,80.12
,판관비율,61.25,63.58,62.95,57.42,57.7,65.38,71.61,60.31,59.82,62.48,66.72,60.95,67.45,72.4,72.23,61.36,72.26,79.25,74.44,74.62
,영업이익률,7.69,4.43,7.19,8.25,5.93,4.08,6.16,6.07,5.27,4.07,7.42,7.33,6.4,3.83,8.94,6.95,5.26,2.62,8.02,5.5
,지배순이익률,5.83,2.48,5.45,6.17,4.8,2.9,4.74,4.65,4.02,2.92,5.72,5.56,4.98,2.44,6.85,5.31,4.08,1.53,6.19,5.04
,매출액YOY(%),,,,,17.39,13.01,9.95,6.09,3.39,4.37,2.97,2.4,0.81,3.19,1.56,3.17,2.51,2.57,1.96,2.5
,영업이익YOY(%),,,,,-9.42,4.24,-5.71,-21.95,-8.11,4.12,23.93,23.6,22.38,-3.03,22.34,-2.24,-15.71,-29.76,-8.52,-18.87
,지배순이익YOY(%),,,,,-3.36,31.83,-4.29,-19.98,-13.34,5.05,24.14,22.46,24.87,-13.61,21.66,-1.53,-16,-35.55,-7.88,-2.77
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
