,서흥,A008490,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,337.28,361.63,364.34,400.7,405.89,508.73,638.65,693.51,694,673.73,744.29,745.68,751.41,669.78,776.97,813.14,759.04,692.08,806.68,882.57
, - 매출원가,261.58,288.2,302.28,339.67,362.66,421,522.4,541.34,570.38,558.24,610.06,589.6,604.72,546.48,623.79,636.95,603.12,545.6,639.57,679.76
, = 매출총이익,75.7,73.43,62.06,61.03,43.23,87.73,116.25,152.17,123.62,115.49,134.23,156.08,146.69,123.3,153.18,176.19,155.92,146.48,167.11,202.81
, - 판매비와관리비,30.21,32.1,39.98,37.93,44.97,66.28,64.33,63.57,69.38,58.71,65.81,69.68,65.15,68.38,65.51,75.77,75.73,76.42,75.77,82.91
, = 영업이익,45.49,41.33,22.08,23.1,-1.74,21.45,51.92,88.6,54.24,56.78,68.42,86.4,81.54,54.92,87.67,100.42,80.19,70.06,91.34,119.9
,* 지배순이익,38.34,34.26,6.19,20.7,10.42,-152.27,33.01,52.51,10.88,26.02,49.99,49.36,70.7,43.48,67.52,88.75,67.24,4.9,54.86,90.86
,매출원가비중,77.56,79.69,82.97,84.77,89.35,82.76,81.8,78.06,82.19,82.86,81.97,79.07,80.48,81.59,80.28,78.33,79.46,78.83,79.28,77.02
,매출총이익율,22.44,20.31,17.03,15.23,10.65,17.24,18.2,21.94,17.81,17.14,18.03,20.93,19.52,18.41,19.72,21.67,20.54,21.17,20.72,22.98
,판관비율,8.96,8.88,10.97,9.47,11.08,13.03,10.07,9.17,10,8.71,8.84,9.34,8.67,10.21,8.43,9.32,9.98,11.04,9.39,9.39
,영업이익률,13.49,11.43,6.06,5.76,-0.43,4.22,8.13,12.78,7.82,8.43,9.19,11.59,10.85,8.2,11.28,12.35,10.56,10.12,11.32,13.59
,지배순이익률,11.37,9.47,1.7,5.17,2.57,-29.93,5.17,7.57,1.57,3.86,6.72,6.62,9.41,6.49,8.69,10.91,8.86,0.71,6.8,10.29
,매출액YOY(%),,,,,20.34,40.68,75.29,73.07,70.98,32.43,16.54,7.52,8.27,-0.59,4.39,9.05,1.02,3.33,3.82,8.54
,영업이익YOY(%),,,,,-103.82,-48.1,135.14,283.55,3217.24,164.71,31.78,-2.48,50.33,-3.28,28.14,16.23,-1.66,27.57,4.19,19.4
,지배순이익YOY(%),,,,,-72.82,-544.45,433.28,153.67,4.41,117.09,51.44,-6,549.82,67.1,35.07,79.8,-4.89,-88.73,-18.75,2.38
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,901.46,812.91,900.28,915.69,894.46,789.66,990.66,1040.99,947.81,955.31,1177.92,1154,1127.74,1147.62,1430.31,1437.62,1447.47,1214.72,1557,
, - 매출원가,715.76,644.07,716.23,721.18,714.31,623.49,802.84,825.66,767.48,795.82,950.81,912.3,901.48,929.02,1131.55,1110.96,1137.9,940.08,,
