,세이브존I&C,A067830,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,407.11,439.7,420.34,438.25,415.74,459.19,441.59,457.69,424.17,471.13,453.43,466.99,422.47,478.48,460.5,476.09,452.59,481.22,462.86,460.69
, - 매출원가,179.17,167.05,180.77,179.4,192.18,173.76,190.92,186.02,193.16,176.92,188.39,187.86,183.09,180.96,194.48,193.23,202.04,180.22,194.8,177.42
, = 매출총이익,227.94,272.65,239.57,258.85,223.56,285.43,250.67,271.67,231.01,294.21,265.04,279.13,239.38,297.52,266.02,282.86,250.55,301,268.06,283.27
, - 판매비와관리비,174.6,184.54,170.36,168.97,182.48,186.13,177.67,173.75,179.47,193.43,174.16,170.61,184.02,193.44,173.97,182.39,189.42,200.06,175.18,171.44
, = 영업이익,53.34,88.11,69.21,89.88,41.08,99.3,73,97.92,51.54,100.78,90.88,108.52,55.36,104.08,92.05,100.47,61.13,100.94,92.88,111.83
,* 지배순이익,31.07,40.9,40.82,52.17,30.68,66.83,48.1,61.6,33.25,72.59,62.24,78.73,36.13,74.69,64.57,75.24,43.27,74.19,71.48,85.78
,매출원가비중,44.01,37.99,43.01,40.94,46.23,37.84,43.23,40.64,45.54,37.55,41.55,40.23,43.34,37.82,42.23,40.59,44.64,37.45,42.09,38.51
,매출총이익율,55.99,62.01,56.99,59.06,53.77,62.16,56.77,59.36,54.46,62.45,58.45,59.77,56.66,62.18,57.77,59.41,55.36,62.55,57.91,61.49
,판관비율,42.89,41.97,40.53,38.56,43.89,40.53,40.23,37.96,42.31,41.06,38.41,36.53,43.56,40.43,37.78,38.31,41.85,41.57,37.85,37.21
,영업이익률,13.1,20.04,16.47,20.51,9.88,21.63,16.53,21.39,12.15,21.39,20.04,23.24,13.1,21.75,19.99,21.1,13.51,20.98,20.07,24.27
,지배순이익률,7.63,9.3,9.71,11.9,7.38,14.55,10.89,13.46,7.84,15.41,13.73,16.86,8.55,15.61,14.02,15.8,9.56,15.42,15.44,18.62
,매출액YOY(%),,,,,2.12,4.43,5.06,4.44,2.03,2.6,2.68,2.03,-0.4,1.56,1.56,1.95,7.13,0.57,0.51,-3.23
,영업이익YOY(%),,,,,-22.98,12.7,5.48,8.95,25.46,1.49,24.49,10.83,7.41,3.27,1.29,-7.42,10.42,-3.02,0.9,11.31
,지배순이익YOY(%),,,,,-1.26,63.4,17.83,18.08,8.38,8.62,29.4,27.81,8.66,2.89,3.74,-4.43,19.76,-0.67,10.7,14.01
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,434.21,471.74,456.27,451.66,428.11,448.17,449.89,431.91,423.6,434.1,412.87,409.23,366.06,404.1,337.21,356.49,319.6,335.09,0,
, - 매출원가,187.6,182.27,193.7,177.14,187.31,168.28,195.08,171.9,187.11,162.92,174.06,161.53,157.46,155.19,162.62,154.98,159.98,142.4,,
