,셀트리온,A068270,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,727.04,772.8,798.41,801.15,808.66,1087.52,807.93,618.1,808.56,27.49,868.77,1791.68,1051.42,998.59,976.28,1680.53,1694.51,1682.81,1084.59,1850.35
, - 매출원가,148.33,123.95,217.6,262.56,131.97,310.02,221.3,150.13,220,95.42,304.47,382.56,318.04,294.02,346.66,574.75,669.36,754.92,418.14,739.3
, = 매출총이익,578.71,648.85,580.81,538.59,676.69,777.5,586.63,467.97,588.56,-67.93,564.3,1409.12,733.38,704.57,629.62,1105.78,1025.15,927.89,666.45,1111.05
, - 판매비와관리비,103.64,134.25,109.82,126.22,225.61,142.02,151.25,111.8,170.61,143.11,207.79,429.62,373.11,386.16,220.51,294.73,293.81,289.84,396.61,340.02
, = 영업이익,475.07,514.6,470.99,412.37,451.08,635.48,435.38,356.17,417.95,-211.04,356.51,979.5,360.27,318.41,409.11,811.05,731.34,638.05,269.84,771.03
,* 지배순이익,419.51,464.97,415.46,406.69,379.9,527.72,334.4,358.46,365.84,-34.16,139.92,718.26,152.02,116.57,-146.01,578.87,624.47,483.57,109.14,592.97
,매출원가비중,20.4,16.04,27.25,32.77,16.32,28.51,27.39,24.29,27.21,347.11,35.05,21.35,30.25,29.44,35.51,34.2,39.5,44.86,38.55,39.95
,매출총이익율,79.6,83.96,72.75,67.23,83.68,71.49,72.61,75.71,72.79,-247.11,64.95,78.65,69.75,70.56,64.49,65.8,60.5,55.14,61.45,60.05
,판관비율,14.26,17.37,13.75,15.75,27.9,13.06,18.72,18.09,21.1,520.59,23.92,23.98,35.49,38.67,22.59,17.54,17.34,17.22,36.57,18.38
,영업이익률,65.34,66.59,58.99,51.47,55.78,58.43,53.89,57.62,51.69,-767.7,41.04,54.67,34.27,31.89,41.9,48.26,43.16,37.92,24.88,41.67
,지배순이익률,57.7,60.17,52.04,50.76,46.98,48.53,41.39,57.99,45.25,-124.26,16.11,40.09,14.46,11.67,-14.96,34.45,36.85,28.74,10.06,32.05
,매출액YOY(%),,,,,11.23,40.72,1.19,-22.85,-0.01,-97.47,7.53,189.87,30.04,3532.56,12.37,-6.2,61.16,68.52,11.09,10.11
,영업이익YOY(%),,,,,-5.05,23.49,-7.56,-13.63,-7.34,-133.21,-18.12,175.01,-13.8,250.88,14.75,-17.2,103,100.39,-34.04,-4.93
,지배순이익YOY(%),,,,,-9.44,13.5,-19.51,-11.86,-3.7,-106.47,-58.16,100.37,-58.45,441.25,-204.35,-19.41,310.78,314.83,174.75,2.44
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1682.71,2088.17,1965.78,2461.48,2320.88,2742.66,2449.81,2634.39,2311.04,2425.51,2217.04,2349.75,2890.55,3827.27,3728.47,4287.99,5487.71,4986.98,4576,
