,신성델타테크,A065350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,869.54,780.21,849.49,862.71,765.39,753.8,811.91,914.89,761.2,667.41,720.84,781.5,742.01,719.96,1070.9,946.04,944.41,831.48,970.13,964.62
, - 매출원가,802.09,729.8,776.4,762.11,678.65,671.03,720.71,794.76,695.52,623.13,653.49,712.87,678.21,654.78,955.27,835.08,829.18,725.31,854.79,840.04
, = 매출총이익,67.45,50.41,73.09,100.6,86.74,82.77,91.2,120.13,65.68,44.28,67.35,68.63,63.8,65.18,115.63,110.96,115.23,106.17,115.34,124.58
, - 판매비와관리비,67.33,47.68,56.83,61.69,54.83,66,64.31,76.24,53.61,41.63,50.34,55.96,51.75,57.6,90.23,89.99,90.27,80.88,88.76,89.27
, = 영업이익,0.12,2.73,16.26,38.91,31.91,16.77,26.89,43.89,12.07,2.65,17.01,12.67,12.05,7.58,25.4,20.97,24.96,25.29,26.58,35.31
,* 지배순이익,-24.55,-47.87,21.09,17.12,20.42,-14.25,24.82,29.23,10.65,0.12,13.52,11.74,9.97,-15.88,29.32,25.68,6.93,-3,15.02,12.12
,매출원가비중,92.24,93.54,91.4,88.34,88.67,89.02,88.77,86.87,91.37,93.37,90.66,91.22,91.4,90.95,89.2,88.27,87.8,87.23,88.11,87.09
,매출총이익율,7.76,6.46,8.6,11.66,11.33,10.98,11.23,13.13,8.63,6.63,9.34,8.78,8.6,9.05,10.8,11.73,12.2,12.77,11.89,12.91
,판관비율,7.74,6.11,6.69,7.15,7.16,8.76,7.92,8.33,7.04,6.24,6.98,7.16,6.97,8,8.43,9.51,9.56,9.73,9.15,9.25
,영업이익률,0.01,0.35,1.91,4.51,4.17,2.22,3.31,4.8,1.59,0.4,2.36,1.62,1.62,1.05,2.37,2.22,2.64,3.04,2.74,3.66
,지배순이익률,-2.82,-6.14,2.48,1.98,2.67,-1.89,3.06,3.19,1.4,0.02,1.88,1.5,1.34,-2.21,2.74,2.71,0.73,-0.36,1.55,1.26
,매출액YOY(%),,,,,-11.98,-3.38,-4.42,6.05,-0.55,-11.46,-11.22,-14.58,-2.52,7.87,48.56,21.05,27.28,15.49,-9.41,1.96
,영업이익YOY(%),,,,,26491.67,514.29,65.38,12.8,-62.17,-84.2,-36.74,-71.13,-0.17,186.04,49.32,65.51,107.14,233.64,4.65,68.38
,지배순이익YOY(%),,,,,183.18,70.23,17.69,70.74,-47.85,100.84,-45.53,-59.84,-6.38,-13333.33,116.86,118.74,-30.49,81.11,-48.77,-52.8
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1027.47,983.93,1146.7,1192.97,1247.18,1060.85,1171.19,1128.57,1058.61,1012.15,1148.22,1123.72,1179.37,1036.24,1154.63,1005.45,1362.58,1408.03,0,
