,쌍용C&E,A003410,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4655.54,5404.52,4125.23,5343.44,4796.31,5645.43,4309.62,5414.33,4944.83,5938.52,4259.55,5351.98,4973.99,5621.53,4374.14,5521.26,5301.28,4667.19,4086.17,3671.94
, - 매출원가,4004.83,4579.54,3878.21,4349.27,3930,4474.4,3946.84,4455.28,4002.32,4909.96,3700.27,4359.97,4102.71,4650.09,3625.83,4411.73,4172.11,3876.85,3334.37,2526.89
, = 매출총이익,650.71,824.98,247.02,994.17,866.31,1171.03,362.78,959.05,942.51,1028.56,559.28,992.01,871.28,971.44,748.31,1109.53,1129.17,790.34,751.8,1145.05
, - 판매비와관리비,417.57,511.5,422.83,452.78,420.6,546.23,453.6,466.27,469.74,522.11,415.27,427.93,451.48,476.22,418.69,451.43,448.59,316.14,321.54,336.05
, = 영업이익,233.14,313.48,-175.81,541.39,445.71,624.8,-90.82,492.78,472.77,506.45,144.01,564.08,419.8,495.22,329.62,658.1,680.58,474.2,430.26,809
,* 지배순이익,-100.03,88.19,-443.1,256.11,242.03,279.12,-431.53,216.9,354.6,263.67,-30.52,441.23,221,421.12,229.42,600.84,460.93,-522.41,292.09,599.05
,매출원가비중,86.02,84.74,94.01,81.39,81.94,79.26,91.58,82.29,80.94,82.68,86.87,81.46,82.48,82.72,82.89,79.9,78.7,83.07,81.6,68.82
,매출총이익율,13.98,15.26,5.99,18.61,18.06,20.74,8.42,17.71,19.06,17.32,13.13,18.54,17.52,17.28,17.11,20.1,21.3,16.93,18.4,31.18
,판관비율,8.97,9.46,10.25,8.47,8.77,9.68,10.53,8.61,9.5,8.79,9.75,8,9.08,8.47,9.57,8.18,8.46,6.77,7.87,9.15
,영업이익률,5.01,5.8,-4.26,10.13,9.29,11.07,-2.11,9.1,9.56,8.53,3.38,10.54,8.44,8.81,7.54,11.92,12.84,10.16,10.53,22.03
,지배순이익률,-2.15,1.63,-10.74,4.79,5.05,4.94,-10.01,4.01,7.17,4.44,-0.72,8.24,4.44,7.49,5.24,10.88,8.69,-11.19,7.15,16.31
,매출액YOY(%),,,,,3.02,4.46,4.47,1.33,3.1,5.19,-1.16,-1.15,0.59,-5.34,2.69,3.16,6.58,-16.98,-6.58,-33.49
,영업이익YOY(%),,,,,91.18,99.31,48.34,-8.98,6.07,-18.94,258.57,14.47,-11.2,-2.22,128.89,16.67,62.12,-4.24,30.53,22.93
,지배순이익YOY(%),,,,,341.96,216.5,2.61,-15.31,46.51,-5.54,92.93,103.43,-37.68,59.71,851.7,36.17,108.57,-224.05,27.32,-0.3
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3317.8,3226.98,4451.7,3951.33,3659.42,3108.96,3041.09,4145.4,3604.78,4308.59,3369.31,4240.36,3593.83,4181.31,3138.87,3851.61,3456.69,4260.81,3265,
